# point_id,primitive_gid,primitive_dir_gid
0,0,-1
1,0,-1
2,0,-1
3,0,-1
4,0,-1
5,0,-1
6,1,-1
7,1,-1
8,1,-1
9,1,-1
10,1,-1
11,1,-1
12,2,-1
13,2,-1
14,3,-1
15,3,-1
16,4,-1
17,4,-1
18,4,-1
19,4,-1
20,4,-1
21,4,-1
22,4,-1
23,4,-1
24,4,-1
25,4,-1
26,4,-1
27,4,-1
28,4,-1
29,4,-1
30,4,-1
31,0,-1
32,0,-1
33,0,-1
34,0,-1
35,0,-1
36,5,-1
37,6,-1
38,7,-1
39,8,-1
40,0,-1
41,0,-1
42,0,-1
43,9,-1
44,9,-1
45,0,-1
46,9,-1
47,9,-1
48,0,-1
49,0,-1
50,0,-1
51,0,-1
52,0,-1
53,10,-1
54,10,-1
55,11,-1
56,11,-1
57,11,-1
58,11,-1
59,11,-1
60,11,-1
61,11,-1
62,11,-1
63,11,-1
64,11,-1
65,11,-1
66,11,-1
67,11,-1
68,0,-1
69,1,-1
70,0,-1
71,0,-1
72,0,-1
73,0,-1
74,0,-1
75,0,-1
76,1,-1
77,1,-1
78,1,-1
79,1,-1
80,1,-1
81,1,-1
82,1,-1
83,4,-1
84,4,-1
85,4,-1
86,4,-1
87,4,-1
88,4,-1
89,4,-1
90,4,-1
91,4,-1
92,4,-1
93,4,-1
94,4,-1
95,4,-1
96,4,-1
97,4,-1
98,4,-1
99,4,-1
100,4,-1
101,4,-1
102,4,-1
103,4,-1
104,4,-1
105,13,-1
106,13,-1
107,4,-1
108,13,-1
109,13,-1
110,13,-1
111,13,-1
112,13,-1
113,4,-1
114,13,-1
115,13,-1
116,13,-1
117,13,-1
118,13,-1
119,13,-1
120,13,-1
121,14,-1
122,14,-1
123,14,-1
124,4,-1
125,4,-1
126,4,-1
127,13,-1
128,13,-1
129,13,-1
130,13,-1
131,4,-1
132,4,-1
133,4,-1
134,4,-1
135,4,-1
136,13,-1
137,13,-1
138,13,-1
139,13,-1
140,13,-1
141,4,-1
142,4,-1
143,4,-1
144,4,-1
145,18,-1
146,18,-1
147,18,-1
148,19,-1
149,19,-1
150,19,-1
151,19,-1
152,19,-1
153,19,-1
154,19,-1
155,19,-1
156,19,-1
157,19,-1
158,20,-1
159,20,-1
160,20,-1
161,21,-1
162,21,-1
163,21,-1
164,21,-1
165,1,-1
166,1,-1
167,22,-1
168,0,-1
169,0,-1
170,0,-1
171,0,-1
172,0,-1
173,0,-1
174,0,-1
175,1,-1
176,1,-1
177,23,-1
178,0,-1
179,0,-1
180,24,-1
181,0,-1
182,1,-1
183,24,-1
184,1,-1
185,1,-1
186,1,-1
187,1,-1
188,25,-1
189,0,-1
190,0,-1
191,0,-1
192,0,-1
193,0,-1
194,0,-1
195,26,-1
196,0,-1
197,26,-1
198,6,-1
199,6,-1
200,6,-1
201,0,-1
202,0,-1
203,0,-1
204,0,-1
205,0,-1
206,0,-1
207,0,-1
208,0,-1
209,0,-1
210,0,-1
211,0,-1
212,0,-1
213,0,-1
214,11,-1
215,11,-1
216,11,-1
217,11,-1
218,11,-1
219,11,-1
220,11,-1
221,11,-1
222,11,-1
223,11,-1
224,11,-1
225,11,-1
226,11,-1
227,11,-1
228,11,-1
229,0,-1
230,0,-1
231,0,-1
232,0,-1
233,0,-1
234,0,-1
235,0,-1
236,0,-1
237,0,-1
238,1,-1
239,1,-1
240,1,-1
241,1,-1
242,1,-1
243,1,-1
244,1,-1
245,4,-1
246,4,-1
247,4,-1
248,4,-1
249,4,-1
250,4,-1
251,4,-1
252,4,-1
253,4,-1
254,4,-1
255,4,-1
256,4,-1
257,4,-1
258,4,-1
259,4,-1
260,4,-1
261,4,-1
262,4,-1
263,4,-1
264,4,-1
265,4,-1
266,4,-1
267,13,-1
268,13,-1
269,4,-1
270,13,-1
271,13,-1
272,13,-1
273,13,-1
274,13,-1
275,4,-1
276,4,-1
277,13,-1
278,13,-1
279,13,-1
280,13,-1
281,13,-1
282,13,-1
283,13,-1
284,14,-1
285,4,-1
286,4,-1
287,4,-1
288,4,-1
289,4,-1
290,13,-1
291,13,-1
292,13,-1
293,13,-1
294,4,-1
295,4,-1
296,4,-1
297,4,-1
298,4,-1
299,13,-1
300,13,-1
301,13,-1
302,13,-1
303,13,-1
304,4,-1
305,4,-1
306,4,-1
307,4,-1
308,4,-1
309,4,-1
310,4,-1
311,4,-1
312,4,-1
313,4,-1
314,4,-1
315,4,-1
316,4,-1
317,4,-1
318,28,-1
319,28,-1
320,4,-1
321,4,-1
322,4,-1
323,4,-1
324,4,-1
325,4,-1
326,4,-1
327,4,-1
328,4,-1
329,4,-1
330,4,-1
331,4,-1
332,4,-1
333,4,-1
334,4,-1
335,4,-1
336,31,-1
337,4,-1
338,4,-1
339,4,-1
340,4,-1
341,4,-1
342,4,-1
343,32,-1
344,4,-1
345,4,-1
346,4,-1
347,4,-1
348,4,-1
349,4,-1
350,4,-1
351,4,-1
352,4,-1
353,4,-1
354,4,-1
355,4,-1
