# point_id,primitive_gid,primitive_dir_gid
0,0,-1
1,0,-1
2,0,-1
3,0,-1
4,0,-1
5,0,-1
6,0,-1
7,0,-1
8,0,-1
9,0,-1
10,0,-1
11,0,-1
12,1,-1
13,1,-1
14,2,-1
15,2,-1
16,2,-1
17,2,-1
18,2,-1
19,2,-1
20,2,-1
21,2,-1
22,2,-1
23,2,-1
24,2,-1
25,2,-1
26,2,-1
27,2,-1
28,2,-1
29,2,-1
30,2,-1
31,0,-1
32,0,-1
33,0,-1
34,0,-1
35,0,-1
36,0,-1
37,0,-1
38,0,-1
39,3,-1
40,0,-1
41,0,-1
42,0,-1
43,4,-1
44,4,-1
45,0,-1
46,4,-1
47,4,-1
48,0,-1
49,0,-1
50,0,-1
51,0,-1
52,0,-1
53,0,-1
54,0,-1
55,0,-1
56,0,-1
57,5,-1
58,0,-1
59,0,-1
60,0,-1
61,6,-1
62,6,-1
63,0,-1
64,0,-1
65,0,-1
66,0,-1
67,0,-1
68,0,-1
69,7,-1
70,0,-1
71,0,-1
72,0,-1
73,0,-1
74,0,-1
75,0,-1
76,0,-1
77,0,-1
78,0,-1
79,0,-1
80,0,-1
81,0,-1
82,0,-1
83,2,-1
84,2,-1
85,2,-1
86,2,-1
87,2,-1
88,2,-1
89,2,-1
90,2,-1
91,2,-1
92,2,-1
93,2,-1
94,2,-1
95,2,-1
96,2,-1
97,2,-1
98,2,-1
99,2,-1
100,2,-1
101,2,-1
102,2,-1
103,2,-1
104,2,-1
105,2,-1
106,2,-1
107,2,-1
108,2,-1
109,2,-1
110,2,-1
111,2,-1
112,2,-1
113,2,-1
114,2,-1
115,2,-1
116,8,-1
117,2,-1
118,2,-1
119,2,-1
120,2,-1
121,2,-1
122,2,-1
123,2,-1
124,2,-1
125,2,-1
126,2,-1
127,2,-1
128,2,-1
129,2,-1
130,2,-1
131,2,-1
132,2,-1
133,2,-1
134,2,-1
135,2,-1
136,2,-1
137,2,-1
138,2,-1
139,2,-1
140,2,-1
141,2,-1
142,2,-1
143,2,-1
144,2,-1
145,2,-1
146,2,-1
147,2,-1
148,0,-1
149,0,-1
150,0,-1
151,0,-1
152,0,-1
153,0,-1
154,0,-1
155,0,-1
156,0,-1
157,0,-1
158,0,-1
159,0,-1
160,9,-1
161,0,-1
162,0,-1
163,0,-1
164,0,-1
165,0,-1
166,0,-1
167,10,-1
168,0,-1
169,0,-1
170,0,-1
171,0,-1
172,0,-1
173,0,-1
174,0,-1
175,0,-1
176,0,-1
177,11,-1
178,0,-1
179,0,-1
180,12,-1
181,0,-1
182,0,-1
183,12,-1
184,0,-1
185,0,-1
186,0,-1
187,0,-1
188,0,-1
189,0,-1
190,0,-1
191,0,-1
192,0,-1
193,0,-1
194,0,-1
195,13,-1
196,0,-1
197,0,-1
198,0,-1
199,0,-1
200,14,-1
201,0,-1
202,0,-1
203,0,-1
204,0,-1
205,0,-1
206,0,-1
207,0,-1
208,0,-1
209,0,-1
210,0,-1
211,0,-1
212,0,-1
213,0,-1
214,0,-1
215,0,-1
216,0,-1
217,0,-1
218,15,-1
219,15,-1
220,15,-1
221,15,-1
222,15,-1
223,17,-1
224,17,-1
225,0,-1
226,0,-1
227,18,-1
228,0,-1
229,0,-1
230,0,-1
231,0,-1
232,0,-1
233,0,-1
234,0,-1
235,0,-1
236,0,-1
237,0,-1
238,0,-1
239,0,-1
240,0,-1
241,0,-1
242,0,-1
243,0,-1
244,0,-1
245,2,-1
246,2,-1
247,2,-1
248,2,-1
249,2,-1
250,2,-1
251,2,-1
252,2,-1
253,2,-1
254,2,-1
255,2,-1
256,2,-1
257,2,-1
258,2,-1
259,2,-1
260,2,-1
261,2,-1
262,2,-1
263,2,-1
264,2,-1
265,2,-1
266,2,-1
267,2,-1
268,2,-1
269,2,-1
270,2,-1
271,2,-1
272,2,-1
273,2,-1
274,2,-1
275,2,-1
276,2,-1
277,2,-1
278,2,-1
279,2,-1
280,2,-1
281,2,-1
282,2,-1
283,2,-1
284,2,-1
285,2,-1
286,2,-1
287,2,-1
288,2,-1
289,2,-1
290,2,-1
291,2,-1
292,2,-1
293,2,-1
294,2,-1
295,2,-1
296,2,-1
297,2,-1
298,2,-1
299,2,-1
300,2,-1
301,2,-1
302,2,-1
303,2,-1
304,2,-1
305,2,-1
306,2,-1
307,2,-1
308,2,-1
309,2,-1
310,2,-1
311,2,-1
312,2,-1
313,2,-1
314,2,-1
315,2,-1
316,2,-1
317,2,-1
318,2,-1
319,2,-1
320,2,-1
321,2,-1
322,2,-1
323,2,-1
324,2,-1
325,2,-1
326,2,-1
327,2,-1
328,2,-1
329,2,-1
330,2,-1
331,2,-1
332,2,-1
333,2,-1
334,2,-1
335,2,-1
336,2,-1
337,2,-1
338,2,-1
339,2,-1
340,2,-1
341,2,-1
342,2,-1
343,2,-1
344,2,-1
345,2,-1
346,2,-1
347,2,-1
348,2,-1
349,2,-1
350,2,-1
351,2,-1
352,2,-1
353,2,-1
354,2,-1
355,2,-1
