# point_id,primitive_gid,primitive_dir_gid
0,0,-1
1,0,-1
2,0,-1
3,1,-1
4,1,-1
5,0,-1
6,0,-1
7,0,-1
8,1,-1
9,1,-1
10,0,-1
11,0,-1
12,0,-1
13,0,-1
14,1,-1
15,1,-1
16,1,-1
17,0,-1
18,0,-1
19,0,-1
20,0,-1
21,0,-1
22,1,-1
23,1,-1
24,1,-1
25,1,-1
26,2,-1
27,2,-1
28,0,-1
29,0,-1
30,0,-1
31,1,-1
32,1,-1
33,1,-1
34,2,-1
35,2,-1
36,2,-1
37,0,-1
38,0,-1
39,1,-1
40,1,-1
41,1,-1
42,2,-1
43,2,-1
44,2,-1
45,2,-1
46,0,-1
47,1,-1
48,1,-1
49,3,-1
50,3,-1
51,2,-1
52,2,-1
53,2,-1
54,2,-1
55,2,-1
56,1,-1
57,3,-1
58,3,-1
59,2,-1
60,2,-1
61,2,-1
62,2,-1
63,2,-1
64,3,-1
65,3,-1
66,3,-1
67,2,-1
68,2,-1
69,2,-1
70,2,-1
71,2,-1
72,3,-1
73,3,-1
74,3,-1
75,3,-1
76,2,-1
77,2,-1
78,2,-1
79,2,-1
80,2,-1
81,3,-1
82,3,-1
83,3,-1
84,3,-1
85,2,-1
86,2,-1
87,2,-1
88,2,-1
89,2,-1
90,3,-1
91,3,-1
92,3,-1
93,2,-1
94,2,-1
95,2,-1
96,2,-1
97,2,-1
98,3,-1
99,3,-1
100,3,-1
101,3,-1
102,2,-1
103,2,-1
104,2,-1
105,2,-1
106,2,-1
107,3,-1
108,3,-1
109,3,-1
110,3,-1
111,2,-1
112,2,-1
113,2,-1
114,2,-1
115,2,-1
116,3,-1
117,3,-1
118,3,-1
119,2,-1
120,2,-1
121,2,-1
122,2,-1
123,2,-1
124,3,-1
125,3,-1
126,3,-1
127,2,-1
128,2,-1
129,2,-1
130,2,-1
131,2,-1
132,3,-1
133,3,-1
134,3,-1
135,3,-1
136,2,-1
137,2,-1
138,2,-1
139,2,-1
140,2,-1
141,3,-1
142,3,-1
143,3,-1
144,2,-1
145,2,-1
146,2,-1
147,2,-1
148,2,-1
149,3,-1
150,3,-1
151,3,-1
152,2,-1
153,2,-1
154,2,-1
155,2,-1
156,2,-1
157,2,-1
158,3,-1
159,3,-1
160,3,-1
161,3,-1
162,2,-1
163,2,-1
164,2,-1
165,2,-1
166,2,-1
167,3,-1
168,3,-1
169,3,-1
170,2,-1
171,2,-1
172,2,-1
173,2,-1
174,2,-1
175,3,-1
176,3,-1
177,3,-1
178,2,-1
179,2,-1
180,2,-1
181,2,-1
182,2,-1
183,3,-1
184,3,-1
185,3,-1
186,3,-1
187,2,-1
188,2,-1
189,2,-1
190,2,-1
191,2,-1
192,3,-1
193,3,-1
194,3,-1
195,2,-1
196,2,-1
197,2,-1
198,2,-1
199,2,-1
200,3,-1
201,3,-1
202,3,-1
203,2,-1
204,2,-1
205,2,-1
206,2,-1
207,2,-1
208,3,-1
209,3,-1
210,3,-1
211,3,-1
212,2,-1
213,2,-1
214,2,-1
215,2,-1
216,2,-1
217,2,-1
218,3,-1
219,3,-1
220,3,-1
221,2,-1
222,2,-1
223,2,-1
224,2,-1
225,2,-1
226,3,-1
227,3,-1
228,3,-1
229,2,-1
230,2,-1
231,2,-1
232,2,-1
233,2,-1
234,3,-1
235,3,-1
236,3,-1
237,3,-1
238,2,-1
239,2,-1
240,2,-1
241,2,-1
242,2,-1
243,3,-1
244,3,-1
245,3,-1
246,2,-1
247,2,-1
248,2,-1
249,2,-1
250,2,-1
251,3,-1
252,3,-1
253,3,-1
254,2,-1
255,2,-1
256,2,-1
257,2,-1
258,2,-1
259,3,-1
260,3,-1
261,3,-1
262,3,-1
263,2,-1
264,2,-1
265,2,-1
266,2,-1
267,2,-1
268,3,-1
269,3,-1
270,3,-1
271,3,-1
272,2,-1
273,2,-1
274,2,-1
275,2,-1
276,2,-1
277,3,-1
278,3,-1
279,3,-1
280,2,-1
281,2,-1
282,2,-1
283,2,-1
284,2,-1
285,3,-1
286,3,-1
287,3,-1
288,2,-1
289,2,-1
290,2,-1
291,2,-1
292,2,-1
293,3,-1
294,3,-1
295,3,-1
296,3,-1
297,2,-1
298,2,-1
299,2,-1
300,2,-1
301,2,-1
302,3,-1
303,3,-1
304,3,-1
305,2,-1
306,2,-1
307,2,-1
308,2,-1
309,2,-1
310,3,-1
311,3,-1
312,3,-1
313,2,-1
314,2,-1
315,2,-1
316,2,-1
317,2,-1
318,3,-1
319,3,-1
320,3,-1
321,3,-1
322,2,-1
323,2,-1
324,2,-1
325,2,-1
326,3,-1
327,3,-1
328,3,-1
329,2,-1
330,2,-1
331,2,-1
332,2,-1
333,2,-1
334,3,-1
335,3,-1
336,3,-1
337,2,-1
338,2,-1
339,2,-1
340,2,-1
341,2,-1
342,3,-1
343,3,-1
344,3,-1
345,3,-1
346,2,-1
347,2,-1
348,2,-1
349,2,-1
350,2,-1
351,3,-1
352,3,-1
353,3,-1
354,2,-1
355,2,-1
