# point_id,primitive_gid,primitive_dir_gid
0,64,-1
1,1,-1
2,1,-1
3,64,-1
4,129,-1
5,0,-1
6,30,-1
7,0,-1
8,38,-1
9,46,-1
10,129,-1
11,33,-1
12,38,-1
13,4,-1
14,26,-1
15,22,-1
16,30,-1
17,25,-1
18,46,-1
19,77,-1
20,33,-1
21,64,-1
22,22,-1
23,64,-1
24,26,-1
25,25,-1
26,0,-1
27,30,-1
28,0,-1
29,1,-1
30,64,-1
31,64,-1
32,1,-1
33,12,-1
34,129,-1
35,69,-1
36,15,-1
37,30,-1
38,0,-1
39,1,-1
40,30,-1
41,25,-1
42,69,-1
43,26,-1
44,30,-1
45,46,-1
46,36,-1
47,26,-1
48,3,-1
49,0,-1
50,77,-1
51,46,-1
52,38,-1
53,1,-1
54,46,-1
55,3,-1
56,46,-1
57,18,-1
58,26,-1
59,26,-1
60,22,-1
61,22,-1
62,46,-1
63,26,-1
64,26,-1
65,77,-1
66,30,-1
67,77,-1
68,30,-1
69,33,-1
70,4,-1
71,30,-1
72,25,-1
73,26,-1
74,3,-1
75,69,-1
76,18,-1
77,33,-1
78,22,-1
79,1,-1
80,38,-1
81,38,-1
82,0,-1
83,22,-1
84,25,-1
85,25,-1
86,38,-1
87,77,-1
88,1,-1
89,51,-1
90,25,-1
91,0,-1
92,26,-1
93,69,-1
94,51,-1
95,64,-1
96,1,-1
97,129,-1
98,0,-1
99,64,-1
100,1,-1
101,1,-1
102,0,-1
103,0,-1
104,129,-1
105,36,-1
106,36,-1
107,4,-1
108,64,-1
109,25,-1
110,12,-1
111,38,-1
112,26,-1
113,77,-1
114,3,-1
115,77,-1
116,1,-1
117,25,-1
118,1,-1
119,0,-1
120,0,-1
121,15,-1
122,1,-1
123,0,-1
124,1,-1
125,3,-1
126,64,-1
127,0,-1
128,77,-1
129,26,-1
130,38,-1
131,51,-1
132,30,-1
133,30,-1
134,25,-1
135,30,-1
136,51,-1
137,38,-1
138,51,-1
139,0,-1
140,1,-1
141,46,-1
142,38,-1
143,30,-1
144,1,-1
145,25,-1
146,12,-1
147,30,-1
148,4,-1
149,69,-1
150,36,-1
151,46,-1
152,46,-1
153,3,-1
154,22,-1
155,4,-1
156,4,-1
157,30,-1
158,129,-1
159,30,-1
160,1,-1
161,38,-1
162,51,-1
163,4,-1
164,46,-1
165,26,-1
166,64,-1
167,36,-1
168,15,-1
169,30,-1
170,129,-1
171,12,-1
172,26,-1
173,4,-1
174,129,-1
175,26,-1
176,46,-1
177,38,-1
178,33,-1
179,22,-1
180,33,-1
181,38,-1
182,4,-1
183,77,-1
184,3,-1
185,77,-1
186,30,-1
187,36,-1
188,25,-1
189,0,-1
190,46,-1
191,64,-1
192,18,-1
193,77,-1
194,64,-1
195,30,-1
196,38,-1
197,64,-1
198,26,-1
199,30,-1
200,4,-1
201,64,-1
202,4,-1
203,26,-1
204,30,-1
205,0,-1
206,30,-1
207,26,-1
208,26,-1
209,46,-1
210,46,-1
211,69,-1
212,38,-1
213,30,-1
214,3,-1
215,51,-1
216,69,-1
217,38,-1
218,25,-1
219,30,-1
220,77,-1
221,51,-1
222,36,-1
223,30,-1
224,30,-1
225,46,-1
226,38,-1
227,51,-1
228,51,-1
229,3,-1
230,25,-1
231,0,-1
232,22,-1
233,36,-1
234,38,-1
235,26,-1
236,26,-1
237,64,-1
