# point_id,primitive_gid,primitive_dir_gid
0,2483,-1
1,-1,-1
2,2493,-1
3,2482,-1
4,1753,-1
5,2776,-1
6,2457,-1
7,2893,-1
8,2918,-1
9,2887,-1
10,-1,-1
11,1925,-1
12,2918,-1
13,-1,-1
14,2878,-1
15,-1,-1
16,1502,-1
17,1386,-1
18,1986,-1
19,2929,-1
20,1925,-1
21,1384,-1
22,1670,-1
23,-1,-1
24,1451,-1
25,2413,-1
26,2784,-1
27,2471,-1
28,1264,-1
29,2491,-1
30,2490,-1
31,2482,-1
32,2291,-1
33,-1,-1
34,1767,-1
35,705,-1
36,2413,-1
37,1505,-1
38,1265,-1
39,2493,-1
40,1472,-1
41,1470,-1
42,-1,-1
43,1453,-1
44,-1,-1
45,3179,-1
46,2947,-1
47,2493,-1
48,1503,-1
49,2772,-1
50,2931,-1
51,2183,-1
52,2914,-1
53,1487,-1
54,-1,-1
55,1506,-1
56,-1,-1
57,2458,-1
58,1451,-1
59,1453,-1
60,2952,-1
61,1482,-1
62,2758,-1
63,1453,-1
64,-1,-1
65,3258,-1
66,2472,-1
67,-1,-1
68,1473,-1
69,-1,-1
70,2466,-1
71,1505,-1
72,2418,-1
73,2878,-1
74,-1,-1
75,773,-1
76,2458,-1
77,1931,-1
78,1890,-1
79,2880,-1
80,2486,-1
81,2469,-1
82,2940,-1
83,-1,-1
84,1519,-1
85,2476,-1
86,2914,-1
87,2884,-1
88,2491,-1
89,-1,-1
90,-1,-1
91,-1,-1
92,-1,-1
93,865,-1
94,-1,-1
95,2480,-1
96,1509,-1
97,-1,-1
98,2895,-1
99,2482,-1
100,2291,-1
101,2423,-1
102,-1,-1
103,2272,-1
104,-1,-1
105,-1,-1
106,2947,-1
107,-1,-1
108,-1,-1
109,1516,-1
110,2746,-1
111,2918,-1
112,-1,-1
113,-1,-1
114,1507,-1
115,1265,-1
116,2423,-1
117,-1,-1
118,2292,-1
119,2771,-1
120,2894,-1
121,1475,-1
122,2424,-1
123,2893,-1
124,-1,-1
125,1753,-1
126,2482,-1
127,2942,-1
128,2935,-1
129,1451,-1
130,2918,-1
131,1740,-1
132,1505,-1
133,1472,-1
134,1385,-1
135,-1,-1
136,-1,-1
137,2918,-1
138,-1,-1
139,2844,-1
140,-1,-1
141,-1,-1
142,2918,-1
143,1505,-1
144,2291,-1
145,1502,-1
146,1949,-1
147,2770,-1
148,2493,-1
149,-1,-1
150,2948,-1
151,-1,-1
152,3254,-1
153,1499,-1
154,-1,-1
155,2284,-1
156,2491,-1
157,1500,-1
158,1780,-1
159,-1,-1
160,2292,-1
161,2914,-1
162,-1,-1
163,2286,-1
164,-1,-1
165,2879,-1
166,-1,-1
167,2948,-1
168,2308,-1
169,1490,-1
170,-1,-1
171,-1,-1
172,1451,-1
173,2880,-1
174,2106,-1
175,1451,-1
176,-1,-1
177,2469,-1
178,-1,-1
179,2958,-1
180,1925,-1
181,2468,-1
182,-1,-1
183,2929,-1
184,1499,-1
185,1267,-1
186,1472,-1
187,2948,-1
188,-1,-1
189,2890,-1
190,2758,-1
191,-1,-1
192,2455,-1
193,1265,-1
194,2490,-1
195,-1,-1
196,2914,-1
197,2754,-1
198,1453,-1
199,1510,-1
200,-1,-1
201,1256,-1
202,2490,-1
203,1451,-1
204,1473,-1
205,2773,-1
206,1503,-1
207,1449,-1
208,1453,-1
209,-1,-1
210,2736,-1
211,-1,-1
212,2469,-1
213,-1,-1
214,1492,-1
215,2972,-1
216,-1,-1
217,2914,-1
218,2418,-1
219,1490,-1
220,2936,-1
221,-1,-1
222,-1,-1
223,1472,-1
224,-1,-1
225,3179,-1
226,2914,-1
227,1324,-1
228,1740,-1
229,1503,-1
230,2476,-1
231,2892,-1
232,2952,-1
233,2948,-1
234,2914,-1
235,1451,-1
236,1453,-1
237,2483,-1
238,2291,-1
239,1396,-1
240,2889,-1
241,2427,-1
242,1503,-1
243,1840,-1
244,-1,-1
245,1511,-1
246,2894,-1
247,1387,-1
248,1453,-1
249,-1,-1
250,1383,-1
251,1753,-1
252,1453,-1
253,-1,-1
254,1473,-1
255,-1,-1
256,1472,-1
257,2771,-1
258,2912,-1
259,1493,-1
260,2914,-1
261,1782,-1
262,2948,-1
263,1185,-1
264,2759,-1
265,1926,-1
266,1756,-1
267,-1,-1
268,2177,-1
269,1472,-1
270,2930,-1
271,-1,-1
272,-1,-1
273,2914,-1
274,2455,-1
275,-1,-1
276,1500,-1
277,2488,-1
278,1472,-1
279,-1,-1
280,2488,-1
281,1387,-1
282,-1,-1
283,2759,-1
284,-1,-1
285,-1,-1
286,2879,-1
287,2469,-1
288,-1,-1
289,-1,-1
290,-1,-1
291,-1,-1
292,-1,-1
293,2291,-1
294,2918,-1
295,1394,-1
296,2914,-1
297,2923,-1
298,2880,-1
299,2284,-1
300,1451,-1
301,2914,-1
302,-1,-1
303,1451,-1
304,-1,-1
305,1505,-1
306,1518,-1
307,2292,-1
308,2292,-1
309,-1,-1
310,2469,-1
311,1505,-1
312,1472,-1
313,-1,-1
314,-1,-1
315,-1,-1
316,1472,-1
317,2880,-1
318,2921,-1
319,2870,-1
320,-1,-1
321,1473,-1
322,1387,-1
323,1926,-1
324,-1,-1
325,-1,-1
326,1451,-1
327,1511,-1
328,2424,-1
329,1499,-1
330,2886,-1
331,-1,-1
332,2918,-1
333,1504,-1
334,2753,-1
335,1383,-1
336,2286,-1
337,-1,-1
338,1502,-1
339,2486,-1
340,2479,-1
341,2473,-1
342,2490,-1
343,-1,-1
344,-1,-1
345,2486,-1
346,1901,-1
347,2880,-1
348,2491,-1
349,2417,-1
350,2458,-1
351,2420,-1
352,2423,-1
353,-1,-1
354,2486,-1
355,1451,-1
356,2464,-1
357,2291,-1
358,1451,-1
359,2914,-1
360,-1,-1
361,-1,-1
362,-1,-1
363,2477,-1
364,1396,-1
365,2914,-1
366,-1,-1
367,2886,-1
368,-1,-1
369,2455,-1
370,-1,-1
371,-1,-1
372,2483,-1
373,2491,-1
374,1324,-1
375,-1,-1
376,-1,-1
377,2890,-1
378,-1,-1
379,2479,-1
380,2291,-1
381,-1,-1
382,1395,-1
383,1453,-1
384,1503,-1
385,1453,-1
386,1901,-1
387,1451,-1
388,1507,-1
389,1766,-1
390,1901,-1
391,2490,-1
392,1453,-1
393,2482,-1
394,1264,-1
395,1495,-1
396,-1,-1
397,1317,-1
398,-1,-1
399,-1,-1
400,-1,-1
401,-1,-1
402,-1,-1
403,2486,-1
404,2918,-1
405,2892,-1
406,2128,-1
407,1507,-1
408,2493,-1
409,-1,-1
410,2914,-1
411,-1,-1
412,1503,-1
413,1756,-1
414,1451,-1
415,1451,-1
416,2418,-1
417,2486,-1
418,2491,-1
419,2423,-1
420,2889,-1
421,2878,-1
422,1453,-1
423,2880,-1
424,-1,-1
425,-1,-1
426,2457,-1
427,1951,-1
428,1396,-1
429,-1,-1
430,2880,-1
431,2468,-1
432,-1,-1
433,-1,-1
434,2893,-1
435,1901,-1
436,1502,-1
437,-1,-1
438,3104,-1
439,1756,-1
440,1503,-1
441,-1,-1
442,1505,-1
443,-1,-1
444,2491,-1
445,-1,-1
446,-1,-1
447,1263,-1
448,1470,-1
449,2929,-1
450,-1,-1
451,2471,-1
452,1199,-1
453,2412,-1
454,-1,-1
455,-1,-1
456,2493,-1
457,1388,-1
458,1451,-1
459,-1,-1
460,1451,-1
461,-1,-1
462,-1,-1
463,2870,-1
464,-1,-1
465,1500,-1
466,1451,-1
467,2417,-1
468,-1,-1
469,-1,-1
470,1516,-1
471,1501,-1
472,-1,-1
473,-1,-1
474,2879,-1
475,2914,-1
476,1449,-1
477,1453,-1
478,2952,-1
479,-1,-1
480,1505,-1
481,-1,-1
482,1503,-1
483,1768,-1
484,2952,-1
485,1780,-1
486,2914,-1
487,2887,-1
488,-1,-1
489,2482,-1
490,2932,-1
491,2889,-1
492,2491,-1
493,-1,-1
494,2924,-1
495,1451,-1
496,1925,-1
497,2483,-1
498,2747,-1
499,2914,-1
500,-1,-1
501,1509,-1
502,-1,-1
503,1503,-1
504,-1,-1
505,-1,-1
506,2880,-1
507,2894,-1
508,2918,-1
509,-1,-1
510,2914,-1
511,-1,-1
512,-1,-1
513,2890,-1
514,2918,-1
515,2895,-1
516,2292,-1
517,2895,-1
518,2914,-1
519,-1,-1
520,2472,-1
521,-1,-1
522,1449,-1
523,-1,-1
524,2931,-1
525,1495,-1
526,1451,-1
527,-1,-1
528,2487,-1
529,2458,-1
530,-1,-1
531,2395,-1
532,1948,-1
533,2918,-1
534,2914,-1
535,2493,-1
536,1925,-1
537,1779,-1
538,2458,-1
539,2307,-1
540,2959,-1
541,1453,-1
542,2493,-1
543,-1,-1
544,1503,-1
545,1858,-1
546,1754,-1
547,-1,-1
548,2782,-1
549,-1,-1
550,1780,-1
551,2932,-1
552,-1,-1
553,-1,-1
554,2459,-1
555,2284,-1
556,-1,-1
557,-1,-1
558,2424,-1
559,1473,-1
560,1451,-1
561,-1,-1
562,-1,-1
563,2466,-1
564,2424,-1
565,2476,-1
566,1500,-1
567,1903,-1
568,2890,-1
569,2491,-1
570,1491,-1
571,1740,-1
572,-1,-1
573,2490,-1
574,-1,-1
575,1451,-1
576,1505,-1
577,2469,-1
578,2918,-1
579,2488,-1
580,-1,-1
581,-1,-1
582,3261,-1
583,1503,-1
584,1492,-1
585,2921,-1
586,2482,-1
587,2758,-1
588,2791,-1
589,-1,-1
590,1511,-1
591,1494,-1
592,1263,-1
593,1499,-1
594,-1,-1
595,1740,-1
596,-1,-1
597,1502,-1
598,2470,-1
599,1522,-1
600,-1,-1
601,2954,-1
602,-1,-1
603,-1,-1
604,1453,-1
605,1472,-1
606,1473,-1
607,1890,-1
608,1453,-1
609,-1,-1
610,1503,-1
611,-1,-1
612,2486,-1
613,-1,-1
614,2895,-1
615,2490,-1
616,1451,-1
617,1601,-1
618,2758,-1
619,-1,-1
620,-1,-1
621,2486,-1
622,2417,-1
623,2786,-1
624,-1,-1
625,2493,-1
626,2766,-1
627,1901,-1
628,1506,-1
629,1506,-1
630,1759,-1
631,2490,-1
632,2292,-1
633,-1,-1
634,1514,-1
635,2937,-1
636,1519,-1
637,1502,-1
638,-1,-1
639,-1,-1
640,2878,-1
641,-1,-1
642,1518,-1
643,2424,-1
644,1771,-1
645,-1,-1
646,-1,-1
647,1472,-1
648,2423,-1
649,1453,-1
650,1503,-1
651,1507,-1
652,3179,-1
653,-1,-1
654,2486,-1
655,-1,-1
656,1505,-1
657,2878,-1
658,1263,-1
659,-1,-1
660,2483,-1
661,1511,-1
662,1512,-1
663,2482,-1
664,2493,-1
665,1451,-1
666,-1,-1
667,1740,-1
668,1487,-1
669,1501,-1
670,2177,-1
671,1500,-1
672,2471,-1
673,1503,-1
674,-1,-1
675,1455,-1
676,1473,-1
677,2241,-1
678,-1,-1
679,2957,-1
680,2918,-1
681,-1,-1
682,-1,-1
683,-1,-1
684,2491,-1
685,1495,-1
686,2468,-1
687,2458,-1
688,1901,-1
689,2893,-1
690,2472,-1
691,1453,-1
692,3035,-1
693,-1,-1
694,1502,-1
695,2887,-1
696,2970,-1
697,1453,-1
698,1451,-1
699,2933,-1
700,2455,-1
701,2914,-1
702,2154,-1
703,1373,-1
704,1502,-1
705,2921,-1
706,2914,-1
707,1475,-1
708,-1,-1
709,706,-1
710,2932,-1
711,2183,-1
712,1451,-1
713,2424,-1
714,2491,-1
715,1451,-1
716,2878,-1
717,-1,-1
718,2914,-1
719,-1,-1
720,1396,-1
721,1470,-1
722,1754,-1
723,1780,-1
724,2418,-1
725,1493,-1
726,1926,-1
727,1492,-1
728,-1,-1
729,1503,-1
730,-1,-1
731,2468,-1
732,931,-1
733,2840,-1
734,2966,-1
