# point_id,primitive_gid,primitive_dir_gid
0,0,-1
1,0,-1
2,2,-1
3,2,-1
4,0,-1
5,0,-1
6,0,-1
7,0,-1
8,4,-1
9,4,-1
10,4,-1
11,4,-1
12,4,-1
13,4,-1
14,4,-1
15,4,-1
16,4,-1
17,4,-1
18,4,-1
19,4,-1
20,4,-1
21,4,-1
22,4,-1
23,4,-1
24,4,-1
25,4,-1
26,4,-1
27,4,-1
28,4,-1
29,4,-1
30,4,-1
31,4,-1
32,4,-1
33,4,-1
34,4,-1
35,4,-1
36,4,-1
37,4,-1
38,4,-1
39,4,-1
40,4,-1
41,4,-1
42,4,-1
43,4,-1
44,4,-1
45,4,-1
46,4,-1
47,4,-1
48,4,-1
49,4,-1
50,4,-1
51,4,-1
52,4,-1
53,4,-1
54,4,-1
55,4,-1
56,2,-1
57,2,-1
58,2,-1
59,0,-1
60,0,-1
61,0,-1
62,0,-1
63,0,-1
64,4,-1
65,4,-1
66,4,-1
67,17,-1
68,4,-1
69,4,-1
70,4,-1
71,4,-1
72,4,-1
73,4,-1
74,4,-1
75,4,-1
76,4,-1
77,4,-1
78,4,-1
79,4,-1
80,4,-1
81,4,-1
82,4,-1
83,4,-1
84,4,-1
85,4,-1
86,4,-1
87,4,-1
88,4,-1
89,4,-1
90,4,-1
91,4,-1
92,4,-1
93,4,-1
94,4,-1
95,4,-1
96,4,-1
97,4,-1
98,4,-1
99,4,-1
100,4,-1
101,4,-1
102,4,-1
103,4,-1
104,4,-1
105,4,-1
106,4,-1
107,4,-1
108,4,-1
109,4,-1
110,4,-1
111,4,-1
112,4,-1
113,4,-1
114,4,-1
115,4,-1
116,4,-1
117,4,-1
118,4,-1
119,4,-1
120,4,-1
121,4,-1
122,4,-1
123,4,-1
124,4,-1
125,4,-1
126,4,-1
127,4,-1
128,4,-1
129,4,-1
130,4,-1
131,4,-1
132,4,-1
133,4,-1
134,4,-1
135,4,-1
136,4,-1
137,4,-1
138,4,-1
139,4,-1
140,4,-1
141,4,-1
142,4,-1
143,4,-1
144,4,-1
145,4,-1
146,4,-1
147,4,-1
148,4,-1
149,4,-1
150,4,-1
151,4,-1
152,4,-1
153,4,-1
154,4,-1
155,4,-1
156,4,-1
157,4,-1
158,4,-1
159,4,-1
160,4,-1
161,4,-1
162,4,-1
163,4,-1
164,4,-1
165,4,-1
166,4,-1
167,4,-1
168,4,-1
169,4,-1
170,4,-1
171,4,-1
172,4,-1
173,4,-1
174,4,-1
175,4,-1
176,4,-1
177,4,-1
178,4,-1
179,4,-1
180,4,-1
181,4,-1
182,4,-1
183,4,-1
184,4,-1
185,4,-1
186,4,-1
187,4,-1
188,4,-1
189,4,-1
190,4,-1
191,4,-1
192,4,-1
193,4,-1
194,4,-1
195,4,-1
196,4,-1
197,4,-1
198,4,-1
199,4,-1
200,4,-1
201,4,-1
202,4,-1
203,4,-1
204,4,-1
205,4,-1
206,4,-1
207,4,-1
208,4,-1
209,4,-1
210,4,-1
211,4,-1
212,4,-1
213,4,-1
214,4,-1
215,4,-1
216,4,-1
217,4,-1
218,4,-1
219,4,-1
220,4,-1
221,4,-1
222,4,-1
223,4,-1
224,4,-1
225,4,-1
226,4,-1
227,4,-1
228,4,-1
229,4,-1
230,4,-1
231,4,-1
232,4,-1
233,4,-1
234,2,-1
235,2,-1
236,2,-1
237,2,-1
238,2,-1
239,2,-1
240,0,-1
241,0,-1
242,0,-1
243,0,-1
244,13,-1
245,4,-1
246,4,-1
247,4,-1
248,4,-1
249,4,-1
250,4,-1
251,4,-1
252,4,-1
253,4,-1
254,4,-1
255,4,-1
256,4,-1
257,4,-1
258,4,-1
259,4,-1
260,4,-1
261,4,-1
262,4,-1
263,4,-1
264,4,-1
265,4,-1
266,4,-1
267,4,-1
268,4,-1
269,4,-1
270,4,-1
271,4,-1
272,4,-1
273,4,-1
274,4,-1
275,4,-1
276,4,-1
277,4,-1
278,4,-1
279,4,-1
280,4,-1
281,4,-1
282,4,-1
283,4,-1
284,4,-1
285,4,-1
286,4,-1
287,4,-1
288,4,-1
289,4,-1
290,4,-1
291,4,-1
292,4,-1
293,4,-1
294,4,-1
295,4,-1
296,4,-1
297,4,-1
298,4,-1
299,4,-1
300,4,-1
301,4,-1
302,4,-1
303,4,-1
304,4,-1
305,4,-1
306,4,-1
307,4,-1
308,4,-1
309,4,-1
310,4,-1
311,4,-1
312,4,-1
313,4,-1
314,4,-1
315,4,-1
316,4,-1
317,4,-1
318,4,-1
319,4,-1
320,4,-1
321,4,-1
322,4,-1
323,4,-1
324,4,-1
325,4,-1
326,4,-1
327,4,-1
328,4,-1
329,4,-1
330,4,-1
331,4,-1
332,4,-1
333,4,-1
334,4,-1
335,4,-1
336,4,-1
337,4,-1
338,4,-1
339,4,-1
340,4,-1
341,4,-1
342,4,-1
343,4,-1
344,4,-1
345,4,-1
346,4,-1
347,4,-1
348,4,-1
349,4,-1
350,4,-1
351,4,-1
352,4,-1
353,4,-1
354,4,-1
355,4,-1
