# point_id,primitive_gid,primitive_dir_gid
0,4666,-1
1,4666,-1
2,167,-1
3,4666,-1
4,4666,-1
5,167,-1
6,4666,-1
7,4666,-1
8,4666,-1
9,4666,-1
10,4666,-1
11,167,-1
12,4666,-1
13,4666,-1
14,4666,-1
15,4666,-1
16,4666,-1
17,4666,-1
18,4666,-1
19,4666,-1
20,167,-1
21,4666,-1
22,167,-1
23,167,-1
24,167,-1
25,167,-1
26,167,-1
27,4666,-1
28,167,-1
29,167,-1
30,4666,-1
31,4666,-1
32,167,-1
33,167,-1
34,4666,-1
35,4666,-1
36,4666,-1
37,4666,-1
38,4666,-1
39,4666,-1
40,4666,-1
41,4666,-1
42,4666,-1
43,4666,-1
44,167,-1
45,167,-1
46,4666,-1
47,4666,-1
48,4666,-1
49,4666,-1
50,167,-1
51,167,-1
52,167,-1
53,167,-1
54,4666,-1
55,4666,-1
56,4666,-1
57,167,-1
58,167,-1
59,167,-1
60,167,-1
61,167,-1
62,167,-1
63,4666,-1
64,167,-1
65,167,-1
66,4666,-1
67,4666,-1
68,4666,-1
69,4666,-1
70,167,-1
71,4666,-1
72,4666,-1
73,167,-1
74,167,-1
75,4666,-1
76,4666,-1
77,4666,-1
78,4666,-1
79,167,-1
80,167,-1
81,4666,-1
82,4666,-1
83,4666,-1
84,4666,-1
85,4666,-1
86,4666,-1
87,4666,-1
88,4666,-1
89,167,-1
90,4666,-1
91,4666,-1
92,4666,-1
93,167,-1
94,167,-1
95,167,-1
96,167,-1
97,4666,-1
98,4666,-1
99,4666,-1
100,4666,-1
101,167,-1
102,4666,-1
103,4666,-1
104,4666,-1
105,4666,-1
106,4666,-1
107,4666,-1
108,167,-1
109,4666,-1
110,4666,-1
111,4666,-1
112,4666,-1
113,4666,-1
114,4666,-1
115,4666,-1
116,4666,-1
117,4666,-1
118,4666,-1
119,4666,-1
120,4666,-1
121,4666,-1
122,4666,-1
123,167,-1
124,167,-1
125,167,-1
126,4666,-1
127,4666,-1
128,4666,-1
129,4666,-1
130,4666,-1
131,4666,-1
132,4666,-1
133,4666,-1
134,4666,-1
135,4666,-1
136,4666,-1
137,167,-1
138,167,-1
139,167,-1
140,167,-1
141,4666,-1
142,4666,-1
143,4666,-1
144,167,-1
145,4666,-1
146,4666,-1
147,4666,-1
148,4666,-1
149,167,-1
150,167,-1
151,167,-1
152,4666,-1
153,4666,-1
154,4666,-1
155,4666,-1
156,167,-1
157,4666,-1
158,4666,-1
159,4666,-1
160,4666,-1
161,4666,-1
162,4666,-1
163,167,-1
164,4666,-1
165,4666,-1
166,4666,-1
167,167,-1
168,1919,-1
169,4666,-1
170,4666,-1
171,4666,-1
172,4666,-1
173,4666,-1
174,167,-1
175,167,-1
176,4666,-1
177,4666,-1
178,4666,-1
179,4666,-1
180,167,-1
181,167,-1
182,167,-1
183,4666,-1
184,4666,-1
185,4666,-1
186,4666,-1
187,4666,-1
188,4666,-1
189,4666,-1
190,4666,-1
191,4666,-1
192,167,-1
193,167,-1
194,167,-1
195,4666,-1
196,167,-1
197,4666,-1
198,4666,-1
199,4666,-1
200,4666,-1
201,4666,-1
202,4666,-1
203,4666,-1
204,4666,-1
205,4666,-1
206,4666,-1
207,167,-1
208,167,-1
209,4666,-1
210,4666,-1
211,4666,-1
212,4666,-1
213,4666,-1
214,4666,-1
215,4666,-1
216,4666,-1
217,4666,-1
218,4666,-1
219,4666,-1
220,4666,-1
221,4666,-1
222,4666,-1
223,167,-1
224,4666,-1
225,4666,-1
226,4666,-1
227,4666,-1
228,4666,-1
229,4666,-1
230,4666,-1
231,4666,-1
232,4666,-1
233,4666,-1
234,4666,-1
235,4666,-1
236,4666,-1
237,4666,-1
238,4666,-1
239,4666,-1
240,4666,-1
241,4666,-1
242,4666,-1
243,4666,-1
244,4666,-1
245,4666,-1
246,4666,-1
247,4666,-1
248,4666,-1
249,4666,-1
250,4666,-1
251,4666,-1
252,4666,-1
253,4666,-1
254,4666,-1
255,4666,-1
256,4666,-1
257,4666,-1
258,4666,-1
259,4666,-1
260,4666,-1
261,4666,-1
262,4666,-1
263,4666,-1
264,4666,-1
265,4666,-1
266,4666,-1
267,4666,-1
268,167,-1
269,4666,-1
270,4666,-1
271,4666,-1
