# point_id,primitive_gid,primitive_dir_gid
0,19,-1
1,19,-1
2,5,-1
3,19,-1
4,19,-1
5,5,-1
6,20,-1
7,19,-1
8,19,-1
9,19,-1
10,19,-1
11,5,-1
12,20,-1
13,19,-1
14,19,-1
15,19,-1
16,19,-1
17,19,-1
18,19,-1
19,19,-1
20,19,-1
21,19,-1
22,19,-1
23,5,-1
24,5,-1
25,5,-1
26,5,-1
27,19,-1
28,5,-1
29,5,-1
30,20,-1
31,19,-1
32,5,-1
33,5,-1
34,20,-1
35,20,-1
36,19,-1
37,19,-1
38,19,-1
39,20,-1
40,20,-1
41,19,-1
42,19,-1
43,19,-1
44,19,-1
45,5,-1
46,20,-1
47,20,-1
48,20,-1
49,19,-1
50,5,-1
51,5,-1
52,5,-1
53,5,-1
54,20,-1
55,20,-1
56,19,-1
57,5,-1
58,5,-1
59,5,-1
60,5,-1
61,5,-1
62,5,-1
63,20,-1
64,5,-1
65,5,-1
66,20,-1
67,19,-1
68,19,-1
69,19,-1
70,5,-1
71,20,-1
72,20,-1
73,5,-1
74,25,-1
75,20,-1
76,20,-1
77,20,-1
78,19,-1
79,5,-1
80,5,-1
81,20,-1
82,19,-1
83,19,-1
84,19,-1
85,20,-1
86,19,-1
87,19,-1
88,19,-1
89,25,-1
90,20,-1
91,20,-1
92,19,-1
93,5,-1
94,5,-1
95,25,-1
96,25,-1
97,20,-1
98,20,-1
99,19,-1
100,5,-1
101,25,-1
102,20,-1
103,20,-1
104,20,-1
105,20,-1
106,20,-1
107,19,-1
108,25,-1
109,20,-1
110,20,-1
111,20,-1
112,20,-1
113,20,-1
114,20,-1
115,5,-1
116,20,-1
117,20,-1
118,20,-1
119,20,-1
120,20,-1
121,20,-1
122,5,-1
123,25,-1
124,25,-1
125,25,-1
126,20,-1
127,20,-1
128,19,-1
129,20,-1
130,20,-1
131,20,-1
132,20,-1
133,20,-1
134,20,-1
135,20,-1
136,19,-1
137,5,-1
138,5,-1
139,25,-1
140,25,-1
141,20,-1
142,20,-1
143,20,-1
144,25,-1
145,20,-1
146,20,-1
147,20,-1
148,20,-1
149,25,-1
150,25,-1
151,25,-1
152,20,-1
153,20,-1
154,20,-1
155,20,-1
156,25,-1
157,20,-1
158,20,-1
159,20,-1
160,20,-1
161,20,-1
162,20,-1
163,25,-1
164,20,-1
165,20,-1
166,25,-1
167,25,-1
168,25,-1
169,20,-1
170,20,-1
171,20,-1
172,20,-1
173,20,-1
174,25,-1
175,25,-1
176,20,-1
177,20,-1
178,1,-1
179,10,-1
180,25,-1
181,25,-1
182,25,-1
183,20,-1
184,20,-1
185,20,-1
186,20,-1
187,20,-1
188,20,-1
189,20,-1
190,1,-1
191,1,-1
192,25,-1
193,25,-1
194,25,-1
195,10,-1
196,25,-1
197,20,-1
198,20,-1
199,20,-1
200,20,-1
201,1,-1
202,1,-1
203,1,-1
204,1,-1
