# point_id,primitive_gid,primitive_dir_gid
0,6,-1
1,6,-1
2,39,-1
3,6,-1
4,6,-1
5,289,-1
6,6,-1
7,6,-1
8,6,-1
9,6,-1
10,6,-1
11,18,-1
12,6,-1
13,6,-1
14,6,-1
15,6,-1
16,6,-1
17,6,-1
18,6,-1
19,6,-1
20,397,-1
21,6,-1
22,18,-1
23,18,-1
24,18,-1
25,18,-1
26,18,-1
27,6,-1
28,155,-1
29,18,-1
30,6,-1
31,6,-1
32,18,-1
33,18,-1
34,6,-1
35,6,-1
36,6,-1
37,6,-1
38,6,-1
39,6,-1
40,6,-1
41,6,-1
42,6,-1
43,6,-1
44,18,-1
45,18,-1
46,6,-1
47,6,-1
48,6,-1
49,6,-1
50,18,-1
51,18,-1
52,18,-1
53,18,-1
54,6,-1
55,6,-1
56,6,-1
57,226,-1
58,18,-1
59,18,-1
60,18,-1
61,18,-1
62,18,-1
63,6,-1
64,18,-1
65,18,-1
66,6,-1
67,6,-1
68,306,-1
69,18,-1
70,18,-1
71,6,-1
72,175,-1
73,18,-1
74,18,-1
75,6,-1
76,6,-1
77,6,-1
78,392,-1
79,18,-1
80,18,-1
81,6,-1
82,6,-1
83,6,-1
84,18,-1
85,6,-1
86,6,-1
87,6,-1
88,137,-1
89,18,-1
90,6,-1
91,6,-1
92,137,-1
93,18,-1
94,18,-1
95,18,-1
96,18,-1
97,219,-1
98,6,-1
99,6,-1
100,137,-1
101,18,-1
102,323,-1
103,6,-1
104,472,-1
105,219,-1
106,6,-1
107,6,-1
108,18,-1
109,6,-1
110,6,-1
111,6,-1
112,6,-1
113,6,-1
114,6,-1
115,18,-1
116,6,-1
117,6,-1
118,6,-1
119,6,-1
120,6,-1
121,6,-1
122,18,-1
123,41,-1
124,18,-1
125,18,-1
126,473,-1
127,6,-1
128,6,-1
129,21,-1
130,6,-1
131,6,-1
132,6,-1
133,6,-1
134,6,-1
135,6,-1
136,6,-1
137,18,-1
138,18,-1
139,18,-1
140,18,-1
141,21,-1
142,6,-1
143,6,-1
144,18,-1
145,6,-1
146,281,-1
147,6,-1
148,6,-1
149,18,-1
150,18,-1
151,18,-1
152,6,-1
153,6,-1
154,6,-1
155,6,-1
156,423,-1
157,281,-1
158,6,-1
159,6,-1
160,6,-1
161,6,-1
162,6,-1
163,18,-1
164,6,-1
165,6,-1
166,6,-1
167,18,-1
168,423,-1
169,6,-1
170,6,-1
171,6,-1
172,6,-1
173,6,-1
174,18,-1
175,18,-1
176,6,-1
177,6,-1
178,6,-1
179,6,-1
180,18,-1
181,18,-1
182,255,-1
183,6,-1
184,6,-1
185,464,-1
186,267,-1
187,6,-1
188,267,-1
189,308,-1
190,6,-1
191,6,-1
192,408,-1
193,18,-1
194,241,-1
195,6,-1
196,101,-1
197,6,-1
198,403,-1
199,355,-1
200,6,-1
201,6,-1
202,6,-1
203,6,-1
204,6,-1
205,6,-1
206,6,-1
207,18,-1
208,18,-1
209,6,-1
210,6,-1
211,6,-1
212,6,-1
213,6,-1
214,6,-1
215,6,-1
216,6,-1
217,6,-1
218,6,-1
219,6,-1
220,6,-1
221,6,-1
