>>                                             First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
    0     401    3.510961e+04    0.000e+00    9.247e+04
    1     812    1.895420e+04    0.000e+00    3.018e+04    3.125e-01
    2    1215    1.627616e+04    0.000e+00    1.619e+04    3.125e-01
    3    1619    1.619329e+04    0.000e+00    1.417e+04    8.759e-02
    4    2024    1.612887e+04    0.000e+00    1.739e+04    1.752e-01
    5    2430    1.568950e+04    0.000e+00    1.437e+04    8.759e-02
    6    2836    1.562976e+04    0.000e+00    7.362e+03    8.759e-02
    7    3241    1.544883e+04    0.000e+00    5.128e+03    8.759e-02
    8    3648    1.540874e+04    0.000e+00    2.177e+03    4.380e-02
    9    4055    1.538547e+04    0.000e+00    8.763e+02    2.190e-02
   10    4458    1.538445e+04    0.000e+00    8.214e+02    2.190e-02
   11    4865    1.538089e+04    0.000e+00    3.050e+02    1.095e-02
   12    5274    1.538068e+04    0.000e+00    1.667e+02    1.369e-03
   13    5676    1.538065e+04    0.000e+00    1.420e+02    2.737e-03
   14    6083    1.538059e+04    0.000e+00    1.883e+02    1.369e-03
   15    6485    1.538053e+04    0.000e+00    1.809e+02    2.737e-03
   16    6891    1.538050e+04    0.000e+00    9.776e+01    2.737e-03
   17    7293    1.538049e+04    0.000e+00    8.742e+01    2.737e-03
   18    7701    1.538045e+04    0.000e+00    9.543e+01    6.843e-04
   19    8104    1.538045e+04    0.000e+00    9.089e+01    6.843e-04
   20    8509    1.538042e+04    0.000e+00    2.951e+01    1.369e-03
   21    8913    1.538042e+04    0.000e+00    2.879e+01    6.843e-04
   22    9318    1.538042e+04    0.000e+00    2.492e+01    1.369e-03
   23    9721    1.538042e+04    0.000e+00    1.121e+01    6.843e-04
   24   10127    1.538041e+04    0.000e+00    4.376e+00    6.843e-04
   25   10534    1.538041e+04    0.000e+00    2.826e+00    3.422e-04
   26   10938    1.538041e+04    0.000e+00    2.677e+00    8.554e-05
   27   11343    1.538041e+04    0.000e+00    2.568e-01    1.711e-04
   28   11753    1.538041e+04    0.000e+00    3.047e-01    3.742e-05
   29   12157    1.538041e+04    0.000e+00    2.456e-01    1.871e-05
   30   12563    1.538041e+04    0.000e+00    7.812e-02    1.871e-05

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
   31   12967    1.538041e+04    0.000e+00    7.129e-02    9.356e-06
   32   13373    1.538041e+04    0.000e+00    3.125e-02    9.356e-06
   33   13777    1.538041e+04    0.000e+00    3.662e-02    4.678e-06

