>>                                             First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
    0    2001    1.753639e+03    0.000e+00    9.071e+03
    1    4013    6.359190e+02    0.000e+00    3.088e+03    3.494e-01
    2    6017    6.099687e+02    0.000e+00    2.686e+03    1.747e-01
    3    8023    5.508241e+02    0.000e+00    1.381e+03    1.747e-01
    4   10027    4.999506e+02    0.000e+00    9.735e+02    8.735e-02
    5   12032    4.689988e+02    0.000e+00    1.445e+02    1.747e-01
    6   14035    4.621939e+02    0.000e+00    3.097e+02    1.747e-01
    7   16040    4.573905e+02    0.000e+00    2.060e+00    2.955e-02
    8   18051    4.573875e+02    0.000e+00    1.482e+01    5.459e-03
    9   20054    4.573834e+02    0.000e+00    2.232e+00    5.459e-03
   10   22059    4.573823e+02    0.000e+00    1.029e-01    2.846e-03
   11   24072    4.573823e+02    0.000e+00    2.154e-01    7.782e-05
   12   26076    4.573823e+02    0.000e+00    9.283e-02    3.891e-05
   13   28085    4.573823e+02    0.000e+00    7.269e-02    4.864e-06
   14   30087    4.573823e+02    0.000e+00    7.188e-02    4.864e-06
   15   32092    4.573823e+02    0.000e+00    7.721e-03    9.727e-06
   16   34099    4.573823e+02    0.000e+00    8.698e-03    1.702e-05
   17   36106    4.573823e+02    0.000e+00    2.319e-03    8.511e-06
   18   38114    4.573823e+02    0.000e+00    3.914e-03    2.128e-06
   19   40118    4.573823e+02    0.000e+00    3.628e-03    1.064e-06
   20   42125    4.573823e+02    0.000e+00    3.471e-03    5.320e-07
   21   44127    4.573823e+02    0.000e+00    3.471e-03    5.320e-07
   22   46132    4.573823e+02    0.000e+00    4.768e-04    1.064e-06
   23   48136    4.573823e+02    0.000e+00    5.875e-04    5.320e-07
   24   50142    4.573823e+02    0.000e+00    7.629e-05    5.320e-07
   25   52146    4.573823e+02    0.000e+00    1.183e-04    2.660e-07
   26   54152    4.573823e+02    0.000e+00    1.144e-04    2.660e-07
   27   56156    4.573823e+02    0.000e+00    1.259e-04    1.330e-07
   28   58162    4.573823e+02    0.000e+00    8.011e-05    1.330e-07
   29   60168    4.573823e+02    0.000e+00    5.341e-05    1.330e-07
   30   62178    4.573823e+02    0.000e+00    3.052e-05    4.156e-09

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
   31   64180    4.573823e+02    0.000e+00    7.248e-05    8.312e-09

