>>                                             First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
    0    2401    2.248646e+04    0.000e+00    9.634e+04
    1    4813    4.583314e+03    0.000e+00    5.188e+03    3.827e-01
    2    7222    4.426908e+03    0.000e+00    3.257e+03    4.784e-02
    3    9625    4.402891e+03    0.000e+00    1.805e+03    4.784e-02
    4   12032    4.383058e+03    0.000e+00    1.044e+03    2.392e-02
    5   14434    4.382963e+03    0.000e+00    2.343e+03    4.784e-02
    6   16839    4.368348e+03    0.000e+00    5.313e+02    9.568e-02
    7   19242    4.368198e+03    0.000e+00    4.376e+02    9.568e-02
    8   21648    4.367593e+03    0.000e+00    6.055e+01    9.568e-02
    9   24051    4.366594e+03    0.000e+00    2.015e+02    4.784e-02
   10   26456    4.365458e+03    0.000e+00    5.436e-01    4.310e-02
   11   28868    4.365458e+03    0.000e+00    4.999e-01    1.269e-03
   12   31271    4.365458e+03    0.000e+00    4.221e-01    6.344e-04
   13   33672    4.365458e+03    0.000e+00    5.286e-02    6.672e-04
   14   36080    4.365458e+03    0.000e+00    2.828e-01    1.668e-04
   15   38491    4.365458e+03    0.000e+00    3.514e-01    5.212e-06
   16   40893    4.365458e+03    0.000e+00    3.364e-01    5.212e-06
   17   43294    4.365458e+03    0.000e+00    5.658e-02    1.355e-05
   18   45695    4.365458e+03    0.000e+00    1.831e-04    1.414e-06
   19   48096    4.365458e+03    0.000e+00    1.831e-04    1.288e-07
   20   50497    4.365458e+03    0.000e+00    4.272e-04    1.188e-07

