# point_id,primitive_gid,primitive_dir_gid
0,8,-1
1,8,-1
2,8,-1
3,8,-1
4,8,-1
5,8,-1
6,8,-1
7,8,-1
8,8,-1
9,8,-1
10,8,-1
11,8,-1
12,203,-1
13,135,-1
14,141,-1
15,8,-1
16,8,-1
17,8,-1
18,8,-1
19,8,-1
20,8,-1
21,8,-1
22,8,-1
23,8,-1
24,8,-1
25,8,-1
26,8,-1
27,8,-1
28,8,-1
29,8,-1
30,123,-1
31,141,-1
32,141,-1
33,141,-1
34,132,-1
35,289,-1
36,8,-1
37,8,-1
38,8,-1
39,8,-1
40,8,-1
41,8,-1
42,8,-1
43,8,-1
44,8,-1
45,8,-1
46,8,-1
47,8,-1
48,8,-1
49,8,-1
50,8,-1
51,8,-1
52,123,-1
53,123,-1
54,141,-1
55,141,-1
56,141,-1
57,132,-1
58,8,-1
59,8,-1
60,8,-1
61,8,-1
62,8,-1
63,8,-1
64,8,-1
65,8,-1
66,8,-1
67,8,-1
68,8,-1
69,8,-1
70,8,-1
71,8,-1
72,8,-1
73,8,-1
74,8,-1
75,8,-1
76,8,-1
77,8,-1
78,103,-1
79,123,-1
80,126,-1
81,11,-1
82,34,-1
83,141,-1
84,132,-1
85,8,-1
86,8,-1
87,8,-1
88,8,-1
89,8,-1
90,8,-1
91,8,-1
92,8,-1
93,8,-1
94,8,-1
95,8,-1
96,8,-1
97,8,-1
98,8,-1
99,8,-1
100,8,-1
101,8,-1
102,8,-1
103,8,-1
104,8,-1
105,8,-1
106,8,-1
107,8,-1
108,8,-1
109,48,-1
110,123,-1
111,123,-1
112,11,-1
113,141,-1
114,34,-1
115,34,-1
116,8,-1
117,8,-1
118,8,-1
119,8,-1
120,8,-1
121,8,-1
122,8,-1
123,8,-1
124,8,-1
125,8,-1
126,8,-1
127,8,-1
128,8,-1
129,8,-1
130,8,-1
131,8,-1
132,8,-1
133,8,-1
134,8,-1
135,8,-1
136,8,-1
137,8,-1
138,8,-1
139,8,-1
140,8,-1
141,8,-1
142,8,-1
143,123,-1
144,103,-1
145,136,-1
146,11,-1
147,11,-1
148,34,-1
149,34,-1
150,34,-1
151,8,-1
152,8,-1
153,8,-1
154,8,-1
155,8,-1
156,8,-1
157,8,-1
158,8,-1
159,8,-1
160,8,-1
