# point_id,primitive_gid,primitive_dir_gid
0,-1,-1
1,-1,-1
2,56,-1
3,-1,-1
4,-1,-1
5,-1,-1
6,-1,-1
7,48,-1
8,48,-1
9,48,-1
10,48,-1
11,48,-1
12,-1,-1
13,-1,-1
14,-1,-1
15,-1,-1
16,56,-1
17,-1,-1
18,-1,-1
19,56,-1
20,56,-1
21,-1,-1
22,-1,-1
23,-1,-1
24,-1,-1
25,-1,-1
26,48,-1
27,48,-1
28,48,-1
29,48,-1
30,-1,-1
31,-1,-1
32,-1,-1
33,-1,-1
34,-1,-1
35,-1,-1
36,56,-1
37,56,-1
38,56,-1
39,56,-1
40,-1,-1
41,-1,-1
42,-1,-1
43,-1,-1
44,-1,-1
45,48,-1
46,-1,-1
47,48,-1
48,48,-1
49,48,-1
50,48,-1
51,48,-1
52,-1,-1
53,-1,-1
54,-1,-1
55,-1,-1
56,-1,-1
57,-1,-1
58,56,-1
59,-1,-1
60,56,-1
61,56,-1
62,56,-1
63,56,-1
64,56,-1
65,56,-1
66,56,-1
67,56,-1
68,-1,-1
69,48,-1
70,-1,-1
71,48,-1
72,48,-1
73,48,-1
74,48,-1
75,48,-1
76,48,-1
77,48,-1
78,-1,-1
79,-1,-1
80,-1,-1
81,-1,-1
82,-1,-1
83,-1,-1
84,-1,-1
85,56,-1
86,-1,-1
87,56,-1
88,56,-1
89,56,-1
90,56,-1
91,56,-1
92,56,-1
93,56,-1
94,56,-1
95,-1,-1
96,56,-1
97,-1,-1
98,48,-1
99,48,-1
100,48,-1
101,48,-1
102,48,-1
103,48,-1
104,48,-1
105,48,-1
106,48,-1
107,48,-1
108,48,-1
109,-1,-1
110,-1,-1
111,-1,-1
112,-1,-1
113,-1,-1
114,-1,-1
115,-1,-1
116,56,-1
117,56,-1
118,-1,-1
119,56,-1
120,56,-1
121,56,-1
122,56,-1
123,56,-1
124,56,-1
125,56,-1
126,56,-1
127,56,-1
128,-1,-1
129,56,-1
130,-1,-1
131,-1,-1
132,48,-1
133,48,-1
134,48,-1
135,48,-1
136,48,-1
137,48,-1
138,48,-1
139,48,-1
140,48,-1
141,48,-1
142,48,-1
143,-1,-1
144,-1,-1
145,-1,-1
146,49,-1
147,-1,-1
148,-1,-1
149,-1,-1
150,-1,-1
151,56,-1
152,56,-1
153,56,-1
154,56,-1
155,56,-1
156,56,-1
157,56,-1
158,56,-1
159,56,-1
160,56,-1
161,56,-1
162,56,-1
163,56,-1
164,56,-1
165,-1,-1
166,-1,-1
167,-1,-1
168,-1,-1
169,48,-1
170,48,-1
171,48,-1
172,-1,-1
173,48,-1
174,48,-1
175,48,-1
176,48,-1
177,48,-1
178,48,-1
179,48,-1
180,48,-1
181,-1,-1
182,-1,-1
183,-1,-1
184,49,-1
185,49,-1
186,49,-1
187,-1,-1
188,-1,-1
189,-1,-1
190,-1,-1
191,56,-1
192,56,-1
193,56,-1
194,56,-1
195,56,-1
196,56,-1
197,56,-1
198,56,-1
199,56,-1
200,56,-1
201,56,-1
202,56,-1
203,56,-1
204,56,-1
205,-1,-1
206,-1,-1
207,-1,-1
208,-1,-1
209,-1,-1
210,48,-1
211,48,-1
212,48,-1
213,48,-1
214,48,-1
215,48,-1
216,48,-1
217,48,-1
218,48,-1
219,48,-1
220,48,-1
221,48,-1
222,-1,-1
223,-1,-1
224,-1,-1
225,-1,-1
226,49,-1
227,49,-1
228,49,-1
229,49,-1
230,-1,-1
231,-1,-1
232,-1,-1
233,-1,-1
234,56,-1
235,56,-1
236,56,-1
237,56,-1
238,56,-1
239,56,-1
240,56,-1
241,56,-1
242,56,-1
243,56,-1
244,56,-1
245,56,-1
246,56,-1
247,56,-1
248,56,-1
249,56,-1
250,56,-1
251,-1,-1
252,-1,-1
253,-1,-1
254,48,-1
255,48,-1
256,48,-1
257,48,-1
258,48,-1
259,48,-1
260,48,-1
261,48,-1
262,48,-1
263,48,-1
264,48,-1
265,48,-1
266,48,-1
267,48,-1
268,-1,-1
269,-1,-1
270,-1,-1
271,-1,-1
272,-1,-1
273,49,-1
274,49,-1
275,49,-1
276,49,-1
277,49,-1
278,-1,-1
279,-1,-1
280,-1,-1
281,56,-1
282,56,-1
283,56,-1
284,56,-1
285,56,-1
286,56,-1
287,56,-1
288,56,-1
289,56,-1
290,56,-1
291,56,-1
292,56,-1
293,56,-1
294,56,-1
295,56,-1
296,56,-1
297,56,-1
298,56,-1
299,56,-1
300,-1,-1
301,-1,-1
302,-1,-1
303,-1,-1
304,48,-1
305,48,-1
306,48,-1
307,48,-1
308,48,-1
309,48,-1
310,48,-1
311,48,-1
312,48,-1
313,48,-1
314,48,-1
315,48,-1
316,48,-1
317,48,-1
318,48,-1
319,-1,-1
320,-1,-1
321,-1,-1
322,-1,-1
323,49,-1
324,49,-1
325,49,-1
326,49,-1
327,49,-1
328,-1,-1
329,-1,-1
330,-1,-1
331,-1,-1
332,56,-1
333,56,-1
334,56,-1
335,56,-1
336,56,-1
337,56,-1
338,56,-1
339,56,-1
340,56,-1
341,56,-1
342,56,-1
343,56,-1
344,56,-1
345,56,-1
346,56,-1
347,56,-1
348,-1,-1
349,-1,-1
350,56,-1
351,-1,-1
352,-1,-1
353,-1,-1
354,48,-1
355,48,-1
356,48,-1
357,48,-1
358,48,-1
359,48,-1
360,48,-1
361,48,-1
362,48,-1
363,48,-1
364,48,-1
365,48,-1
366,48,-1
367,48,-1
368,48,-1
369,48,-1
370,48,-1
371,-1,-1
372,-1,-1
373,-1,-1
374,-1,-1
375,-1,-1
376,49,-1
377,49,-1
378,49,-1
379,49,-1
380,49,-1
381,49,-1
382,-1,-1
383,-1,-1
384,56,-1
385,56,-1
386,56,-1
387,56,-1
388,56,-1
389,56,-1
390,56,-1
391,56,-1
392,56,-1
393,56,-1
394,56,-1
395,56,-1
396,56,-1
397,56,-1
398,56,-1
399,56,-1
400,56,-1
401,56,-1
402,56,-1
403,-1,-1
404,56,-1
405,-1,-1
406,-1,-1
407,-1,-1
408,48,-1
409,48,-1
410,48,-1
411,48,-1
412,48,-1
413,48,-1
414,48,-1
415,48,-1
416,48,-1
417,48,-1
418,48,-1
419,48,-1
420,48,-1
421,48,-1
422,48,-1
423,48,-1
424,48,-1
425,-1,-1
426,-1,-1
427,-1,-1
428,-1,-1
429,-1,-1
430,49,-1
431,49,-1
432,49,-1
433,49,-1
434,49,-1
435,49,-1
436,49,-1
437,-1,-1
438,-1,-1
439,56,-1
440,56,-1
441,56,-1
442,56,-1
443,56,-1
444,56,-1
445,56,-1
446,56,-1
447,56,-1
448,56,-1
449,56,-1
450,56,-1
451,56,-1
452,56,-1
453,56,-1
454,56,-1
455,56,-1
456,56,-1
457,56,-1
458,-1,-1
459,-1,-1
460,-1,-1
461,-1,-1
462,-1,-1
463,-1,-1
464,48,-1
465,48,-1
466,48,-1
467,48,-1
468,48,-1
469,48,-1
470,48,-1
471,48,-1
472,48,-1
473,48,-1
474,48,-1
475,48,-1
476,48,-1
477,48,-1
478,48,-1
479,48,-1
480,48,-1
481,-1,-1
482,-1,-1
483,-1,-1
484,-1,-1
485,-1,-1
486,-1,-1
487,49,-1
488,49,-1
489,49,-1
490,49,-1
491,49,-1
492,49,-1
493,49,-1
494,-1,-1
495,-1,-1
496,56,-1
497,56,-1
498,56,-1
499,56,-1
500,56,-1
501,56,-1
502,56,-1
503,56,-1
504,56,-1
505,56,-1
506,56,-1
507,56,-1
508,56,-1
509,56,-1
510,56,-1
511,56,-1
512,56,-1
513,56,-1
514,56,-1
515,-1,-1
516,56,-1
517,-1,-1
518,-1,-1
519,48,-1
520,48,-1
521,48,-1
522,48,-1
523,48,-1
524,48,-1
525,48,-1
526,48,-1
527,48,-1
528,48,-1
529,48,-1
530,48,-1
531,48,-1
532,48,-1
533,48,-1
534,48,-1
535,48,-1
536,48,-1
537,48,-1
538,48,-1
539,48,-1
540,-1,-1
541,-1,-1
542,-1,-1
543,-1,-1
544,-1,-1
545,49,-1
546,49,-1
547,49,-1
548,49,-1
549,49,-1
550,49,-1
551,49,-1
552,49,-1
553,-1,-1
554,-1,-1
555,-1,-1
556,56,-1
557,56,-1
558,56,-1
559,56,-1
560,56,-1
561,56,-1
562,56,-1
563,56,-1
564,56,-1
565,56,-1
566,56,-1
567,56,-1
568,56,-1
569,56,-1
570,56,-1
571,56,-1
572,56,-1
573,56,-1
574,56,-1
575,56,-1
576,-1,-1
577,-1,-1
578,-1,-1
579,48,-1
580,48,-1
581,48,-1
582,48,-1
583,48,-1
584,48,-1
585,48,-1
586,48,-1
587,48,-1
588,48,-1
589,48,-1
590,48,-1
591,48,-1
592,48,-1
593,48,-1
594,48,-1
595,48,-1
596,48,-1
597,48,-1
598,48,-1
599,48,-1
600,48,-1
601,-1,-1
602,-1,-1
603,-1,-1
604,-1,-1
605,-1,-1
606,-1,-1
607,49,-1
608,49,-1
609,49,-1
610,49,-1
611,49,-1
612,49,-1
613,49,-1
614,49,-1
615,-1,-1
616,-1,-1
617,-1,-1
618,56,-1
619,56,-1
620,56,-1
621,56,-1
622,56,-1
623,56,-1
624,56,-1
625,56,-1
626,56,-1
627,56,-1
628,56,-1
629,56,-1
630,56,-1
631,56,-1
632,56,-1
633,56,-1
634,56,-1
635,56,-1
636,56,-1
637,56,-1
638,-1,-1
639,56,-1
640,-1,-1
641,-1,-1
642,-1,-1
643,48,-1
644,48,-1
645,48,-1
646,48,-1
647,48,-1
648,48,-1
649,48,-1
650,48,-1
651,48,-1
652,48,-1
653,48,-1
654,48,-1
655,48,-1
656,48,-1
657,48,-1
658,48,-1
659,48,-1
660,48,-1
661,48,-1
662,48,-1
663,48,-1
664,48,-1
665,-1,-1
666,-1,-1
667,-1,-1
668,-1,-1
669,-1,-1
670,-1,-1
671,49,-1
672,49,-1
673,49,-1
674,49,-1
675,49,-1
676,49,-1
677,49,-1
678,49,-1
679,49,-1
680,49,-1
681,49,-1
682,-1,-1
683,56,-1
684,56,-1
685,56,-1
686,56,-1
687,56,-1
688,56,-1
689,56,-1
690,56,-1
691,56,-1
692,56,-1
693,56,-1
694,56,-1
695,56,-1
696,56,-1
697,56,-1
698,56,-1
699,56,-1
700,56,-1
701,56,-1
702,-1,-1
703,-1,-1
704,-1,-1
705,-1,-1
706,-1,-1
707,48,-1
708,48,-1
709,48,-1
710,48,-1
711,48,-1
712,48,-1
713,48,-1
714,48,-1
715,48,-1
716,48,-1
717,48,-1
718,48,-1
719,48,-1
720,48,-1
721,48,-1
722,48,-1
723,48,-1
724,48,-1
725,48,-1
726,48,-1
727,48,-1
728,48,-1
729,48,-1
730,48,-1
731,-1,-1
732,-1,-1
733,-1,-1
734,-1,-1
735,-1,-1
736,-1,-1
737,-1,-1
738,49,-1
739,49,-1
740,49,-1
741,49,-1
742,49,-1
743,49,-1
744,49,-1
745,49,-1
746,49,-1
747,-1,-1
748,-1,-1
749,-1,-1
750,56,-1
751,56,-1
752,56,-1
753,56,-1
754,56,-1
755,56,-1
756,56,-1
757,56,-1
758,56,-1
759,56,-1
760,56,-1
761,56,-1
762,56,-1
763,56,-1
764,56,-1
765,56,-1
766,56,-1
767,56,-1
768,56,-1
769,56,-1
770,56,-1
771,-1,-1
772,-1,-1
773,-1,-1
774,48,-1
775,48,-1
776,48,-1
777,48,-1
778,48,-1
779,48,-1
780,48,-1
781,48,-1
782,48,-1
783,48,-1
784,48,-1
785,48,-1
786,48,-1
787,48,-1
788,48,-1
789,48,-1
790,48,-1
791,48,-1
792,48,-1
793,48,-1
794,48,-1
795,48,-1
796,48,-1
797,48,-1
798,48,-1
799,-1,-1
800,-1,-1
801,-1,-1
802,-1,-1
803,-1,-1
804,-1,-1
805,-1,-1
806,-1,-1
807,49,-1
808,49,-1
809,49,-1
810,49,-1
811,49,-1
812,49,-1
813,49,-1
814,49,-1
815,49,-1
816,49,-1
817,-1,-1
818,-1,-1
819,56,-1
820,56,-1
821,56,-1
822,56,-1
823,56,-1
824,56,-1
825,56,-1
826,56,-1
827,56,-1
828,56,-1
829,56,-1
830,56,-1
831,56,-1
832,56,-1
833,56,-1
834,56,-1
835,56,-1
836,56,-1
837,56,-1
838,-1,-1
839,-1,-1
840,48,-1
841,-1,-1
842,48,-1
843,-1,-1
844,48,-1
845,48,-1
846,48,-1
847,48,-1
848,48,-1
849,48,-1
850,48,-1
851,48,-1
852,48,-1
853,48,-1
854,48,-1
855,48,-1
856,48,-1
857,48,-1
858,48,-1
859,48,-1
860,48,-1
861,48,-1
862,48,-1
863,48,-1
864,48,-1
865,48,-1
866,48,-1
867,48,-1
868,48,-1
869,-1,-1
870,-1,-1
871,-1,-1
872,-1,-1
873,-1,-1
874,-1,-1
875,-1,-1
876,49,-1
877,49,-1
878,49,-1
879,49,-1
880,49,-1
881,49,-1
882,49,-1
883,49,-1
884,49,-1
885,49,-1
886,49,-1
887,49,-1
888,-1,-1
889,56,-1
890,56,-1
891,56,-1
892,56,-1
893,56,-1
894,56,-1
895,56,-1
896,56,-1
897,56,-1
898,56,-1
899,56,-1
900,56,-1
901,56,-1
902,56,-1
903,56,-1
904,56,-1
905,56,-1
906,56,-1
907,56,-1
908,56,-1
909,-1,-1
910,-1,-1
911,-1,-1
912,48,-1
913,48,-1
914,-1,-1
915,48,-1
916,48,-1
917,48,-1
918,48,-1
919,48,-1
920,48,-1
921,48,-1
922,48,-1
923,48,-1
924,48,-1
925,48,-1
926,48,-1
927,48,-1
928,48,-1
929,48,-1
930,48,-1
931,48,-1
932,48,-1
933,48,-1
934,48,-1
935,48,-1
936,48,-1
937,48,-1
938,48,-1
939,48,-1
940,-1,-1
941,57,-1
942,-1,-1
943,-1,-1
944,-1,-1
945,-1,-1
946,-1,-1
947,-1,-1
948,49,-1
949,49,-1
950,49,-1
951,49,-1
952,49,-1
953,49,-1
954,49,-1
955,49,-1
956,49,-1
957,49,-1
958,-1,-1
959,49,-1
960,-1,-1
961,56,-1
962,56,-1
963,56,-1
964,56,-1
965,56,-1
966,56,-1
967,56,-1
968,56,-1
969,56,-1
970,56,-1
971,56,-1
972,56,-1
973,56,-1
974,56,-1
975,56,-1
976,56,-1
977,56,-1
978,56,-1
979,-1,-1
980,-1,-1
981,-1,-1
982,-1,-1
983,-1,-1
984,-1,-1
985,48,-1
986,48,-1
987,48,-1
988,48,-1
989,48,-1
990,48,-1
991,48,-1
992,48,-1
993,48,-1
994,48,-1
995,48,-1
996,48,-1
997,48,-1
998,48,-1
999,48,-1
1000,48,-1
1001,48,-1
1002,48,-1
1003,48,-1
1004,48,-1
1005,48,-1
1006,48,-1
1007,48,-1
1008,48,-1
1009,48,-1
1010,48,-1
1011,48,-1
1012,-1,-1
1013,57,-1
1014,-1,-1
1015,-1,-1
1016,-1,-1
1017,-1,-1
1018,-1,-1
1019,-1,-1
1020,49,-1
1021,49,-1
1022,49,-1
1023,49,-1
1024,49,-1
1025,49,-1
1026,49,-1
1027,49,-1
1028,49,-1
1029,49,-1
1030,49,-1
1031,49,-1
1032,-1,-1
1033,-1,-1
1034,-1,-1
1035,56,-1
1036,56,-1
1037,56,-1
1038,56,-1
1039,56,-1
1040,56,-1
1041,56,-1
1042,56,-1
1043,56,-1
1044,56,-1
1045,56,-1
1046,56,-1
1047,56,-1
1048,56,-1
1049,56,-1
1050,56,-1
1051,56,-1
1052,-1,-1
1053,-1,-1
1054,-1,-1
1055,-1,-1
1056,48,-1
1057,-1,-1
1058,48,-1
1059,48,-1
1060,48,-1
1061,48,-1
1062,48,-1
1063,48,-1
1064,48,-1
1065,48,-1
1066,48,-1
1067,48,-1
1068,48,-1
1069,48,-1
1070,48,-1
1071,48,-1
1072,48,-1
1073,48,-1
1074,48,-1
1075,48,-1
1076,48,-1
1077,48,-1
1078,48,-1
1079,48,-1
1080,48,-1
1081,48,-1
1082,48,-1
1083,48,-1
1084,48,-1
1085,48,-1
1086,-1,-1
1087,57,-1
1088,-1,-1
1089,-1,-1
1090,-1,-1
1091,-1,-1
1092,-1,-1
1093,-1,-1
1094,-1,-1
1095,49,-1
1096,49,-1
1097,49,-1
1098,49,-1
1099,49,-1
1100,49,-1
1101,49,-1
1102,49,-1
1103,49,-1
1104,49,-1
1105,49,-1
1106,49,-1
1107,49,-1
1108,-1,-1
1109,-1,-1
1110,56,-1
1111,56,-1
1112,56,-1
1113,56,-1
1114,56,-1
1115,56,-1
1116,56,-1
1117,56,-1
1118,56,-1
1119,56,-1
1120,56,-1
1121,56,-1
1122,56,-1
1123,56,-1
1124,56,-1
1125,-1,-1
1126,-1,-1
1127,56,-1
1128,-1,-1
1129,-1,-1
1130,-1,-1
1131,48,-1
1132,48,-1
1133,48,-1
1134,48,-1
1135,48,-1
1136,48,-1
1137,48,-1
1138,48,-1
1139,48,-1
1140,48,-1
1141,48,-1
1142,48,-1
1143,48,-1
1144,48,-1
1145,48,-1
1146,48,-1
1147,48,-1
1148,48,-1
1149,48,-1
1150,48,-1
1151,48,-1
1152,48,-1
1153,48,-1
