# point_id,primitive_gid,primitive_dir_gid
0,2,-1
1,2,-1
2,2,-1
3,2,-1
4,2,-1
5,2,-1
6,2,-1
7,2,-1
8,2,-1
9,2,-1
10,2,-1
11,2,-1
12,2,-1
13,2,-1
14,2,-1
15,2,-1
16,2,-1
17,2,-1
18,2,-1
19,2,-1
20,2,-1
21,2,-1
22,2,-1
23,2,-1
24,2,-1
25,2,-1
26,2,-1
27,2,-1
28,2,-1
29,2,-1
30,2,-1
31,2,-1
32,2,-1
33,2,-1
34,2,-1
35,2,-1
36,2,-1
37,2,-1
38,2,-1
39,2,-1
40,2,-1
41,2,-1
42,2,-1
43,2,-1
44,2,-1
45,2,-1
46,2,-1
47,2,-1
48,2,-1
49,8,-1
50,8,-1
51,8,-1
52,8,-1
53,8,-1
54,186,-1
55,8,-1
56,8,-1
57,8,-1
58,8,-1
59,8,-1
60,8,-1
61,8,-1
62,8,-1
63,8,-1
64,8,-1
65,8,-1
66,8,-1
67,8,-1
68,8,-1
69,8,-1
70,8,-1
71,8,-1
72,8,-1
73,8,-1
74,8,-1
75,8,-1
76,8,-1
77,8,-1
78,8,-1
79,8,-1
80,8,-1
81,8,-1
82,8,-1
83,8,-1
84,8,-1
85,8,-1
86,8,-1
87,8,-1
88,8,-1
89,8,-1
90,8,-1
91,8,-1
92,8,-1
93,8,-1
94,2,-1
95,2,-1
96,2,-1
97,2,-1
98,2,-1
99,2,-1
100,2,-1
101,2,-1
102,2,-1
103,2,-1
104,2,-1
105,2,-1
106,2,-1
107,2,-1
108,2,-1
109,2,-1
110,2,-1
111,2,-1
112,2,-1
113,2,-1
114,2,-1
115,2,-1
116,2,-1
117,2,-1
118,2,-1
119,2,-1
120,2,-1
121,2,-1
122,2,-1
123,2,-1
124,2,-1
125,2,-1
126,2,-1
127,2,-1
128,2,-1
129,2,-1
130,2,-1
131,2,-1
132,2,-1
133,2,-1
134,2,-1
135,2,-1
136,2,-1
137,2,-1
138,2,-1
139,2,-1
140,2,-1
141,2,-1
142,2,-1
143,8,-1
144,8,-1
145,8,-1
146,8,-1
147,8,-1
148,8,-1
149,8,-1
150,8,-1
151,8,-1
152,8,-1
153,8,-1
154,8,-1
155,8,-1
156,8,-1
157,8,-1
158,8,-1
159,8,-1
160,8,-1
161,8,-1
162,8,-1
163,8,-1
164,8,-1
165,8,-1
166,8,-1
167,8,-1
168,8,-1
169,8,-1
170,8,-1
171,8,-1
172,8,-1
173,8,-1
174,8,-1
175,8,-1
176,8,-1
177,8,-1
178,8,-1
179,8,-1
180,8,-1
181,8,-1
182,8,-1
183,8,-1
184,8,-1
185,8,-1
186,8,-1
187,8,-1
188,2,-1
189,2,-1
190,2,-1
191,2,-1
192,2,-1
193,2,-1
194,2,-1
195,2,-1
196,2,-1
197,2,-1
198,2,-1
199,2,-1
200,2,-1
201,2,-1
202,2,-1
203,2,-1
204,2,-1
205,2,-1
206,2,-1
207,2,-1
208,2,-1
209,2,-1
210,2,-1
211,2,-1
212,2,-1
213,2,-1
214,2,-1
215,2,-1
216,2,-1
217,2,-1
218,2,-1
219,2,-1
220,2,-1
221,2,-1
222,2,-1
223,2,-1
224,2,-1
225,2,-1
226,2,-1
227,2,-1
228,2,-1
229,2,-1
230,2,-1
231,2,-1
232,2,-1
233,2,-1
234,2,-1
235,2,-1
236,8,-1
237,8,-1
238,8,-1
239,8,-1
240,8,-1
241,8,-1
242,8,-1
243,8,-1
244,8,-1
245,8,-1
246,8,-1
247,8,-1
248,8,-1
249,8,-1
250,8,-1
251,8,-1
252,8,-1
253,8,-1
254,8,-1
255,8,-1
256,8,-1
257,8,-1
258,8,-1
259,8,-1
260,8,-1
261,8,-1
262,8,-1
