# point_id,primitive_gid,primitive_dir_gid
0,0,-1
1,1,-1
2,2,-1
3,3,-1
4,4,-1
5,5,-1
6,6,-1
7,7,-1
8,8,-1
9,9,-1
10,10,-1
11,11,-1
12,12,-1
13,13,-1
14,14,-1
15,15,-1
16,16,-1
17,2,-1
18,2,-1
19,19,-1
20,20,-1
21,16,-1
22,2,-1
23,21,-1
24,22,-1
25,23,-1
26,24,-1
27,2,-1
28,26,-1
29,27,-1
30,28,-1
31,29,-1
32,30,-1
33,31,-1
34,32,-1
35,33,-1
36,34,-1
37,8,-1
38,6,-1
39,35,-1
40,36,-1
41,37,-1
42,38,-1
43,39,-1
44,40,-1
45,41,-1
46,42,-1
47,43,-1
48,44,-1
49,45,-1
50,46,-1
51,47,-1
52,48,-1
53,2,-1
54,50,-1
55,51,-1
56,52,-1
57,19,-1
58,53,-1
59,53,-1
60,55,-1
61,56,-1
62,57,-1
63,58,-1
64,41,-1
65,59,-1
66,60,-1
67,61,-1
68,62,-1
69,63,-1
70,64,-1
71,65,-1
72,66,-1
73,40,-1
74,68,-1
75,69,-1
76,26,-1
77,71,-1
78,72,-1
79,73,-1
80,26,-1
81,59,-1
82,76,-1
83,77,-1
84,78,-1
85,79,-1
86,80,-1
87,32,-1
88,81,-1
89,82,-1
90,36,-1
91,83,-1
92,84,-1
93,85,-1
94,2,-1
95,87,-1
96,16,-1
97,2,-1
98,90,-1
99,91,-1
100,92,-1
101,93,-1
102,32,-1
103,95,-1
104,96,-1
105,97,-1
106,98,-1
107,99,-1
108,100,-1
109,101,-1
110,102,-1
111,65,-1
112,53,-1
113,66,-1
114,106,-1
115,56,-1
116,108,-1
117,41,-1
118,47,-1
119,110,-1
120,32,-1
121,111,-1
122,112,-1
123,113,-1
124,47,-1
125,115,-1
126,32,-1
127,116,-1
128,66,-1
129,118,-1
130,66,-1
131,47,-1
132,120,-1
133,121,-1
134,53,-1
135,123,-1
136,33,-1
137,24,-1
138,126,-1
139,127,-1
140,47,-1
141,26,-1
142,129,-1
143,130,-1
144,131,-1
145,132,-1
146,33,-1
147,133,-1
148,134,-1
149,135,-1
150,136,-1
151,137,-1
152,56,-1
153,112,-1
154,140,-1
155,141,-1
156,56,-1
157,53,-1
158,32,-1
159,145,-1
160,146,-1
161,59,-1
162,96,-1
163,149,-1
164,66,-1
165,151,-1
166,40,-1
167,153,-1
168,52,-1
169,155,-1
170,2,-1
171,56,-1
172,157,-1
173,158,-1
174,159,-1
175,53,-1
176,161,-1
177,162,-1
178,163,-1
179,164,-1
180,165,-1
181,2,-1
182,167,-1
183,32,-1
184,56,-1
185,168,-1
186,169,-1
187,170,-1
188,171,-1
189,172,-1
190,66,-1
191,174,-1
192,175,-1
193,176,-1
194,177,-1
195,2,-1
196,179,-1
197,47,-1
198,180,-1
199,59,-1
200,182,-1
201,183,-1
202,184,-1
203,185,-1
204,19,-1
205,186,-1
206,2,-1
207,187,-1
208,188,-1
209,189,-1
210,190,-1
211,87,-1
212,191,-1
213,47,-1
214,192,-1
215,193,-1
216,56,-1
217,26,-1
218,194,-1
219,195,-1
220,196,-1
221,197,-1
222,2,-1
223,47,-1
224,32,-1
225,199,-1
226,200,-1
227,201,-1
228,202,-1
229,203,-1
230,204,-1
231,205,-1
232,26,-1
233,207,-1
234,208,-1
235,209,-1
236,210,-1
237,66,-1
238,211,-1
239,65,-1
240,212,-1
241,213,-1
242,214,-1
243,40,-1
244,216,-1
245,217,-1
246,218,-1
247,219,-1
248,220,-1
249,221,-1
250,56,-1
251,222,-1
252,223,-1
253,56,-1
254,155,-1
255,224,-1
256,2,-1
257,8,-1
258,140,-1
259,2,-1
260,229,-1
261,26,-1
262,231,-1
263,232,-1
264,233,-1
265,234,-1
266,235,-1
267,47,-1
268,56,-1
269,47,-1
270,237,-1
271,238,-1
272,239,-1
273,240,-1
274,2,-1
275,2,-1
276,87,-1
277,243,-1
278,244,-1
279,36,-1
280,246,-1
281,87,-1
282,248,-1
283,223,-1
284,250,-1
285,251,-1
286,252,-1
287,65,-1
288,254,-1
289,255,-1
290,87,-1
291,59,-1
292,26,-1
293,56,-1
294,32,-1
295,260,-1
296,52,-1
297,262,-1
298,47,-1
299,263,-1
300,2,-1
301,32,-1
302,8,-1
303,266,-1
304,56,-1
305,268,-1
306,33,-1
307,269,-1
308,270,-1
309,26,-1
310,271,-1
311,272,-1
312,273,-1
313,274,-1
314,275,-1
315,223,-1
316,277,-1
317,278,-1
318,279,-1
319,32,-1
320,280,-1
321,281,-1
322,282,-1
323,47,-1
324,284,-1
325,285,-1
326,286,-1
327,10,-1
328,66,-1
329,288,-1
330,289,-1
331,290,-1
332,291,-1
333,292,-1
334,40,-1
335,26,-1
336,294,-1
337,6,-1
338,251,-1
339,296,-1
340,52,-1
341,255,-1
342,298,-1
343,299,-1
344,300,-1
345,301,-1
346,302,-1
347,303,-1
348,304,-1
349,305,-1
350,306,-1
351,26,-1
352,26,-1
353,26,-1
354,309,-1
355,32,-1
356,311,-1
357,312,-1
358,223,-1
359,314,-1
360,2,-1
361,87,-1
362,316,-1
363,47,-1
364,162,-1
365,318,-1
366,280,-1
367,320,-1
368,321,-1
369,155,-1
370,322,-1
371,323,-1
372,87,-1
373,26,-1
374,56,-1
375,325,-1
376,326,-1
377,8,-1
378,327,-1
379,2,-1
380,32,-1
381,6,-1
382,328,-1
383,329,-1
384,330,-1
385,331,-1
386,332,-1
387,333,-1
388,334,-1
389,320,-1
390,8,-1
391,26,-1
392,336,-1
393,337,-1
394,338,-1
395,339,-1
396,40,-1
397,341,-1
398,342,-1
399,343,-1
400,56,-1
401,345,-1
402,346,-1
403,66,-1
404,36,-1
405,349,-1
406,350,-1
407,351,-1
408,352,-1
409,353,-1
410,47,-1
411,355,-1
412,2,-1
413,33,-1
414,357,-1
415,358,-1
416,359,-1
417,255,-1
418,360,-1
419,361,-1
420,362,-1
421,363,-1
422,29,-1
423,47,-1
424,364,-1
425,40,-1
426,366,-1
427,367,-1
428,251,-1
429,212,-1
430,233,-1
431,370,-1
432,47,-1
433,371,-1
434,372,-1
435,26,-1
436,373,-1
437,374,-1
438,56,-1
439,375,-1
440,33,-1
441,376,-1
442,2,-1
443,32,-1
444,377,-1
445,378,-1
446,56,-1
447,379,-1
448,380,-1
449,223,-1
450,381,-1
451,382,-1
452,47,-1
453,2,-1
454,384,-1
455,385,-1
456,386,-1
457,16,-1
458,388,-1
459,47,-1
460,389,-1
461,390,-1
462,391,-1
463,96,-1
464,66,-1
465,393,-1
466,394,-1
467,395,-1
468,396,-1
469,397,-1
470,398,-1
471,399,-1
472,212,-1
473,401,-1
474,47,-1
475,402,-1
476,2,-1
477,36,-1
478,404,-1
479,87,-1
480,36,-1
481,26,-1
482,56,-1
483,2,-1
484,406,-1
485,407,-1
486,408,-1
487,113,-1
488,96,-1
489,112,-1
490,2,-1
491,56,-1
492,412,-1
493,32,-1
494,26,-1
495,415,-1
496,416,-1
497,223,-1
498,32,-1
499,418,-1
500,419,-1
501,47,-1
502,33,-1
503,47,-1
504,286,-1
505,421,-1
506,6,-1
507,422,-1
508,56,-1
509,59,-1
510,2,-1
511,426,-1
512,427,-1
513,212,-1
514,412,-1
515,429,-1
516,284,-1
517,430,-1
518,431,-1
519,47,-1
520,56,-1
521,24,-1
522,63,-1
523,36,-1
524,11,-1
525,32,-1
526,32,-1
527,437,-1
528,2,-1
529,438,-1
530,439,-1
531,440,-1
532,441,-1
533,442,-1
534,443,-1
535,444,-1
536,87,-1
537,446,-1
538,2,-1
539,33,-1
540,255,-1
541,246,-1
542,449,-1
543,52,-1
544,32,-1
545,451,-1
546,47,-1
547,452,-1
548,10,-1
549,453,-1
550,87,-1
551,40,-1
552,56,-1
553,32,-1
554,455,-1
555,224,-1
556,280,-1
557,458,-1
558,459,-1
559,47,-1
560,26,-1
561,33,-1
562,462,-1
563,32,-1
564,464,-1
565,32,-1
566,465,-1
567,26,-1
568,56,-1
569,467,-1
570,468,-1
571,469,-1
572,96,-1
573,224,-1
574,32,-1
575,96,-1
576,471,-1
577,472,-1
578,473,-1
579,474,-1
580,26,-1
581,65,-1
582,476,-1
583,477,-1
584,478,-1
585,56,-1
586,479,-1
587,223,-1
588,480,-1
589,2,-1
590,32,-1
591,481,-1
592,2,-1
593,483,-1
594,484,-1
595,80,-1
596,486,-1
597,2,-1
598,488,-1
599,489,-1
600,112,-1
601,490,-1
602,491,-1
603,492,-1
604,96,-1
605,493,-1
606,494,-1
607,495,-1
608,496,-1
609,497,-1
610,498,-1
611,499,-1
612,66,-1
613,56,-1
614,59,-1
615,503,-1
616,504,-1
617,19,-1
618,56,-1
619,505,-1
620,26,-1
621,96,-1
622,26,-1
623,509,-1
624,56,-1
625,56,-1
626,26,-1
627,510,-1
628,33,-1
629,512,-1
630,87,-1
631,53,-1
632,515,-1
633,516,-1
634,65,-1
635,2,-1
636,519,-1
637,520,-1
638,521,-1
639,522,-1
640,26,-1
641,524,-1
642,525,-1
643,526,-1
644,527,-1
645,32,-1
646,528,-1
647,66,-1
648,66,-1
649,2,-1
650,161,-1
651,530,-1
652,26,-1
653,47,-1
654,532,-1
655,87,-1
656,534,-1
657,535,-1
658,536,-1
659,537,-1
660,255,-1
661,26,-1
662,539,-1
663,540,-1
664,541,-1
665,542,-1
666,116,-1
667,544,-1
668,545,-1
669,546,-1
670,24,-1
671,547,-1
672,26,-1
673,56,-1
674,26,-1
675,548,-1
676,549,-1
677,2,-1
678,33,-1
679,190,-1
680,56,-1
681,237,-1
682,552,-1
683,298,-1
684,554,-1
685,555,-1
686,556,-1
687,557,-1
688,558,-1
689,559,-1
690,255,-1
691,255,-1
692,47,-1
693,563,-1
694,87,-1
695,564,-1
696,565,-1
697,412,-1
698,96,-1
699,56,-1
700,568,-1
701,66,-1
702,570,-1
703,571,-1
704,572,-1
705,26,-1
706,574,-1
707,33,-1
708,65,-1
709,32,-1
710,32,-1
711,576,-1
712,56,-1
713,59,-1
714,53,-1
715,579,-1
716,32,-1
717,580,-1
718,56,-1
719,8,-1
720,26,-1
721,581,-1
722,56,-1
723,52,-1
724,583,-1
725,190,-1
726,36,-1
727,56,-1
728,585,-1
729,586,-1
730,587,-1
731,588,-1
732,66,-1
733,56,-1
734,116,-1
735,47,-1
736,47,-1
737,32,-1
738,2,-1
739,591,-1
740,2,-1
741,56,-1
742,593,-1
743,223,-1
744,59,-1
745,595,-1
746,47,-1
747,593,-1
748,596,-1
749,597,-1
750,449,-1
751,306,-1
752,598,-1
753,2,-1
754,599,-1
755,223,-1
756,298,-1
757,600,-1
758,56,-1
759,602,-1
760,603,-1
761,604,-1
762,26,-1
763,26,-1
764,56,-1
765,286,-1
766,56,-1
767,607,-1
768,33,-1
769,2,-1
770,2,-1
771,10,-1
772,19,-1
773,610,-1
774,611,-1
775,8,-1
776,53,-1
777,612,-1
778,613,-1
779,47,-1
780,32,-1
781,2,-1
782,615,-1
783,190,-1
784,525,-1
785,56,-1
786,618,-1
787,619,-1
788,87,-1
789,47,-1
790,620,-1
791,26,-1
792,96,-1
793,8,-1
794,56,-1
795,607,-1
796,116,-1
797,2,-1
798,87,-1
799,623,-1
800,2,-1
801,625,-1
802,626,-1
803,627,-1
804,26,-1
805,628,-1
806,629,-1
807,47,-1
808,96,-1
809,2,-1
810,366,-1
811,631,-1
812,19,-1
813,52,-1
814,632,-1
815,633,-1
816,47,-1
817,32,-1
818,634,-1
819,32,-1
820,40,-1
821,636,-1
822,449,-1
823,36,-1
824,47,-1
825,2,-1
826,639,-1
827,640,-1
828,8,-1
829,33,-1
830,641,-1
831,642,-1
832,56,-1
833,26,-1
834,6,-1
835,645,-1
836,40,-1
837,2,-1
838,47,-1
839,47,-1
840,607,-1
841,59,-1
842,66,-1
843,56,-1
844,26,-1
845,651,-1
846,16,-1
847,653,-1
848,654,-1
849,574,-1
850,459,-1
851,66,-1
852,56,-1
853,657,-1
854,658,-1
855,659,-1
856,137,-1
857,660,-1
858,52,-1
859,662,-1
860,33,-1
861,664,-1
862,66,-1
863,666,-1
864,667,-1
865,87,-1
866,26,-1
867,33,-1
868,32,-1
869,668,-1
870,26,-1
871,80,-1
872,671,-1
873,672,-1
874,673,-1
875,47,-1
876,113,-1
877,676,-1
878,161,-1
879,677,-1
880,678,-1
881,66,-1
882,26,-1
883,255,-1
884,2,-1
885,36,-1
886,40,-1
887,32,-1
888,681,-1
889,682,-1
890,683,-1
891,684,-1
892,26,-1
893,190,-1
894,685,-1
895,19,-1
896,255,-1
897,686,-1
898,66,-1
899,687,-1
900,382,-1
901,610,-1
902,26,-1
903,688,-1
904,6,-1
905,286,-1
906,56,-1
907,690,-1
908,691,-1
909,692,-1
910,10,-1
911,32,-1
912,2,-1
913,56,-1
914,694,-1
915,223,-1
916,32,-1
917,695,-1
918,696,-1
919,459,-1
920,32,-1
921,698,-1
922,699,-1
923,700,-1
924,701,-1
925,499,-1
926,26,-1
927,703,-1
928,32,-1
929,53,-1
930,706,-1
931,707,-1
932,63,-1
933,708,-1
934,56,-1
935,66,-1
936,2,-1
937,709,-1
938,26,-1
939,711,-1
940,255,-1
941,713,-1
942,714,-1
943,715,-1
944,26,-1
945,116,-1
946,2,-1
947,47,-1
948,286,-1
949,717,-1
950,223,-1
951,719,-1
952,720,-1
953,721,-1
954,722,-1
955,47,-1
956,26,-1
957,26,-1
958,2,-1
959,725,-1
960,19,-1
961,32,-1
962,726,-1
963,727,-1
964,2,-1
965,728,-1
966,47,-1
967,729,-1
968,255,-1
969,26,-1
970,486,-1
971,731,-1
972,732,-1
973,65,-1
974,32,-1
975,33,-1
976,298,-1
977,26,-1
978,190,-1
979,735,-1
980,525,-1
981,71,-1
982,32,-1
983,87,-1
984,56,-1
985,56,-1
986,26,-1
987,737,-1
988,47,-1
989,738,-1
990,26,-1
991,739,-1
992,740,-1
993,40,-1
994,286,-1
995,56,-1
996,26,-1
997,742,-1
998,40,-1
999,743,-1
1000,2,-1
1001,2,-1
1002,744,-1
1003,26,-1
1004,6,-1
1005,745,-1
1006,33,-1
1007,52,-1
1008,53,-1
1009,2,-1
1010,746,-1
1011,747,-1
1012,2,-1
1013,26,-1
1014,56,-1
1015,32,-1
1016,40,-1
1017,2,-1
1018,26,-1
1019,694,-1
1020,750,-1
1021,56,-1
1022,449,-1
1023,286,-1
1024,752,-1
1025,26,-1
1026,753,-1
1027,32,-1
1028,26,-1
1029,755,-1
1030,756,-1
1031,416,-1
1032,758,-1
1033,59,-1
1034,260,-1
1035,759,-1
1036,212,-1
1037,525,-1
1038,760,-1
1039,761,-1
