# point_id,primitive_gid,primitive_dir_gid
0,0,-1
1,1,-1
2,2,-1
3,3,-1
4,4,-1
5,5,-1
6,6,-1
7,7,-1
8,8,-1
9,9,-1
10,10,-1
11,11,-1
12,6,-1
13,13,-1
14,6,-1
15,6,-1
16,6,-1
17,17,-1
18,6,-1
19,18,-1
20,6,-1
21,20,-1
22,6,-1
23,6,-1
24,6,-1
25,24,-1
26,6,-1
27,6,-1
28,6,-1
29,6,-1
30,6,-1
31,26,-1
32,27,-1
33,6,-1
34,28,-1
35,6,-1
36,29,-1
37,6,-1
38,31,-1
39,6,-1
40,6,-1
41,6,-1
42,33,-1
43,6,-1
44,6,-1
45,6,-1
46,6,-1
47,6,-1
48,36,-1
49,6,-1
50,37,-1
51,6,-1
52,39,-1
53,6,-1
54,6,-1
55,6,-1
56,6,-1
57,42,-1
58,6,-1
59,6,-1
60,43,-1
61,6,-1
62,6,-1
63,44,-1
64,6,-1
65,6,-1
66,6,-1
67,45,-1
68,46,-1
69,6,-1
70,6,-1
71,6,-1
72,6,-1
73,6,-1
74,6,-1
75,6,-1
76,6,-1
77,49,-1
78,50,-1
79,6,-1
80,51,-1
81,6,-1
82,6,-1
83,52,-1
84,6,-1
85,6,-1
86,53,-1
87,6,-1
88,6,-1
89,6,-1
90,55,-1
91,56,-1
92,6,-1
93,6,-1
94,6,-1
95,57,-1
96,6,-1
97,58,-1
98,6,-1
99,59,-1
100,6,-1
101,6,-1
102,6,-1
103,6,-1
104,6,-1
105,6,-1
106,6,-1
107,6,-1
108,60,-1
109,61,-1
110,62,-1
111,6,-1
112,6,-1
113,63,-1
114,6,-1
115,6,-1
116,6,-1
117,64,-1
118,6,-1
119,6,-1
120,6,-1
121,66,-1
122,6,-1
123,6,-1
124,68,-1
125,6,-1
126,6,-1
127,6,-1
128,70,-1
129,71,-1
130,6,-1
131,6,-1
132,73,-1
133,6,-1
134,6,-1
135,6,-1
136,6,-1
137,6,-1
138,75,-1
139,6,-1
140,6,-1
141,76,-1
142,77,-1
143,6,-1
144,6,-1
145,6,-1
146,6,-1
147,6,-1
148,6,-1
149,6,-1
150,6,-1
151,6,-1
152,6,-1
153,6,-1
154,6,-1
155,79,-1
156,80,-1
157,81,-1
158,6,-1
159,6,-1
160,6,-1
161,6,-1
162,6,-1
163,83,-1
164,6,-1
165,6,-1
166,6,-1
167,6,-1
168,86,-1
169,87,-1
170,6,-1
171,6,-1
172,6,-1
173,6,-1
174,6,-1
175,89,-1
176,6,-1
177,6,-1
178,6,-1
179,6,-1
180,6,-1
181,6,-1
182,91,-1
183,92,-1
184,6,-1
185,93,-1
186,94,-1
187,6,-1
188,6,-1
189,95,-1
190,6,-1
191,6,-1
192,96,-1
193,6,-1
194,6,-1
195,6,-1
196,98,-1
197,6,-1
198,6,-1
199,6,-1
200,94,-1
201,100,-1
202,6,-1
203,6,-1
204,101,-1
205,6,-1
206,6,-1
207,71,-1
208,6,-1
209,6,-1
210,103,-1
211,104,-1
212,105,-1
213,6,-1
214,6,-1
215,106,-1
216,6,-1
217,6,-1
218,6,-1
219,108,-1
220,71,-1
221,6,-1
222,110,-1
223,6,-1
224,71,-1
225,112,-1
226,113,-1
227,114,-1
228,115,-1
229,6,-1
230,6,-1
231,6,-1
232,117,-1
233,118,-1
234,119,-1
235,120,-1
236,6,-1
237,6,-1
238,6,-1
239,6,-1
240,122,-1
241,123,-1
242,6,-1
243,124,-1
244,6,-1
245,6,-1
246,125,-1
247,6,-1
248,127,-1
249,128,-1
250,129,-1
251,130,-1
252,6,-1
253,131,-1
254,6,-1
255,6,-1
256,6,-1
257,6,-1
258,6,-1
259,133,-1
260,6,-1
261,6,-1
262,134,-1
263,6,-1
264,6,-1
265,6,-1
266,6,-1
267,6,-1
268,136,-1
269,6,-1
270,6,-1
271,6,-1
272,139,-1
273,6,-1
274,140,-1
275,6,-1
276,100,-1
277,141,-1
278,6,-1
279,142,-1
280,143,-1
281,6,-1
282,6,-1
283,6,-1
284,6,-1
285,144,-1
286,6,-1
287,6,-1
288,6,-1
289,6,-1
290,6,-1
291,145,-1
292,6,-1
293,6,-1
294,6,-1
295,6,-1
296,6,-1
297,147,-1
298,148,-1
299,149,-1
300,6,-1
301,6,-1
302,6,-1
303,6,-1
304,6,-1
305,6,-1
306,6,-1
307,6,-1
308,151,-1
309,6,-1
310,6,-1
311,6,-1
312,152,-1
313,153,-1
314,154,-1
315,6,-1
316,155,-1
317,6,-1
318,6,-1
319,157,-1
320,6,-1
321,158,-1
322,6,-1
323,159,-1
324,160,-1
325,6,-1
326,6,-1
327,6,-1
328,162,-1
329,6,-1
330,6,-1
331,163,-1
332,164,-1
333,6,-1
334,166,-1
335,6,-1
336,6,-1
337,6,-1
338,6,-1
339,168,-1
340,6,-1
341,6,-1
342,6,-1
343,169,-1
344,170,-1
345,6,-1
346,171,-1
347,6,-1
348,6,-1
349,172,-1
350,6,-1
351,6,-1
352,6,-1
353,174,-1
354,6,-1
355,6,-1
356,176,-1
357,6,-1
358,6,-1
359,6,-1
360,6,-1
361,179,-1
362,180,-1
363,181,-1
364,182,-1
365,6,-1
366,6,-1
367,183,-1
368,184,-1
369,6,-1
370,6,-1
371,6,-1
372,186,-1
373,6,-1
374,6,-1
375,188,-1
376,189,-1
377,6,-1
378,6,-1
379,56,-1
380,191,-1
381,192,-1
382,193,-1
383,6,-1
384,195,-1
385,6,-1
386,197,-1
387,198,-1
388,6,-1
389,6,-1
390,6,-1
391,200,-1
392,201,-1
393,6,-1
394,6,-1
395,202,-1
396,203,-1
397,204,-1
398,6,-1
399,6,-1
400,6,-1
401,206,-1
402,207,-1
403,6,-1
404,6,-1
405,208,-1
406,209,-1
407,210,-1
408,211,-1
409,212,-1
410,213,-1
411,6,-1
412,6,-1
413,214,-1
414,215,-1
415,6,-1
416,6,-1
417,160,-1
418,207,-1
419,217,-1
420,6,-1
421,6,-1
422,6,-1
423,6,-1
424,220,-1
425,221,-1
426,184,-1
427,6,-1
428,222,-1
429,6,-1
430,6,-1
431,224,-1
432,6,-1
433,6,-1
434,6,-1
435,6,-1
436,6,-1
437,226,-1
438,6,-1
439,6,-1
440,6,-1
441,6,-1
442,6,-1
443,6,-1
444,6,-1
445,228,-1
446,229,-1
447,6,-1
448,231,-1
449,6,-1
450,6,-1
451,232,-1
452,179,-1
453,6,-1
454,6,-1
455,6,-1
456,6,-1
457,233,-1
458,6,-1
459,6,-1
460,6,-1
461,234,-1
462,235,-1
463,6,-1
464,6,-1
465,6,-1
466,237,-1
467,6,-1
468,6,-1
469,6,-1
470,6,-1
471,6,-1
472,6,-1
473,6,-1
474,6,-1
475,6,-1
476,240,-1
477,6,-1
478,241,-1
479,6,-1
480,6,-1
481,6,-1
482,6,-1
483,242,-1
484,6,-1
485,6,-1
486,6,-1
487,6,-1
488,244,-1
489,6,-1
490,6,-1
491,6,-1
492,245,-1
493,6,-1
494,246,-1
495,247,-1
496,6,-1
497,6,-1
498,248,-1
499,6,-1
500,6,-1
501,249,-1
502,250,-1
503,6,-1
504,6,-1
505,6,-1
506,6,-1
507,6,-1
508,251,-1
509,6,-1
510,6,-1
511,6,-1
512,6,-1
513,252,-1
514,6,-1
515,6,-1
516,6,-1
517,6,-1
518,6,-1
519,6,-1
520,253,-1
521,6,-1
522,6,-1
523,6,-1
524,255,-1
525,6,-1
526,256,-1
527,257,-1
528,258,-1
529,6,-1
530,259,-1
531,260,-1
532,261,-1
533,6,-1
534,6,-1
535,262,-1
536,6,-1
537,6,-1
538,6,-1
539,263,-1
540,264,-1
541,6,-1
542,6,-1
543,6,-1
544,267,-1
545,6,-1
546,268,-1
547,184,-1
548,269,-1
549,6,-1
550,6,-1
551,270,-1
552,6,-1
553,271,-1
554,6,-1
555,6,-1
556,6,-1
557,6,-1
558,272,-1
559,6,-1
560,6,-1
561,6,-1
562,6,-1
563,6,-1
564,6,-1
565,6,-1
566,6,-1
567,6,-1
568,6,-1
569,6,-1
570,6,-1
571,274,-1
572,184,-1
573,6,-1
574,6,-1
575,6,-1
576,275,-1
577,6,-1
578,276,-1
579,277,-1
580,6,-1
581,6,-1
582,6,-1
583,6,-1
584,184,-1
585,280,-1
586,6,-1
587,281,-1
588,6,-1
589,282,-1
590,283,-1
591,6,-1
592,284,-1
593,285,-1
594,6,-1
595,6,-1
596,277,-1
597,287,-1
598,6,-1
599,6,-1
600,6,-1
601,6,-1
602,288,-1
603,289,-1
604,6,-1
605,6,-1
606,6,-1
607,290,-1
608,291,-1
609,6,-1
610,292,-1
611,6,-1
612,294,-1
613,6,-1
614,6,-1
615,296,-1
616,4,-1
617,297,-1
618,6,-1
619,6,-1
620,298,-1
621,6,-1
622,6,-1
623,6,-1
624,184,-1
625,6,-1
626,300,-1
627,6,-1
628,301,-1
629,302,-1
630,6,-1
631,303,-1
632,6,-1
633,304,-1
634,305,-1
635,6,-1
636,6,-1
637,6,-1
638,306,-1
639,6,-1
640,307,-1
641,6,-1
642,287,-1
643,6,-1
644,308,-1
645,6,-1
646,6,-1
647,309,-1
648,6,-1
649,311,-1
650,6,-1
651,312,-1
652,313,-1
653,6,-1
654,6,-1
655,315,-1
656,6,-1
657,316,-1
658,6,-1
659,317,-1
660,6,-1
661,318,-1
662,319,-1
663,320,-1
664,321,-1
665,6,-1
666,6,-1
667,322,-1
668,6,-1
669,6,-1
670,323,-1
671,324,-1
672,6,-1
673,6,-1
674,325,-1
675,6,-1
676,6,-1
677,6,-1
678,6,-1
679,6,-1
680,6,-1
681,326,-1
682,6,-1
683,327,-1
684,6,-1
685,6,-1
686,6,-1
687,6,-1
688,6,-1
689,328,-1
690,329,-1
691,6,-1
692,6,-1
693,330,-1
694,6,-1
695,6,-1
696,331,-1
697,332,-1
698,333,-1
699,6,-1
700,6,-1
701,6,-1
702,6,-1
703,334,-1
704,6,-1
705,6,-1
706,335,-1
707,6,-1
708,6,-1
709,337,-1
710,338,-1
711,189,-1
712,6,-1
713,6,-1
714,6,-1
715,339,-1
716,6,-1
717,340,-1
718,341,-1
719,342,-1
720,6,-1
721,343,-1
722,6,-1
723,6,-1
724,345,-1
725,6,-1
726,6,-1
727,346,-1
728,347,-1
729,6,-1
730,6,-1
731,349,-1
732,6,-1
733,350,-1
734,351,-1
735,6,-1
736,352,-1
737,6,-1
738,6,-1
739,6,-1
740,6,-1
741,71,-1
742,354,-1
743,6,-1
744,6,-1
745,355,-1
746,6,-1
747,6,-1
748,6,-1
749,6,-1
750,6,-1
751,357,-1
752,6,-1
753,100,-1
754,358,-1
755,6,-1
756,359,-1
757,360,-1
758,6,-1
759,6,-1
760,6,-1
761,6,-1
762,6,-1
763,361,-1
764,362,-1
765,363,-1
766,364,-1
767,365,-1
768,6,-1
769,367,-1
770,6,-1
771,6,-1
772,6,-1
773,6,-1
774,368,-1
775,6,-1
776,369,-1
777,6,-1
778,6,-1
779,6,-1
780,6,-1
781,6,-1
782,6,-1
783,370,-1
784,6,-1
785,6,-1
786,371,-1
787,6,-1
788,6,-1
789,6,-1
790,6,-1
791,6,-1
792,6,-1
793,373,-1
794,374,-1
795,375,-1
796,376,-1
797,6,-1
798,6,-1
799,6,-1
800,6,-1
801,6,-1
802,377,-1
803,6,-1
804,378,-1
805,6,-1
806,379,-1
807,6,-1
808,380,-1
809,6,-1
810,6,-1
811,381,-1
812,382,-1
813,383,-1
814,384,-1
815,6,-1
816,385,-1
817,6,-1
818,6,-1
819,6,-1
820,387,-1
821,388,-1
822,6,-1
823,389,-1
824,6,-1
825,6,-1
826,6,-1
827,6,-1
828,390,-1
829,391,-1
830,392,-1
831,6,-1
832,6,-1
833,6,-1
834,6,-1
835,6,-1
836,6,-1
837,6,-1
838,6,-1
839,6,-1
840,6,-1
841,6,-1
842,6,-1
843,396,-1
844,6,-1
845,397,-1
846,6,-1
847,6,-1
848,398,-1
849,142,-1
850,6,-1
851,6,-1
852,400,-1
853,6,-1
854,401,-1
855,6,-1
856,402,-1
857,6,-1
858,6,-1
859,6,-1
860,6,-1
861,385,-1
862,6,-1
863,6,-1
864,6,-1
865,131,-1
866,6,-1
867,6,-1
868,6,-1
869,60,-1
870,6,-1
871,404,-1
872,405,-1
873,6,-1
874,406,-1
875,407,-1
876,408,-1
877,6,-1
878,409,-1
879,410,-1
880,411,-1
881,6,-1
882,412,-1
883,413,-1
884,6,-1
885,414,-1
886,415,-1
887,416,-1
888,417,-1
889,418,-1
890,419,-1
891,420,-1
892,6,-1
893,421,-1
894,422,-1
895,423,-1
896,6,-1
897,6,-1
898,424,-1
899,6,-1
900,6,-1
901,425,-1
902,6,-1
903,6,-1
904,6,-1
905,426,-1
906,6,-1
907,427,-1
908,6,-1
909,6,-1
910,6,-1
911,6,-1
912,428,-1
913,6,-1
914,71,-1
915,429,-1
916,430,-1
917,6,-1
918,431,-1
919,6,-1
920,433,-1
921,434,-1
922,6,-1
923,435,-1
924,6,-1
925,436,-1
926,6,-1
927,437,-1
928,6,-1
929,6,-1
930,6,-1
931,6,-1
932,6,-1
933,6,-1
934,438,-1
935,6,-1
936,439,-1
937,440,-1
938,6,-1
939,6,-1
940,6,-1
941,6,-1
942,6,-1
943,6,-1
944,6,-1
945,442,-1
946,443,-1
947,444,-1
948,6,-1
949,433,-1
950,6,-1
951,6,-1
952,445,-1
953,6,-1
954,6,-1
955,6,-1
956,6,-1
957,6,-1
958,6,-1
959,446,-1
960,6,-1
961,447,-1
962,6,-1
963,6,-1
964,448,-1
965,6,-1
966,6,-1
967,6,-1
968,6,-1
969,6,-1
970,450,-1
971,451,-1
972,6,-1
973,6,-1
974,452,-1
975,6,-1
976,453,-1
977,6,-1
978,454,-1
979,6,-1
980,6,-1
981,455,-1
982,456,-1
983,6,-1
984,6,-1
985,6,-1
986,6,-1
987,458,-1
988,459,-1
989,193,-1
990,6,-1
991,460,-1
992,6,-1
993,6,-1
994,6,-1
995,6,-1
996,160,-1
997,6,-1
998,6,-1
999,463,-1
1000,464,-1
1001,6,-1
1002,6,-1
1003,6,-1
1004,438,-1
1005,6,-1
1006,466,-1
1007,6,-1
1008,71,-1
1009,6,-1
1010,6,-1
1011,6,-1
1012,6,-1
1013,6,-1
1014,6,-1
1015,6,-1
1016,6,-1
1017,6,-1
1018,6,-1
1019,468,-1
1020,6,-1
1021,6,-1
1022,469,-1
1023,470,-1
1024,184,-1
1025,6,-1
1026,472,-1
1027,473,-1
1028,6,-1
1029,474,-1
1030,6,-1
1031,198,-1
1032,475,-1
1033,6,-1
1034,6,-1
1035,476,-1
1036,6,-1
1037,477,-1
1038,6,-1
1039,6,-1
