# point_id,primitive_gid,primitive_dir_gid
0,0,-1
1,0,-1
2,0,-1
3,0,-1
4,0,-1
5,0,-1
6,0,-1
7,0,-1
8,0,-1
9,1,-1
10,0,-1
11,0,-1
12,0,-1
13,0,-1
14,0,-1
15,1,-1
16,0,-1
17,0,-1
18,0,-1
19,0,-1
20,0,-1
21,0,-1
22,0,-1
23,0,-1
24,0,-1
25,0,-1
26,0,-1
27,0,-1
28,0,-1
29,0,-1
30,0,-1
31,0,-1
32,0,-1
33,0,-1
34,0,-1
35,0,-1
36,0,-1
37,0,-1
38,0,-1
39,0,-1
40,0,-1
41,0,-1
42,0,-1
43,0,-1
44,0,-1
45,0,-1
46,0,-1
47,0,-1
48,3,-1
49,0,-1
50,0,-1
51,0,-1
52,0,-1
53,0,-1
54,0,-1
55,0,-1
56,0,-1
57,0,-1
58,4,-1
59,0,-1
60,5,-1
61,0,-1
62,0,-1
63,0,-1
64,0,-1
65,0,-1
66,5,-1
67,0,-1
68,0,-1
69,7,-1
70,8,-1
71,0,-1
72,0,-1
73,9,-1
74,10,-1
75,11,-1
76,8,-1
77,11,-1
78,0,-1
79,0,-1
80,13,-1
81,9,-1
82,0,-1
83,7,-1
84,14,-1
85,0,-1
86,15,-1
87,15,-1
88,16,-1
89,13,-1
90,13,-1
91,13,-1
92,13,-1
93,13,-1
94,13,-1
95,13,-1
96,13,-1
97,13,-1
98,13,-1
99,13,-1
100,13,-1
101,13,-1
102,13,-1
103,13,-1
104,13,-1
105,13,-1
106,13,-1
107,13,-1
108,13,-1
109,13,-1
110,13,-1
111,13,-1
112,13,-1
113,13,-1
114,13,-1
115,13,-1
116,13,-1
117,13,-1
118,13,-1
119,13,-1
120,13,-1
121,13,-1
122,13,-1
123,13,-1
124,13,-1
125,13,-1
126,13,-1
127,13,-1
128,13,-1
129,13,-1
130,13,-1
131,13,-1
132,13,-1
133,13,-1
134,13,-1
135,13,-1
136,13,-1
137,13,-1
138,13,-1
139,13,-1
140,13,-1
141,13,-1
142,13,-1
143,13,-1
144,13,-1
145,13,-1
146,13,-1
147,13,-1
148,13,-1
149,13,-1
150,13,-1
151,13,-1
152,13,-1
153,13,-1
154,13,-1
155,13,-1
156,13,-1
157,13,-1
158,13,-1
159,13,-1
160,13,-1
161,13,-1
162,13,-1
163,13,-1
164,13,-1
165,13,-1
166,13,-1
167,13,-1
168,13,-1
169,13,-1
170,13,-1
171,13,-1
172,13,-1
173,13,-1
174,13,-1
175,13,-1
176,13,-1
177,13,-1
178,13,-1
179,13,-1
180,13,-1
181,13,-1
182,13,-1
183,13,-1
184,13,-1
185,13,-1
186,13,-1
187,13,-1
188,13,-1
189,13,-1
190,13,-1
191,13,-1
192,13,-1
193,13,-1
194,13,-1
195,13,-1
196,13,-1
197,13,-1
198,13,-1
199,13,-1
200,13,-1
201,13,-1
202,13,-1
203,13,-1
204,13,-1
205,13,-1
206,13,-1
207,13,-1
208,13,-1
209,13,-1
210,13,-1
211,13,-1
212,13,-1
213,13,-1
214,13,-1
215,13,-1
216,13,-1
217,13,-1
218,13,-1
219,13,-1
220,13,-1
221,13,-1
222,13,-1
223,13,-1
224,13,-1
225,13,-1
226,19,-1
227,19,-1
228,19,-1
229,19,-1
230,19,-1
231,19,-1
232,19,-1
233,19,-1
234,19,-1
235,19,-1
236,19,-1
237,19,-1
238,19,-1
239,19,-1
240,19,-1
241,19,-1
242,19,-1
243,19,-1
244,19,-1
245,19,-1
246,19,-1
247,19,-1
248,19,-1
249,19,-1
250,19,-1
251,19,-1
252,19,-1
253,19,-1
254,19,-1
255,19,-1
256,19,-1
257,19,-1
258,19,-1
259,19,-1
260,19,-1
261,19,-1
262,19,-1
263,19,-1
264,19,-1
265,19,-1
266,19,-1
267,19,-1
268,19,-1
269,19,-1
270,19,-1
271,19,-1
272,19,-1
273,19,-1
274,19,-1
275,19,-1
276,19,-1
277,19,-1
278,19,-1
279,19,-1
280,19,-1
281,19,-1
282,19,-1
283,19,-1
284,19,-1
285,19,-1
286,20,-1
287,20,-1
288,20,-1
289,20,-1
290,20,-1
291,20,-1
292,20,-1
293,20,-1
294,20,-1
295,20,-1
296,20,-1
297,20,-1
298,20,-1
299,20,-1
300,20,-1
301,20,-1
302,20,-1
303,20,-1
304,20,-1
305,20,-1
306,20,-1
307,20,-1
308,20,-1
309,22,-1
310,20,-1
311,22,-1
312,22,-1
313,22,-1
314,22,-1
315,22,-1
316,22,-1
317,22,-1
318,22,-1
319,22,-1
320,22,-1
321,22,-1
322,22,-1
323,22,-1
324,22,-1
325,22,-1
326,22,-1
327,22,-1
328,22,-1
329,22,-1
330,22,-1
331,22,-1
332,22,-1
333,22,-1
334,22,-1
335,22,-1
336,22,-1
337,22,-1
338,22,-1
339,22,-1
340,22,-1
341,22,-1
342,22,-1
343,22,-1
344,22,-1
345,22,-1
346,22,-1
347,22,-1
348,22,-1
349,22,-1
350,22,-1
351,22,-1
352,22,-1
353,22,-1
354,22,-1
355,22,-1
