# point_id,primitive_gid,primitive_dir_gid
0,0,-1
1,0,-1
2,0,-1
3,0,-1
4,0,-1
5,0,-1
6,0,-1
7,0,-1
8,0,-1
9,0,-1
10,0,-1
11,0,-1
12,0,-1
13,0,-1
14,0,-1
15,0,-1
16,0,-1
17,0,-1
18,0,-1
19,0,-1
20,0,-1
21,0,-1
22,0,-1
23,0,-1
24,0,-1
25,0,-1
26,0,-1
27,0,-1
28,0,-1
29,0,-1
30,0,-1
31,0,-1
32,0,-1
33,0,-1
34,0,-1
35,0,-1
36,0,-1
37,0,-1
38,0,-1
39,0,-1
40,0,-1
41,0,-1
42,0,-1
43,0,-1
44,0,-1
45,0,-1
46,0,-1
47,0,-1
48,0,-1
49,0,-1
50,0,-1
51,0,-1
52,0,-1
53,0,-1
54,0,-1
55,0,-1
56,0,-1
57,0,-1
58,0,-1
59,0,-1
60,0,-1
61,0,-1
62,0,-1
63,0,-1
64,0,-1
65,0,-1
66,0,-1
67,0,-1
68,0,-1
69,0,-1
70,0,-1
71,0,-1
72,0,-1
73,0,-1
74,0,-1
75,0,-1
76,0,-1
77,0,-1
78,0,-1
79,0,-1
80,0,-1
81,0,-1
82,0,-1
83,0,-1
84,0,-1
85,0,-1
86,0,-1
87,0,-1
88,0,-1
89,0,-1
90,0,-1
91,0,-1
92,0,-1
93,0,-1
94,0,-1
95,0,-1
96,0,-1
97,0,-1
98,0,-1
99,0,-1
100,0,-1
101,0,-1
102,0,-1
103,0,-1
104,0,-1
105,0,-1
106,0,-1
107,0,-1
108,0,-1
109,0,-1
110,0,-1
111,0,-1
112,0,-1
113,0,-1
114,0,-1
115,0,-1
116,0,-1
117,0,-1
118,0,-1
119,0,-1
120,0,-1
121,0,-1
122,0,-1
123,0,-1
124,0,-1
125,0,-1
126,0,-1
127,0,-1
128,0,-1
129,0,-1
130,0,-1
131,0,-1
132,0,-1
133,0,-1
134,0,-1
135,0,-1
136,0,-1
137,0,-1
138,0,-1
139,0,-1
140,0,-1
141,0,-1
142,0,-1
143,0,-1
144,0,-1
145,0,-1
146,0,-1
147,0,-1
148,2,-1
149,2,-1
150,2,-1
151,2,-1
152,2,-1
153,2,-1
154,2,-1
155,2,-1
156,2,-1
157,2,-1
158,2,-1
159,2,-1
160,2,-1
161,2,-1
162,2,-1
163,2,-1
164,2,-1
165,2,-1
166,2,-1
167,2,-1
168,2,-1
169,2,-1
170,2,-1
171,2,-1
172,2,-1
173,2,-1
174,2,-1
175,2,-1
176,2,-1
177,2,-1
178,2,-1
179,2,-1
180,2,-1
181,2,-1
182,2,-1
183,2,-1
184,2,-1
185,2,-1
186,2,-1
187,2,-1
188,2,-1
189,4,-1
190,2,-1
191,4,-1
192,2,-1
193,4,-1
194,4,-1
195,4,-1
196,4,-1
197,4,-1
198,4,-1
199,4,-1
200,4,-1
201,4,-1
202,4,-1
203,4,-1
204,4,-1
205,4,-1
206,4,-1
207,4,-1
208,4,-1
209,4,-1
210,4,-1
211,4,-1
212,4,-1
213,4,-1
214,4,-1
215,4,-1
216,4,-1
217,4,-1
218,4,-1
219,4,-1
220,4,-1
221,4,-1
222,4,-1
223,4,-1
224,4,-1
225,4,-1
226,4,-1
227,4,-1
228,4,-1
229,4,-1
230,4,-1
231,4,-1
232,4,-1
233,4,-1
234,4,-1
235,4,-1
236,4,-1
237,4,-1
238,4,-1
239,4,-1
240,4,-1
241,4,-1
242,4,-1
243,4,-1
244,4,-1
245,4,-1
246,4,-1
247,4,-1
248,4,-1
249,4,-1
250,6,-1
251,4,-1
252,6,-1
253,4,-1
254,6,-1
255,4,-1
256,6,-1
257,6,-1
258,6,-1
259,6,-1
260,6,-1
261,6,-1
262,6,-1
263,6,-1
264,6,-1
265,6,-1
266,6,-1
267,6,-1
268,6,-1
269,6,-1
270,6,-1
271,6,-1
272,6,-1
273,6,-1
274,6,-1
275,6,-1
276,6,-1
277,6,-1
278,6,-1
279,6,-1
280,6,-1
281,6,-1
282,6,-1
283,6,-1
284,6,-1
285,6,-1
286,6,-1
287,6,-1
288,6,-1
289,6,-1
290,6,-1
291,6,-1
292,6,-1
293,6,-1
294,6,-1
295,6,-1
296,6,-1
297,6,-1
298,6,-1
299,6,-1
300,6,-1
301,6,-1
302,6,-1
303,6,-1
304,6,-1
305,6,-1
306,6,-1
307,6,-1
308,6,-1
309,6,-1
310,6,-1
311,6,-1
312,6,-1
313,6,-1
314,6,-1
315,6,-1
316,6,-1
317,6,-1
318,6,-1
319,6,-1
320,6,-1
321,6,-1
322,6,-1
323,6,-1
324,6,-1
325,6,-1
326,6,-1
327,6,-1
328,6,-1
329,6,-1
330,6,-1
331,6,-1
332,6,-1
333,6,-1
334,6,-1
335,6,-1
336,6,-1
337,6,-1
338,6,-1
339,6,-1
340,6,-1
341,6,-1
342,6,-1
343,6,-1
344,6,-1
345,6,-1
346,6,-1
347,6,-1
348,6,-1
349,6,-1
350,6,-1
351,6,-1
352,6,-1
353,6,-1
354,6,-1
355,6,-1
