12,12
1,0,0.0006276154308579862
2,0,0.0008930145995691419
2,1,0
3,0,0.0008930145995691419
3,1,0
3,2,0
4,0,0
4,1,0
4,2,0
4,3,0
5,0,0
5,1,0
5,2,0
5,3,0
5,4,0
6,0,0.00048828125
6,1,0
6,2,0
6,3,0
6,4,0
6,5,0
7,0,0.00048828125
7,1,0
7,2,0
7,3,0
7,4,0
7,5,0
7,6,0
8,0,0
8,1,0.00048828125
8,2,0.00048828125
8,3,0.00048828125
8,4,0
8,5,0
8,6,0.00048828125
8,7,0.0005525705055333674
9,0,0.00048828125
9,1,0
9,2,0
9,3,0
9,4,0
9,5,0
9,6,0
9,7,0
9,8,0.0005472328630276024
10,0,0
10,1,0.00048828125
10,2,0.00048828125
10,3,0.00048828125
10,4,0.0006905339541845024
10,5,0.0009765625
10,6,0.00048828125
10,7,0.00048828125
10,8,0
10,9,0.00048828125
11,0,0.00048828125
11,1,0
11,2,0
11,3,0
11,4,0
11,5,0
11,6,0
11,7,0
11,8,0.00048828125
11,9,0
11,10,0.0005635795532725751
