# point_id,primitive_gid,primitive_dir_gid
0,0,-1
1,1,-1
2,2,-1
3,3,-1
4,4,-1
5,5,-1
6,6,-1
7,7,-1
8,8,-1
9,9,-1
10,10,-1
11,11,-1
12,10,-1
13,12,-1
14,2,-1
15,13,-1
16,14,-1
17,10,-1
18,10,-1
19,16,-1
20,17,-1
21,18,-1
22,18,-1
23,19,-1
24,20,-1
25,21,-1
26,10,-1
27,22,-1
28,23,-1
29,1,-1
30,24,-1
31,18,-1
32,10,-1
33,25,-1
34,26,-1
35,27,-1
36,5,-1
37,29,-1
38,30,-1
39,10,-1
40,5,-1
41,31,-1
42,6,-1
43,19,-1
44,32,-1
45,6,-1
46,25,-1
47,34,-1
48,35,-1
49,11,-1
50,25,-1
51,36,-1
52,25,-1
53,19,-1
54,18,-1
55,18,-1
56,10,-1
57,35,-1
58,18,-1
59,1,-1
60,10,-1
61,18,-1
62,37,-1
63,19,-1
64,38,-1
65,39,-1
66,9,-1
67,39,-1
68,1,-1
69,1,-1
70,18,-1
71,25,-1
72,25,-1
73,9,-1
74,25,-1
75,25,-1
76,42,-1
77,10,-1
78,43,-1
79,44,-1
80,30,-1
81,45,-1
82,6,-1
83,10,-1
84,25,-1
85,46,-1
86,25,-1
87,10,-1
88,25,-1
89,47,-1
90,25,-1
91,5,-1
92,2,-1
93,25,-1
94,48,-1
95,9,-1
96,18,-1
97,19,-1
98,9,-1
99,51,-1
100,25,-1
101,25,-1
102,23,-1
103,52,-1
104,9,-1
105,25,-1
106,35,-1
107,10,-1
108,10,-1
109,23,-1
110,2,-1
111,25,-1
112,2,-1
113,53,-1
114,54,-1
115,6,-1
116,36,-1
117,55,-1
118,56,-1
119,57,-1
120,2,-1
121,2,-1
122,58,-1
123,5,-1
124,25,-1
125,5,-1
126,59,-1
127,11,-1
128,21,-1
129,60,-1
130,10,-1
131,35,-1
132,25,-1
133,25,-1
134,42,-1
135,18,-1
136,23,-1
137,25,-1
138,2,-1
139,2,-1
140,2,-1
141,62,-1
142,18,-1
143,19,-1
144,63,-1
145,64,-1
146,2,-1
147,25,-1
148,25,-1
149,25,-1
150,65,-1
151,2,-1
152,9,-1
153,10,-1
154,67,-1
155,68,-1
156,25,-1
157,5,-1
158,25,-1
159,2,-1
160,10,-1
161,35,-1
162,70,-1
163,6,-1
164,71,-1
165,5,-1
166,71,-1
167,25,-1
168,72,-1
169,10,-1
170,1,-1
171,25,-1
172,25,-1
173,25,-1
174,19,-1
175,74,-1
176,2,-1
177,75,-1
178,19,-1
179,9,-1
180,1,-1
181,65,-1
182,9,-1
183,76,-1
184,10,-1
185,2,-1
186,6,-1
187,42,-1
188,42,-1
189,13,-1
190,9,-1
191,9,-1
192,10,-1
193,2,-1
194,42,-1
195,21,-1
196,6,-1
197,11,-1
198,30,-1
199,1,-1
200,2,-1
201,30,-1
202,2,-1
203,1,-1
204,77,-1
205,5,-1
206,78,-1
207,10,-1
208,10,-1
209,79,-1
210,25,-1
211,19,-1
212,80,-1
213,9,-1
214,81,-1
215,35,-1
216,25,-1
217,25,-1
218,36,-1
219,23,-1
220,84,-1
221,1,-1
222,85,-1
223,84,-1
224,21,-1
225,87,-1
226,10,-1
227,10,-1
228,88,-1
229,9,-1
230,80,-1
231,42,-1
232,19,-1
233,5,-1
234,21,-1
235,9,-1
236,87,-1
237,25,-1
238,57,-1
239,92,-1
240,93,-1
241,94,-1
242,21,-1
243,21,-1
244,9,-1
245,18,-1
246,18,-1
247,80,-1
248,96,-1
249,10,-1
250,25,-1
251,71,-1
252,23,-1
253,25,-1
254,87,-1
255,53,-1
256,97,-1
257,39,-1
258,18,-1
259,98,-1
260,99,-1
261,43,-1
262,11,-1
263,5,-1
264,101,-1
265,35,-1
266,102,-1
267,5,-1
268,10,-1
269,2,-1
270,2,-1
271,10,-1
272,63,-1
273,5,-1
274,104,-1
275,105,-1
276,11,-1
277,106,-1
278,107,-1
279,9,-1
280,11,-1
281,2,-1
282,108,-1
283,19,-1
284,110,-1
285,111,-1
286,19,-1
287,18,-1
288,112,-1
289,30,-1
290,25,-1
291,71,-1
292,19,-1
293,6,-1
294,93,-1
295,9,-1
296,2,-1
297,114,-1
298,9,-1
299,19,-1
300,30,-1
301,25,-1
302,1,-1
303,2,-1
304,18,-1
305,57,-1
306,21,-1
307,19,-1
308,25,-1
309,25,-1
310,10,-1
311,18,-1
312,5,-1
313,19,-1
314,9,-1
315,2,-1
316,25,-1
317,80,-1
318,5,-1
319,2,-1
320,25,-1
321,9,-1
322,38,-1
323,35,-1
324,114,-1
325,115,-1
326,63,-1
327,19,-1
328,35,-1
329,116,-1
330,25,-1
331,25,-1
332,2,-1
333,117,-1
334,57,-1
335,30,-1
336,118,-1
337,119,-1
338,80,-1
339,25,-1
340,71,-1
341,5,-1
342,121,-1
343,1,-1
344,43,-1
345,5,-1
346,25,-1
347,122,-1
348,123,-1
349,124,-1
350,125,-1
351,126,-1
352,2,-1
353,9,-1
354,127,-1
355,128,-1
356,2,-1
357,39,-1
358,25,-1
359,10,-1
360,71,-1
361,35,-1
362,25,-1
363,129,-1
364,130,-1
365,1,-1
366,25,-1
367,132,-1
368,43,-1
369,11,-1
370,25,-1
371,133,-1
372,2,-1
373,39,-1
374,2,-1
375,35,-1
376,87,-1
377,5,-1
378,132,-1
379,134,-1
380,132,-1
381,135,-1
382,9,-1
383,2,-1
384,6,-1
385,23,-1
386,30,-1
387,2,-1
388,10,-1
389,137,-1
390,1,-1
391,25,-1
392,35,-1
393,25,-1
394,23,-1
395,2,-1
396,30,-1
397,138,-1
398,57,-1
399,19,-1
400,23,-1
401,43,-1
402,19,-1
403,65,-1
404,63,-1
405,78,-1
406,1,-1
407,142,-1
408,9,-1
409,2,-1
410,18,-1
411,25,-1
412,25,-1
413,71,-1
414,19,-1
415,25,-1
416,63,-1
417,10,-1
418,37,-1
419,37,-1
420,43,-1
421,1,-1
422,6,-1
423,6,-1
424,114,-1
425,53,-1
426,5,-1
427,2,-1
428,35,-1
429,21,-1
430,11,-1
431,6,-1
432,9,-1
433,146,-1
434,30,-1
435,2,-1
436,105,-1
437,147,-1
438,43,-1
439,6,-1
440,10,-1
441,39,-1
442,10,-1
443,35,-1
444,148,-1
445,149,-1
446,114,-1
447,18,-1
448,25,-1
449,2,-1
450,23,-1
451,25,-1
452,2,-1
453,5,-1
454,10,-1
455,6,-1
456,71,-1
457,6,-1
458,6,-1
459,25,-1
460,1,-1
461,2,-1
462,6,-1
463,25,-1
464,18,-1
465,2,-1
466,10,-1
467,5,-1
468,5,-1
469,18,-1
470,19,-1
471,18,-1
472,57,-1
473,1,-1
474,42,-1
475,25,-1
476,19,-1
477,18,-1
478,35,-1
479,25,-1
480,36,-1
481,5,-1
482,5,-1
483,19,-1
484,9,-1
485,151,-1
486,9,-1
487,65,-1
488,23,-1
489,23,-1
490,6,-1
491,2,-1
492,5,-1
493,2,-1
494,10,-1
495,10,-1
496,57,-1
497,25,-1
498,2,-1
499,23,-1
500,93,-1
501,43,-1
502,154,-1
503,18,-1
504,65,-1
505,2,-1
506,11,-1
507,2,-1
508,9,-1
509,19,-1
510,155,-1
511,1,-1
512,10,-1
513,157,-1
514,158,-1
515,10,-1
516,10,-1
517,19,-1
518,23,-1
519,36,-1
520,160,-1
521,10,-1
522,110,-1
523,10,-1
524,161,-1
525,11,-1
526,2,-1
527,43,-1
528,110,-1
529,5,-1
530,30,-1
531,25,-1
532,5,-1
533,6,-1
534,72,-1
535,34,-1
536,35,-1
537,162,-1
538,163,-1
539,2,-1
540,24,-1
541,2,-1
542,5,-1
543,21,-1
544,165,-1
545,5,-1
546,30,-1
547,19,-1
548,6,-1
549,25,-1
550,166,-1
551,2,-1
552,21,-1
553,5,-1
554,18,-1
555,6,-1
556,53,-1
557,39,-1
558,71,-1
559,5,-1
560,1,-1
561,2,-1
562,2,-1
563,23,-1
564,6,-1
565,10,-1
566,126,-1
567,168,-1
568,30,-1
569,35,-1
570,35,-1
571,6,-1
572,30,-1
573,2,-1
574,6,-1
575,19,-1
576,155,-1
577,19,-1
578,169,-1
579,2,-1
580,19,-1
581,43,-1
582,35,-1
583,9,-1
584,2,-1
585,2,-1
586,9,-1
587,10,-1
588,1,-1
589,171,-1
590,25,-1
591,21,-1
592,9,-1
593,18,-1
594,9,-1
595,9,-1
596,9,-1
597,35,-1
598,23,-1
599,2,-1
600,146,-1
601,155,-1
602,172,-1
603,23,-1
604,173,-1
605,6,-1
606,93,-1
607,18,-1
608,175,-1
609,1,-1
610,25,-1
611,5,-1
612,176,-1
613,94,-1
614,148,-1
615,10,-1
616,42,-1
617,177,-1
618,178,-1
619,179,-1
620,21,-1
621,71,-1
622,18,-1
623,5,-1
624,180,-1
625,181,-1
626,155,-1
627,76,-1
628,35,-1
629,65,-1
630,5,-1
631,10,-1
632,25,-1
633,63,-1
634,23,-1
635,1,-1
636,10,-1
637,2,-1
638,25,-1
639,5,-1
640,1,-1
641,19,-1
642,23,-1
643,21,-1
644,183,-1
645,25,-1
646,116,-1
647,181,-1
648,10,-1
649,65,-1
650,35,-1
651,185,-1
652,38,-1
653,186,-1
654,2,-1
655,1,-1
656,25,-1
657,71,-1
658,1,-1
659,155,-1
660,9,-1
661,72,-1
662,187,-1
663,188,-1
664,35,-1
665,2,-1
666,21,-1
667,6,-1
668,9,-1
669,189,-1
670,179,-1
671,5,-1
672,9,-1
673,190,-1
674,10,-1
675,191,-1
676,192,-1
677,6,-1
678,10,-1
679,11,-1
680,25,-1
681,6,-1
682,193,-1
683,155,-1
684,10,-1
685,35,-1
686,194,-1
687,9,-1
688,18,-1
689,195,-1
690,18,-1
691,71,-1
692,196,-1
693,197,-1
694,2,-1
695,6,-1
696,198,-1
697,21,-1
698,30,-1
699,199,-1
700,25,-1
701,5,-1
702,179,-1
703,5,-1
704,132,-1
705,6,-1
706,25,-1
707,24,-1
708,71,-1
709,1,-1
710,5,-1
711,114,-1
712,200,-1
713,36,-1
714,35,-1
715,201,-1
716,19,-1
717,70,-1
718,25,-1
719,35,-1
720,30,-1
721,111,-1
722,30,-1
723,11,-1
724,202,-1
725,203,-1
726,21,-1
727,111,-1
728,10,-1
729,23,-1
730,30,-1
731,65,-1
732,25,-1
733,11,-1
734,205,-1
735,5,-1
736,72,-1
737,2,-1
738,42,-1
739,6,-1
740,23,-1
741,25,-1
742,19,-1
743,18,-1
744,1,-1
745,207,-1
746,5,-1
747,63,-1
748,71,-1
749,9,-1
750,208,-1
751,21,-1
752,18,-1
753,210,-1
754,57,-1
755,10,-1
756,25,-1
757,5,-1
758,211,-1
759,9,-1
760,80,-1
761,10,-1
762,35,-1
763,9,-1
764,30,-1
765,1,-1
766,63,-1
767,35,-1
768,132,-1
769,18,-1
770,212,-1
771,65,-1
772,1,-1
773,38,-1
774,2,-1
775,214,-1
776,18,-1
777,93,-1
778,30,-1
779,9,-1
780,53,-1
781,181,-1
782,19,-1
783,21,-1
784,181,-1
785,25,-1
786,5,-1
787,23,-1
788,216,-1
789,21,-1
790,10,-1
791,25,-1
792,2,-1
793,19,-1
794,2,-1
795,25,-1
796,25,-1
797,23,-1
798,217,-1
799,5,-1
800,63,-1
801,35,-1
802,1,-1
803,10,-1
804,10,-1
805,2,-1
806,78,-1
807,126,-1
808,10,-1
809,72,-1
810,9,-1
811,10,-1
812,35,-1
813,72,-1
814,18,-1
815,2,-1
816,9,-1
817,219,-1
818,2,-1
819,9,-1
820,71,-1
821,18,-1
822,6,-1
823,6,-1
824,43,-1
825,35,-1
826,34,-1
827,25,-1
828,19,-1
829,93,-1
830,25,-1
831,25,-1
832,25,-1
833,25,-1
834,9,-1
835,10,-1
836,2,-1
837,2,-1
838,2,-1
839,63,-1
840,220,-1
841,71,-1
842,19,-1
843,5,-1
844,21,-1
845,221,-1
846,25,-1
847,19,-1
848,35,-1
849,222,-1
850,18,-1
851,18,-1
852,11,-1
853,19,-1
854,5,-1
855,2,-1
856,71,-1
857,223,-1
858,5,-1
859,42,-1
860,5,-1
861,18,-1
862,25,-1
863,76,-1
864,36,-1
865,6,-1
866,25,-1
867,25,-1
868,18,-1
869,181,-1
870,18,-1
871,224,-1
872,36,-1
873,6,-1
874,5,-1
875,30,-1
876,6,-1
877,9,-1
878,30,-1
879,25,-1
880,25,-1
881,1,-1
882,132,-1
883,10,-1
884,30,-1
885,65,-1
886,25,-1
887,155,-1
888,155,-1
889,179,-1
890,225,-1
891,226,-1
892,227,-1
893,25,-1
894,78,-1
895,228,-1
896,18,-1
897,1,-1
898,23,-1
899,46,-1
900,25,-1
901,229,-1
902,6,-1
903,230,-1
904,1,-1
905,25,-1
906,25,-1
907,25,-1
908,18,-1
909,231,-1
910,30,-1
911,232,-1
912,93,-1
913,25,-1
914,233,-1
915,87,-1
916,30,-1
917,30,-1
918,234,-1
919,1,-1
920,30,-1
921,235,-1
922,9,-1
923,18,-1
924,236,-1
925,237,-1
926,10,-1
927,2,-1
928,6,-1
929,30,-1
930,25,-1
931,30,-1
932,238,-1
933,10,-1
934,10,-1
935,10,-1
936,25,-1
937,19,-1
938,239,-1
939,9,-1
940,1,-1
941,240,-1
942,6,-1
943,2,-1
944,241,-1
945,43,-1
946,242,-1
947,6,-1
948,2,-1
949,39,-1
950,6,-1
951,63,-1
952,243,-1
953,10,-1
954,1,-1
955,1,-1
956,25,-1
957,23,-1
958,114,-1
959,35,-1
960,6,-1
961,18,-1
962,6,-1
963,18,-1
964,35,-1
965,18,-1
966,181,-1
967,2,-1
968,23,-1
969,245,-1
970,10,-1
971,2,-1
972,43,-1
973,93,-1
974,2,-1
975,245,-1
976,25,-1
977,23,-1
978,25,-1
979,5,-1
980,38,-1
981,246,-1
982,1,-1
983,63,-1
984,30,-1
985,1,-1
986,5,-1
987,71,-1
988,178,-1
989,9,-1
990,6,-1
991,126,-1
992,39,-1
993,248,-1
994,18,-1
995,10,-1
996,10,-1
997,235,-1
998,25,-1
999,25,-1
1000,21,-1
1001,63,-1
1002,181,-1
1003,6,-1
1004,9,-1
1005,6,-1
1006,5,-1
1007,5,-1
1008,18,-1
1009,35,-1
1010,11,-1
1011,126,-1
1012,1,-1
1013,25,-1
1014,25,-1
1015,18,-1
1016,25,-1
1017,6,-1
1018,25,-1
1019,1,-1
1020,19,-1
1021,249,-1
1022,71,-1
1023,18,-1
1024,5,-1
1025,25,-1
1026,250,-1
1027,6,-1
1028,18,-1
1029,251,-1
1030,25,-1
1031,25,-1
1032,252,-1
1033,18,-1
1034,5,-1
1035,2,-1
1036,70,-1
1037,23,-1
1038,35,-1
1039,93,-1
