# point_id,primitive_gid,primitive_dir_gid
0,0,-1
1,1,-1
2,2,-1
3,3,-1
4,3,-1
5,3,-1
6,190,-1
7,3,-1
8,8,-1
9,9,-1
10,462,-1
11,3,-1
12,87,-1
13,8,-1
14,90,-1
15,54,-1
16,16,-1
17,1,-1
18,3,-1
19,17,-1
20,603,-1
21,3,-1
22,20,-1
23,21,-1
24,22,-1
25,23,-1
26,24,-1
27,17,-1
28,21,-1
29,26,-1
30,22,-1
31,27,-1
32,1,-1
33,3,-1
34,27,-1
35,159,-1
36,22,-1
37,304,-1
38,98,-1
39,0,-1
40,98,-1
41,1,-1
42,1,-1
43,27,-1
44,17,-1
45,0,-1
46,17,-1
47,26,-1
48,3,-1
49,83,-1
50,37,-1
51,9,-1
52,21,-1
53,3,-1
54,643,-1
55,17,-1
56,3,-1
57,17,-1
58,17,-1
59,20,-1
60,9,-1
61,17,-1
62,0,-1
63,0,-1
64,1720,-1
65,3,-1
66,81,-1
67,9,-1
68,17,-1
69,1132,-1
70,17,-1
71,21,-1
72,49,-1
73,9,-1
74,9,-1
75,20,-1
76,20,-1
77,20,-1
78,53,-1
79,54,-1
80,17,-1
81,17,-1
82,137,-1
83,27,-1
84,9,-1
85,27,-1
86,22,-1
87,117,-1
88,17,-1
89,17,-1
90,17,-1
91,53,-1
92,9,-1
93,0,-1
94,3,-1
95,81,-1
96,17,-1
97,9,-1
98,3,-1
99,244,-1
100,93,-1
101,93,-1
102,17,-1
103,9,-1
104,1,-1
105,26,-1
106,37,-1
107,701,-1
108,0,-1
109,1,-1
110,70,-1
111,9,-1
112,21,-1
113,74,-1
114,26,-1
115,0,-1
116,3,-1
117,9,-1
118,74,-1
119,75,-1
120,1,-1
121,9,-1
122,37,-1
123,9,-1
124,1,-1
125,37,-1
126,582,-1
127,3,-1
128,22,-1
129,81,-1
130,0,-1
131,82,-1
132,17,-1
133,17,-1
134,83,-1
135,84,-1
136,1,-1
137,1331,-1
138,54,-1
139,87,-1
140,3,-1
141,3,-1
142,304,-1
143,20,-1
144,53,-1
145,17,-1
146,90,-1
147,82,-1
148,54,-1
149,0,-1
150,27,-1
151,27,-1
152,21,-1
153,93,-1
154,81,-1
155,87,-1
156,1132,-1
157,27,-1
158,98,-1
159,53,-1
160,100,-1
161,75,-1
162,1121,-1
163,20,-1
164,3,-1
165,9,-1
166,9,-1
167,3,-1
168,575,-1
169,82,-1
170,17,-1
171,22,-1
172,0,-1
173,75,-1
174,22,-1
175,22,-1
176,27,-1
177,112,-1
178,22,-1
179,82,-1
180,406,-1
181,9,-1
182,0,-1
183,117,-1
184,37,-1
185,17,-1
186,1,-1
187,9,-1
188,27,-1
189,22,-1
190,17,-1
191,3,-1
192,27,-1
193,20,-1
194,9,-1
195,17,-1
196,9,-1
197,17,-1
198,0,-1
199,53,-1
200,300,-1
201,9,-1
202,117,-1
203,22,-1
204,53,-1
205,17,-1
206,17,-1
207,9,-1
208,3,-1
209,90,-1
210,441,-1
211,3,-1
212,81,-1
213,17,-1
214,20,-1
215,20,-1
216,406,-1
217,17,-1
218,1331,-1
219,137,-1
220,138,-1
221,117,-1
222,98,-1
223,17,-1
224,3,-1
225,93,-1
226,17,-1
227,1,-1
228,17,-1
229,3,-1
230,143,-1
231,75,-1
232,548,-1
233,98,-1
234,9,-1
235,24,-1
236,16,-1
237,16,-1
238,21,-1
239,1,-1
240,24,-1
241,17,-1
242,81,-1
243,9,-1
244,37,-1
245,3,-1
246,81,-1
247,143,-1
248,22,-1
249,53,-1
250,117,-1
251,1,-1
252,17,-1
253,137,-1
254,9,-1
255,17,-1
256,37,-1
257,22,-1
258,117,-1
259,3,-1
260,159,-1
261,1,-1
262,21,-1
263,300,-1
264,54,-1
265,20,-1
266,54,-1
267,1068,-1
268,82,-1
269,143,-1
270,21,-1
271,3,-1
272,20,-1
273,166,-1
274,300,-1
275,17,-1
276,9,-1
277,81,-1
278,3,-1
279,21,-1
280,170,-1
281,9,-1
282,17,-1
283,27,-1
284,3,-1
285,20,-1
286,27,-1
287,90,-1
288,26,-1
289,17,-1
290,22,-1
291,27,-1
292,17,-1
293,177,-1
294,0,-1
295,178,-1
296,0,-1
297,143,-1
298,9,-1
299,3,-1
300,17,-1
301,9,-1
302,82,-1
303,143,-1
304,181,-1
305,27,-1
306,53,-1
307,75,-1
308,9,-1
309,137,-1
310,22,-1
311,184,-1
312,3,-1
313,3,-1
314,22,-1
315,81,-1
316,26,-1
317,1797,-1
318,3,-1
319,190,-1
320,20,-1
321,190,-1
322,9,-1
323,37,-1
324,17,-1
325,20,-1
326,24,-1
327,24,-1
328,1639,-1
329,178,-1
330,54,-1
331,3,-1
332,117,-1
333,21,-1
334,9,-1
335,21,-1
336,1132,-1
337,98,-1
338,93,-1
339,1,-1
340,9,-1
341,81,-1
342,21,-1
343,3,-1
344,316,-1
345,37,-1
346,24,-1
347,37,-1
348,9,-1
349,21,-1
350,22,-1
351,203,-1
352,22,-1
353,24,-1
354,0,-1
355,9,-1
356,9,-1
357,0,-1
358,3,-1
359,1,-1
360,224,-1
361,17,-1
362,21,-1
363,27,-1
364,0,-1
365,24,-1
366,81,-1
367,9,-1
368,1,-1
369,81,-1
370,209,-1
371,21,-1
372,82,-1
373,27,-1
374,17,-1
375,20,-1
376,20,-1
377,3,-1
378,74,-1
379,1901,-1
380,54,-1
381,170,-1
382,93,-1
383,215,-1
384,21,-1
385,184,-1
386,70,-1
387,24,-1
388,184,-1
389,9,-1
390,3,-1
391,17,-1
392,117,-1
393,81,-1
394,1,-1
395,3,-1
396,9,-1
397,20,-1
398,1,-1
399,22,-1
400,81,-1
401,1068,-1
402,17,-1
403,224,-1
404,482,-1
405,17,-1
406,9,-1
407,17,-1
408,93,-1
409,1,-1
410,184,-1
411,0,-1
412,8,-1
413,229,-1
414,9,-1
415,21,-1
416,143,-1
417,231,-1
418,0,-1
419,697,-1
420,3,-1
421,21,-1
422,3,-1
423,75,-1
424,17,-1
425,21,-1
426,184,-1
427,9,-1
428,87,-1
429,0,-1
430,27,-1
431,112,-1
432,376,-1
433,9,-1
434,21,-1
435,238,-1
436,54,-1
437,20,-1
438,231,-1
439,16,-1
440,21,-1
441,17,-1
442,178,-1
443,93,-1
444,300,-1
445,224,-1
446,24,-1
447,244,-1
448,24,-1
449,37,-1
450,1331,-1
451,37,-1
452,75,-1
453,17,-1
454,1797,-1
455,37,-1
456,53,-1
457,17,-1
458,17,-1
459,20,-1
460,8,-1
461,17,-1
462,22,-1
463,27,-1
464,1,-1
465,159,-1
466,117,-1
467,93,-1
468,21,-1
469,27,-1
470,21,-1
471,90,-1
472,3,-1
473,17,-1
474,20,-1
475,0,-1
476,3,-1
477,1,-1
478,16,-1
479,27,-1
480,3,-1
481,260,-1
482,27,-1
483,82,-1
484,37,-1
485,3,-1
486,224,-1
487,224,-1
488,17,-1
489,20,-1
490,81,-1
491,83,-1
492,3,-1
493,17,-1
494,117,-1
495,9,-1
496,181,-1
497,117,-1
498,24,-1
499,1,-1
500,3,-1
501,3,-1
502,9,-1
503,582,-1
504,8,-1
505,0,-1
506,24,-1
507,8,-1
508,27,-1
509,24,-1
510,9,-1
511,24,-1
512,23,-1
513,17,-1
514,22,-1
515,17,-1
516,17,-1
517,0,-1
518,9,-1
519,117,-1
520,93,-1
521,22,-1
522,20,-1
523,2169,-1
524,22,-1
525,24,-1
526,203,-1
527,27,-1
528,75,-1
529,22,-1
530,20,-1
531,20,-1
532,74,-1
533,20,-1
534,27,-1
535,17,-1
536,17,-1
537,17,-1
538,27,-1
539,27,-1
540,53,-1
541,177,-1
542,21,-1
543,21,-1
544,238,-1
545,17,-1
546,16,-1
547,3,-1
548,37,-1
549,17,-1
550,17,-1
551,37,-1
552,17,-1
553,350,-1
554,1,-1
555,643,-1
556,922,-1
557,17,-1
558,17,-1
559,287,-1
560,20,-1
561,17,-1
562,244,-1
563,37,-1
564,37,-1
565,1,-1
566,143,-1
567,27,-1
568,54,-1
569,9,-1
570,37,-1
571,643,-1
572,203,-1
573,3,-1
574,3,-1
575,17,-1
576,22,-1
577,137,-1
578,1,-1
579,294,-1
580,21,-1
581,9,-1
582,24,-1
583,143,-1
584,21,-1
585,21,-1
586,215,-1
587,1,-1
588,81,-1
589,300,-1
590,24,-1
591,21,-1
592,24,-1
593,27,-1
594,224,-1
595,9,-1
596,81,-1
597,1232,-1
598,82,-1
599,17,-1
600,17,-1
601,20,-1
602,304,-1
603,117,-1
604,37,-1
605,1,-1
606,20,-1
607,93,-1
608,20,-1
609,21,-1
610,316,-1
611,98,-1
612,20,-1
613,27,-1
614,3,-1
615,17,-1
616,117,-1
617,21,-1
618,27,-1
619,24,-1
620,1,-1
621,17,-1
622,17,-1
623,17,-1
624,21,-1
625,17,-1
626,1,-1
627,587,-1
628,93,-1
629,27,-1
630,17,-1
631,17,-1
632,3095,-1
633,244,-1
634,81,-1
635,24,-1
636,82,-1
637,27,-1
638,316,-1
639,27,-1
640,510,-1
641,9,-1
642,9,-1
643,75,-1
644,9,-1
645,8,-1
646,17,-1
647,37,-1
648,90,-1
649,0,-1
650,20,-1
651,9,-1
652,9,-1
653,0,-1
654,9,-1
655,21,-1
656,83,-1
657,326,-1
658,27,-1
659,178,-1
660,3,-1
661,3,-1
662,300,-1
663,3,-1
664,26,-1
665,2208,-1
666,37,-1
667,17,-1
668,24,-1
669,1424,-1
670,17,-1
671,81,-1
672,83,-1
673,24,-1
674,75,-1
675,9,-1
676,9,-1
677,17,-1
678,316,-1
679,49,-1
680,75,-1
681,17,-1
682,9,-1
683,17,-1
684,224,-1
685,17,-1
686,20,-1
687,53,-1
688,21,-1
689,17,-1
690,17,-1
691,3,-1
692,0,-1
693,548,-1
694,27,-1
695,54,-1
696,17,-1
697,20,-1
698,9,-1
699,3,-1
700,20,-1
701,1,-1
702,897,-1
703,0,-1
704,22,-1
705,22,-1
706,27,-1
707,3,-1
708,21,-1
709,3,-1
710,17,-1
711,75,-1
712,83,-1
713,22,-1
714,0,-1
715,3,-1
716,17,-1
717,20,-1
718,21,-1
719,17,-1
720,3,-1
721,87,-1
722,37,-1
723,825,-1
724,350,-1
725,21,-1
726,20,-1
727,37,-1
728,27,-1
729,20,-1
730,922,-1
731,1132,-1
732,9,-1
733,143,-1
734,3,-1
735,26,-1
736,20,-1
737,23,-1
738,1,-1
739,20,-1
740,20,-1
741,117,-1
742,22,-1
743,21,-1
744,3,-1
745,17,-1
746,93,-1
747,0,-1
748,17,-1
749,3,-1
750,143,-1
751,20,-1
752,3,-1
753,0,-1
754,20,-1
755,20,-1
756,190,-1
757,20,-1
758,231,-1
759,17,-1
760,17,-1
761,360,-1
762,37,-1
763,8,-1
764,1,-1
765,9,-1
766,0,-1
767,17,-1
768,17,-1
769,9,-1
770,27,-1
771,17,-1
772,27,-1
773,17,-1
774,27,-1
775,17,-1
776,3,-1
777,300,-1
778,17,-1
779,27,-1
780,1,-1
781,17,-1
782,181,-1
783,17,-1
784,224,-1
785,244,-1
786,0,-1
787,370,-1
788,81,-1
789,22,-1
790,0,-1
791,22,-1
792,3,-1
793,1,-1
794,8,-1
795,83,-1
796,184,-1
797,9,-1
798,24,-1
799,316,-1
800,184,-1
801,21,-1
802,93,-1
803,376,-1
804,8,-1
805,17,-1
806,17,-1
807,17,-1
808,22,-1
809,304,-1
810,575,-1
811,54,-1
812,922,-1
813,20,-1
814,81,-1
815,17,-1
816,24,-1
817,17,-1
818,9,-1
819,23,-1
820,27,-1
821,21,-1
822,9,-1
823,17,-1
824,27,-1
825,1621,-1
826,20,-1
827,81,-1
828,184,-1
829,17,-1
830,24,-1
831,9,-1
832,17,-1
833,0,-1
834,93,-1
835,184,-1
836,17,-1
837,22,-1
838,21,-1
839,27,-1
840,260,-1
841,81,-1
842,17,-1
843,143,-1
844,81,-1
845,27,-1
846,54,-1
847,3,-1
848,21,-1
849,0,-1
850,17,-1
851,17,-1
852,9,-1
853,3,-1
854,17,-1
855,81,-1
856,3,-1
857,27,-1
858,9,-1
859,27,-1
860,21,-1
861,9,-1
862,9,-1
863,17,-1
864,22,-1
865,26,-1
866,9,-1
867,1,-1
868,37,-1
869,3,-1
870,3,-1
871,3,-1
872,20,-1
873,81,-1
874,3,-1
875,17,-1
876,21,-1
877,3,-1
878,17,-1
879,24,-1
880,24,-1
881,184,-1
882,27,-1
883,224,-1
884,24,-1
885,404,-1
886,37,-1
887,26,-1
888,0,-1
889,26,-1
890,22,-1
891,27,-1
892,229,-1
893,406,-1
894,75,-1
895,17,-1
896,231,-1
897,17,-1
898,17,-1
899,21,-1
900,3,-1
901,1,-1
902,84,-1
903,1,-1
904,3,-1
905,9,-1
906,22,-1
907,54,-1
908,24,-1
909,21,-1
910,20,-1
911,53,-1
912,9,-1
913,143,-1
914,181,-1
915,37,-1
916,16,-1
917,922,-1
918,82,-1
919,20,-1
920,9,-1
921,178,-1
922,17,-1
923,143,-1
924,177,-1
925,20,-1
926,83,-1
927,81,-1
928,74,-1
929,21,-1
930,26,-1
931,17,-1
932,20,-1
933,0,-1
934,20,-1
935,21,-1
936,75,-1
937,27,-1
938,17,-1
939,1,-1
940,90,-1
941,9,-1
942,37,-1
943,70,-1
944,90,-1
945,1121,-1
946,1,-1
947,21,-1
948,81,-1
949,17,-1
950,20,-1
951,87,-1
952,21,-1
953,137,-1
954,27,-1
955,897,-1
956,22,-1
957,17,-1
958,53,-1
959,231,-1
960,21,-1
961,37,-1
962,90,-1
963,20,-1
964,184,-1
965,1,-1
966,0,-1
967,37,-1
968,21,-1
969,3,-1
970,17,-1
971,22,-1
972,1720,-1
973,1947,-1
974,26,-1
975,0,-1
976,20,-1
977,17,-1
978,2723,-1
979,462,-1
980,27,-1
981,9,-1
982,17,-1
983,3,-1
984,224,-1
985,17,-1
986,22,-1
987,21,-1
988,0,-1
989,75,-1
990,21,-1
991,20,-1
992,143,-1
993,20,-1
994,81,-1
995,316,-1
996,137,-1
997,26,-1
998,20,-1
999,17,-1
1000,143,-1
1001,20,-1
1002,1,-1
1003,90,-1
1004,9,-1
1005,1,-1
1006,326,-1
1007,81,-1
1008,17,-1
1009,20,-1
1010,17,-1
1011,27,-1
1012,37,-1
1013,117,-1
1014,81,-1
1015,24,-1
1016,37,-1
1017,37,-1
1018,81,-1
1019,441,-1
1020,9,-1
1021,22,-1
1022,87,-1
1023,21,-1
1024,9,-1
1025,22,-1
1026,22,-1
1027,300,-1
1028,93,-1
1029,24,-1
1030,87,-1
1031,81,-1
1032,9,-1
1033,20,-1
1034,3,-1
1035,244,-1
1036,3,-1
