# point_id,primitive_gid,primitive_dir_gid
0,0,-1
1,0,-1
2,1,-1
3,2,-1
4,3,-1
5,4,-1
6,5,-1
7,6,-1
8,7,-1
9,6,-1
10,6,-1
11,6,-1
12,6,-1
13,6,-1
14,6,-1
15,10,-1
16,6,-1
17,11,-1
18,6,-1
19,6,-1
20,6,-1
21,6,-1
22,6,-1
23,6,-1
24,6,-1
25,6,-1
26,6,-1
27,12,-1
28,13,-1
29,14,-1
30,2,-1
31,15,-1
32,16,-1
33,3,-1
34,6,-1
35,4,-1
36,6,-1
37,15,-1
38,13,-1
39,6,-1
40,6,-1
41,6,-1
42,6,-1
43,6,-1
44,18,-1
45,6,-1
46,6,-1
47,6,-1
48,6,-1
49,6,-1
50,6,-1
51,6,-1
52,6,-1
53,19,-1
54,6,-1
55,20,-1
56,6,-1
57,5,-1
58,5,-1
59,6,-1
60,19,-1
61,6,-1
62,6,-1
63,10,-1
64,18,-1
65,6,-1
66,6,-1
67,6,-1
68,6,-1
69,11,-1
70,6,-1
71,6,-1
72,6,-1
73,19,-1
74,24,-1
75,6,-1
76,24,-1
77,6,-1
78,25,-1
79,6,-1
80,6,-1
81,6,-1
82,6,-1
83,6,-1
84,6,-1
85,6,-1
86,27,-1
87,6,-1
88,6,-1
89,6,-1
90,27,-1
91,6,-1
92,6,-1
93,6,-1
94,6,-1
95,6,-1
96,29,-1
97,6,-1
98,6,-1
99,6,-1
100,30,-1
101,30,-1
102,6,-1
103,31,-1
104,32,-1
105,32,-1
106,6,-1
107,6,-1
108,6,-1
109,6,-1
110,6,-1
111,6,-1
112,33,-1
113,6,-1
114,33,-1
115,6,-1
116,34,-1
117,31,-1
118,6,-1
119,6,-1
120,6,-1
121,6,-1
122,6,-1
123,6,-1
124,6,-1
125,6,-1
126,36,-1
127,36,-1
128,36,-1
129,29,-1
130,6,-1
131,6,-1
132,6,-1
133,6,-1
134,6,-1
135,6,-1
136,6,-1
137,6,-1
138,6,-1
139,6,-1
140,6,-1
141,34,-1
142,38,-1
143,6,-1
144,6,-1
145,6,-1
146,6,-1
147,6,-1
148,6,-1
149,6,-1
150,6,-1
151,6,-1
152,39,-1
153,6,-1
154,6,-1
155,38,-1
156,38,-1
157,6,-1
158,34,-1
159,6,-1
160,40,-1
161,40,-1
162,6,-1
163,6,-1
164,6,-1
165,6,-1
166,6,-1
167,6,-1
168,6,-1
169,6,-1
170,6,-1
171,6,-1
172,6,-1
173,6,-1
174,6,-1
175,6,-1
176,6,-1
177,43,-1
178,6,-1
179,6,-1
180,6,-1
181,44,-1
182,44,-1
183,45,-1
184,45,-1
185,45,-1
186,45,-1
187,6,-1
188,31,-1
189,6,-1
190,6,-1
191,6,-1
192,46,-1
193,6,-1
194,6,-1
195,6,-1
196,6,-1
197,6,-1
198,6,-1
199,6,-1
200,6,-1
201,6,-1
202,6,-1
203,6,-1
204,6,-1
205,6,-1
206,6,-1
207,6,-1
208,6,-1
209,6,-1
210,6,-1
211,6,-1
212,6,-1
213,6,-1
214,6,-1
215,6,-1
216,6,-1
217,6,-1
218,6,-1
219,6,-1
220,6,-1
221,6,-1
222,6,-1
223,6,-1
224,6,-1
225,6,-1
226,6,-1
227,6,-1
228,6,-1
229,6,-1
230,6,-1
231,6,-1
232,6,-1
233,6,-1
234,6,-1
235,6,-1
236,6,-1
237,6,-1
238,6,-1
239,6,-1
240,6,-1
241,6,-1
242,6,-1
243,6,-1
244,6,-1
245,6,-1
246,6,-1
247,6,-1
248,6,-1
249,6,-1
250,6,-1
251,6,-1
252,6,-1
253,6,-1
254,6,-1
255,6,-1
256,6,-1
257,6,-1
258,47,-1
259,48,-1
260,6,-1
261,6,-1
262,6,-1
263,6,-1
264,6,-1
265,6,-1
266,6,-1
267,6,-1
268,47,-1
269,6,-1
270,6,-1
271,6,-1
272,6,-1
273,6,-1
274,6,-1
275,50,-1
276,50,-1
277,6,-1
278,6,-1
279,6,-1
280,6,-1
281,6,-1
282,6,-1
283,6,-1
284,6,-1
285,51,-1
286,6,-1
287,6,-1
288,52,-1
289,6,-1
290,6,-1
291,6,-1
292,53,-1
293,6,-1
294,6,-1
295,6,-1
296,6,-1
297,6,-1
298,51,-1
299,55,-1
300,52,-1
301,56,-1
302,56,-1
303,6,-1
304,6,-1
305,57,-1
306,58,-1
307,59,-1
308,59,-1
309,60,-1
310,58,-1
311,59,-1
312,59,-1
313,60,-1
314,61,-1
315,61,-1
316,62,-1
317,63,-1
318,64,-1
319,64,-1
320,64,-1
321,64,-1
322,64,-1
323,64,-1
324,65,-1
325,64,-1
326,64,-1
327,64,-1
328,63,-1
329,64,-1
330,64,-1
331,64,-1
332,64,-1
333,64,-1
334,64,-1
335,64,-1
336,64,-1
337,64,-1
338,65,-1
339,64,-1
340,64,-1
341,64,-1
342,64,-1
343,64,-1
344,64,-1
345,64,-1
346,64,-1
347,64,-1
348,64,-1
349,64,-1
350,64,-1
351,64,-1
352,64,-1
353,64,-1
354,64,-1
355,64,-1
