# point_id,primitive_gid,primitive_dir_gid
0,9,-1
1,9,-1
2,9,-1
3,9,-1
4,9,-1
5,9,-1
6,9,-1
7,9,-1
8,9,-1
9,9,-1
10,9,-1
11,9,-1
12,9,-1
13,9,-1
14,9,-1
15,9,-1
16,9,-1
17,9,-1
18,9,-1
19,9,-1
20,9,-1
21,9,-1
22,9,-1
23,9,-1
24,9,-1
25,9,-1
26,9,-1
27,9,-1
28,9,-1
29,9,-1
30,9,-1
31,9,-1
32,9,-1
33,9,-1
34,9,-1
35,9,-1
36,9,-1
37,9,-1
38,9,-1
39,9,-1
40,9,-1
41,9,-1
42,9,-1
43,9,-1
44,9,-1
45,9,-1
46,9,-1
47,9,-1
48,9,-1
49,9,-1
50,9,-1
51,9,-1
52,9,-1
53,9,-1
54,9,-1
55,9,-1
56,9,-1
57,9,-1
58,9,-1
59,9,-1
60,9,-1
61,9,-1
62,9,-1
63,9,-1
64,9,-1
65,9,-1
66,9,-1
67,9,-1
68,9,-1
69,9,-1
70,9,-1
71,9,-1
72,9,-1
73,9,-1
74,9,-1
75,9,-1
76,9,-1
77,9,-1
78,9,-1
79,9,-1
80,9,-1
81,9,-1
82,9,-1
83,9,-1
84,9,-1
85,9,-1
86,9,-1
87,9,-1
88,9,-1
89,9,-1
90,9,-1
91,9,-1
92,9,-1
93,9,-1
94,9,-1
95,9,-1
96,9,-1
97,9,-1
98,9,-1
99,9,-1
100,9,-1
101,9,-1
102,9,-1
103,9,-1
104,9,-1
105,9,-1
106,9,-1
107,9,-1
108,9,-1
109,9,-1
110,9,-1
111,9,-1
112,9,-1
113,9,-1
114,9,-1
115,9,-1
116,9,-1
117,9,-1
118,9,-1
119,9,-1
120,9,-1
121,9,-1
122,9,-1
123,9,-1
124,9,-1
125,9,-1
126,9,-1
127,9,-1
128,9,-1
129,9,-1
130,9,-1
131,9,-1
132,9,-1
133,3,-1
134,3,-1
135,3,-1
136,3,-1
137,3,-1
138,3,-1
139,3,-1
140,3,-1
141,3,-1
142,3,-1
143,3,-1
144,3,-1
145,3,-1
146,3,-1
147,3,-1
148,3,-1
149,3,-1
150,3,-1
151,3,-1
152,3,-1
153,3,-1
154,3,-1
155,3,-1
156,3,-1
157,3,-1
158,3,-1
159,3,-1
160,3,-1
161,3,-1
162,3,-1
163,3,-1
164,3,-1
165,3,-1
166,3,-1
167,3,-1
168,3,-1
169,3,-1
170,3,-1
171,3,-1
172,3,-1
173,3,-1
174,3,-1
175,3,-1
176,3,-1
177,3,-1
178,3,-1
179,3,-1
180,3,-1
181,3,-1
182,3,-1
183,3,-1
184,3,-1
185,3,-1
186,4,-1
187,4,-1
188,4,-1
189,4,-1
190,4,-1
191,4,-1
192,4,-1
193,4,-1
194,4,-1
195,4,-1
196,4,-1
197,4,-1
198,4,-1
199,4,-1
200,4,-1
201,4,-1
202,4,-1
203,4,-1
204,4,-1
205,4,-1
206,4,-1
207,4,-1
208,4,-1
209,4,-1
210,4,-1
211,4,-1
212,4,-1
213,4,-1
214,9,-1
215,4,-1
216,4,-1
217,9,-1
218,9,-1
219,9,-1
220,9,-1
221,4,-1
222,4,-1
223,9,-1
224,4,-1
225,4,-1
226,9,-1
227,4,-1
228,4,-1
229,9,-1
230,4,-1
231,4,-1
232,9,-1
233,4,-1
234,4,-1
235,9,-1
236,4,-1
237,4,-1
238,9,-1
239,4,-1
240,4,-1
241,9,-1
242,4,-1
243,4,-1
244,9,-1
245,4,-1
246,4,-1
247,9,-1
248,4,-1
249,4,-1
250,9,-1
251,4,-1
252,4,-1
253,9,-1
254,4,-1
255,4,-1
256,9,-1
257,4,-1
258,4,-1
259,9,-1
260,4,-1
261,4,-1
262,9,-1
263,4,-1
264,4,-1
265,9,-1
266,4,-1
267,4,-1
268,1,-1
269,4,-1
270,4,-1
271,1,-1
272,4,-1
273,4,-1
274,1,-1
275,4,-1
276,4,-1
277,1,-1
278,4,-1
279,4,-1
280,1,-1
281,4,-1
282,4,-1
283,1,-1
284,4,-1
285,4,-1
286,1,-1
287,4,-1
288,4,-1
289,1,-1
290,4,-1
291,4,-1
292,1,-1
293,4,-1
294,4,-1
295,1,-1
296,4,-1
297,4,-1
298,1,-1
299,4,-1
300,-1,-1
301,1,-1
302,4,-1
303,1,-1
304,1,-1
305,4,-1
306,1,-1
307,1,-1
308,4,-1
309,1,-1
310,1,-1
311,4,-1
312,1,-1
313,1,-1
314,4,-1
315,1,-1
316,1,-1
317,4,-1
318,1,-1
319,1,-1
320,4,-1
321,1,-1
322,1,-1
323,4,-1
324,1,-1
325,1,-1
326,4,-1
327,1,-1
328,1,-1
329,4,-1
330,1,-1
331,1,-1
332,4,-1
333,1,-1
334,1,-1
335,4,-1
336,1,-1
337,1,-1
338,4,-1
339,1,-1
340,1,-1
341,4,-1
342,1,-1
343,1,-1
344,1,-1
345,1,-1
346,1,-1
347,1,-1
348,1,-1
349,1,-1
350,1,-1
351,1,-1
352,1,-1
353,1,-1
354,1,-1
355,1,-1
356,1,-1
357,1,-1
358,1,-1
359,1,-1
360,1,-1
361,1,-1
362,1,-1
363,1,-1
364,1,-1
365,1,-1
366,1,-1
367,1,-1
368,1,-1
369,1,-1
370,1,-1
371,1,-1
372,1,-1
373,5,-1
374,1,-1
375,1,-1
376,5,-1
377,1,-1
378,1,-1
379,5,-1
380,1,-1
381,1,-1
382,5,-1
383,1,-1
384,1,-1
385,5,-1
386,1,-1
387,1,-1
388,5,-1
389,1,-1
390,1,-1
391,5,-1
392,1,-1
393,1,-1
394,5,-1
395,1,-1
396,1,-1
397,5,-1
398,1,-1
399,1,-1
400,5,-1
401,1,-1
402,1,-1
403,5,-1
404,1,-1
405,1,-1
406,5,-1
407,1,-1
408,1,-1
409,5,-1
410,1,-1
411,1,-1
412,5,-1
413,1,-1
414,1,-1
415,5,-1
416,1,-1
417,1,-1
418,5,-1
419,1,-1
420,1,-1
421,5,-1
422,1,-1
423,1,-1
424,5,-1
425,1,-1
426,1,-1
427,5,-1
428,1,-1
429,1,-1
430,5,-1
431,1,-1
432,1,-1
433,5,-1
434,1,-1
435,1,-1
436,5,-1
437,1,-1
438,1,-1
439,5,-1
440,1,-1
441,1,-1
442,5,-1
443,1,-1
444,1,-1
445,5,-1
446,1,-1
447,1,-1
448,5,-1
449,1,-1
450,1,-1
451,5,-1
452,1,-1
453,1,-1
454,5,-1
455,1,-1
456,1,-1
457,5,-1
458,1,-1
459,1,-1
460,5,-1
461,1,-1
462,1,-1
463,5,-1
464,1,-1
465,16,-1
466,5,-1
467,1,-1
468,16,-1
469,5,-1
470,1,-1
471,16,-1
472,5,-1
473,1,-1
474,16,-1
475,5,-1
476,1,-1
477,16,-1
478,5,-1
479,1,-1
480,16,-1
481,5,-1
482,1,-1
483,16,-1
484,5,-1
485,1,-1
486,16,-1
487,5,-1
488,1,-1
489,16,-1
490,5,-1
491,1,-1
492,16,-1
493,5,-1
494,1,-1
495,16,-1
496,5,-1
497,1,-1
498,1,-1
499,1,-1
500,1,-1
501,1,-1
502,1,-1
503,1,-1
504,1,-1
505,1,-1
506,1,-1
507,1,-1
508,1,-1
509,1,-1
510,1,-1
511,1,-1
512,1,-1
513,1,-1
514,1,-1
515,1,-1
516,1,-1
517,1,-1
518,1,-1
519,1,-1
520,1,-1
521,1,-1
522,1,-1
523,1,-1
524,1,-1
525,1,-1
526,1,-1
527,1,-1
528,1,-1
529,1,-1
530,1,-1
531,1,-1
532,1,-1
533,1,-1
534,1,-1
535,1,-1
536,1,-1
537,1,-1
538,1,-1
539,1,-1
540,1,-1
541,1,-1
542,1,-1
543,1,-1
544,1,-1
545,1,-1
546,1,-1
547,1,-1
548,1,-1
549,1,-1
550,1,-1
551,1,-1
552,1,-1
553,1,-1
554,1,-1
555,1,-1
556,1,-1
557,1,-1
558,1,-1
559,1,-1
560,4,-1
561,4,-1
562,4,-1
563,4,-1
564,4,-1
565,4,-1
566,4,-1
567,4,-1
568,4,-1
569,4,-1
570,4,-1
571,4,-1
572,4,-1
573,4,-1
574,4,-1
575,4,-1
576,4,-1
577,4,-1
578,4,-1
579,4,-1
580,4,-1
581,4,-1
582,4,-1
583,4,-1
584,4,-1
585,4,-1
586,4,-1
587,4,-1
588,4,-1
589,4,-1
590,4,-1
591,4,-1
592,4,-1
593,4,-1
594,4,-1
595,4,-1
596,4,-1
597,4,-1
598,4,-1
599,4,-1
600,4,-1
601,4,-1
602,4,-1
603,4,-1
604,4,-1
605,4,-1
606,4,-1
607,4,-1
608,4,-1
609,4,-1
610,4,-1
611,4,-1
612,4,-1
613,4,-1
614,4,-1
615,4,-1
616,4,-1
617,4,-1
618,4,-1
619,4,-1
620,4,-1
621,4,-1
622,4,-1
623,4,-1
624,4,-1
625,4,-1
626,4,-1
627,4,-1
628,4,-1
629,4,-1
630,4,-1
631,4,-1
632,4,-1
633,4,-1
634,4,-1
635,4,-1
636,4,-1
637,4,-1
638,4,-1
639,4,-1
640,4,-1
641,4,-1
642,4,-1
643,4,-1
644,4,-1
645,4,-1
646,4,-1
647,4,-1
648,4,-1
649,4,-1
650,4,-1
651,4,-1
652,4,-1
653,4,-1
654,4,-1
655,4,-1
656,4,-1
657,4,-1
658,4,-1
659,4,-1
660,8,-1
661,4,-1
662,8,-1
663,4,-1
664,8,-1
665,4,-1
666,8,-1
667,4,-1
668,8,-1
669,4,-1
670,8,-1
671,4,-1
672,8,-1
673,4,-1
674,8,-1
675,4,-1
676,8,-1
677,4,-1
678,8,-1
679,4,-1
680,8,-1
681,4,-1
682,8,-1
683,4,-1
684,8,-1
685,4,-1
686,8,-1
687,4,-1
688,8,-1
689,4,-1
690,8,-1
691,4,-1
692,8,-1
693,4,-1
694,8,-1
695,4,-1
696,8,-1
697,4,-1
698,8,-1
699,4,-1
700,8,-1
701,4,-1
702,8,-1
703,4,-1
704,8,-1
705,4,-1
706,8,-1
707,4,-1
708,8,-1
709,4,-1
710,8,-1
711,4,-1
712,8,-1
713,4,-1
714,8,-1
715,4,-1
716,8,-1
717,4,-1
718,8,-1
719,4,-1
720,8,-1
721,4,-1
722,8,-1
723,4,-1
724,8,-1
725,4,-1
726,8,-1
727,4,-1
728,8,-1
729,4,-1
730,8,-1
731,4,-1
732,8,-1
733,4,-1
734,8,-1
735,4,-1
736,8,-1
737,4,-1
738,8,-1
739,4,-1
740,8,-1
741,4,-1
742,8,-1
743,4,-1
744,8,-1
745,4,-1
746,8,-1
747,4,-1
748,8,-1
749,4,-1
750,8,-1
751,4,-1
752,8,-1
753,4,-1
754,8,-1
755,4,-1
756,8,-1
757,4,-1
758,8,-1
759,4,-1
760,8,-1
761,4,-1
762,8,-1
