# point_id,primitive_gid,primitive_dir_gid
0,9,-1
1,9,-1
2,9,-1
3,9,-1
4,9,-1
5,126,-1
6,126,-1
7,126,-1
8,9,-1
9,9,-1
10,9,-1
11,9,-1
12,9,-1
13,9,-1
14,9,-1
15,9,-1
16,91,-1
17,9,-1
18,27,-1
19,9,-1
20,27,-1
21,27,-1
22,27,-1
23,27,-1
24,9,-1
25,27,-1
26,27,-1
27,27,-1
28,146,-1
29,27,-1
30,27,-1
31,27,-1
32,26,-1
33,26,-1
34,27,-1
35,136,-1
36,136,-1
37,27,-1
38,27,-1
39,201,-1
40,42,-1
41,201,-1
42,42,-1
43,201,-1
44,33,-1
45,42,-1
46,42,-1
47,29,-1
48,42,-1
49,42,-1
50,42,-1
51,42,-1
52,33,-1
53,42,-1
54,29,-1
55,42,-1
56,42,-1
57,29,-1
58,29,-1
59,29,-1
60,42,-1
61,43,-1
62,43,-1
63,29,-1
64,17,-1
65,29,-1
66,17,-1
67,29,-1
68,43,-1
69,29,-1
70,29,-1
71,101,-1
72,166,-1
73,29,-1
74,113,-1
75,29,-1
76,29,-1
77,53,-1
78,53,-1
79,115,-1
80,113,-1
81,113,-1
82,29,-1
83,29,-1
84,29,-1
85,29,-1
86,29,-1
87,29,-1
88,29,-1
89,29,-1
90,29,-1
91,29,-1
92,29,-1
93,29,-1
94,29,-1
95,72,-1
96,96,-1
97,29,-1
98,29,-1
99,119,-1
100,96,-1
101,96,-1
102,96,-1
103,29,-1
104,156,-1
105,29,-1
106,14,-1
107,29,-1
108,29,-1
109,14,-1
110,14,-1
111,14,-1
112,14,-1
113,5,-1
114,14,-1
115,14,-1
116,14,-1
117,14,-1
118,14,-1
119,14,-1
120,5,-1
121,5,-1
122,5,-1
123,5,-1
124,5,-1
125,5,-1
126,34,-1
127,14,-1
128,5,-1
129,34,-1
130,34,-1
131,34,-1
132,34,-1
133,5,-1
134,70,-1
135,34,-1
136,153,-1
137,153,-1
138,5,-1
139,5,-1
140,5,-1
141,23,-1
142,167,-1
143,34,-1
144,171,-1
145,5,-1
146,23,-1
147,5,-1
148,23,-1
149,152,-1
150,5,-1
151,5,-1
152,5,-1
153,5,-1
154,5,-1
155,5,-1
156,152,-1
157,210,-1
158,5,-1
159,5,-1
160,5,-1
161,5,-1
162,194,-1
163,5,-1
164,5,-1
165,5,-1
166,190,-1
167,5,-1
168,5,-1
169,211,-1
170,120,-1
171,5,-1
172,135,-1
173,77,-1
174,5,-1
175,5,-1
176,77,-1
177,147,-1
178,135,-1
179,135,-1
180,5,-1
181,183,-1
182,175,-1
183,147,-1
184,147,-1
185,104,-1
186,5,-1
187,47,-1
188,209,-1
189,47,-1
190,5,-1
191,5,-1
192,5,-1
193,217,-1
194,5,-1
195,5,-1
196,5,-1
197,5,-1
198,5,-1
199,5,-1
200,131,-1
201,5,-1
202,20,-1
203,5,-1
204,106,-1
205,106,-1
206,5,-1
207,145,-1
208,62,-1
209,218,-1
210,51,-1
211,106,-1
212,191,-1
213,139,-1
214,106,-1
215,206,-1
216,179,-1
217,208,-1
218,118,-1
219,155,-1
220,35,-1
221,118,-1
222,155,-1
223,125,-1
224,35,-1
225,123,-1
226,111,-1
227,125,-1
228,35,-1
229,35,-1
230,130,-1
231,130,-1
232,130,-1
233,35,-1
234,35,-1
235,129,-1
236,81,-1
237,199,-1
238,35,-1
239,73,-1
240,134,-1
241,73,-1
242,73,-1
243,81,-1
244,196,-1
245,105,-1
246,30,-1
247,73,-1
248,81,-1
249,92,-1
250,73,-1
251,105,-1
252,92,-1
253,30,-1
254,30,-1
255,30,-1
256,30,-1
257,160,-1
258,100,-1
259,30,-1
260,162,-1
261,18,-1
262,18,-1
263,100,-1
264,18,-1
265,30,-1
266,50,-1
267,61,-1
268,100,-1
269,55,-1
270,18,-1
271,100,-1
272,61,-1
273,61,-1
274,102,-1
275,102,-1
276,55,-1
277,18,-1
278,18,-1
279,65,-1
280,16,-1
281,18,-1
282,85,-1
283,80,-1
284,80,-1
285,80,-1
286,80,-1
287,67,-1
288,67,-1
289,67,-1
290,67,-1
291,67,-1
292,174,-1
293,67,-1
294,67,-1
295,67,-1
296,22,-1
297,67,-1
298,67,-1
299,67,-1
300,87,-1
301,163,-1
302,87,-1
303,67,-1
304,67,-1
305,22,-1
306,87,-1
307,204,-1
308,89,-1
309,176,-1
310,89,-1
311,22,-1
312,89,-1
313,22,-1
314,22,-1
315,22,-1
316,22,-1
317,22,-1
318,22,-1
319,39,-1
320,203,-1
321,22,-1
322,39,-1
323,39,-1
324,39,-1
325,22,-1
326,22,-1
327,22,-1
328,22,-1
329,128,-1
330,22,-1
331,39,-1
332,22,-1
333,22,-1
334,22,-1
335,22,-1
336,22,-1
337,22,-1
338,94,-1
339,39,-1
340,4,-1
341,94,-1
342,94,-1
343,94,-1
344,94,-1
345,94,-1
346,59,-1
347,4,-1
348,4,-1
349,4,-1
350,94,-1
351,4,-1
352,13,-1
353,4,-1
354,4,-1
355,4,-1
356,13,-1
357,4,-1
358,140,-1
359,4,-1
360,13,-1
361,7,-1
362,13,-1
363,13,-1
364,4,-1
365,4,-1
366,4,-1
367,4,-1
368,4,-1
369,13,-1
370,4,-1
371,13,-1
372,4,-1
373,4,-1
374,4,-1
375,141,-1
376,4,-1
377,4,-1
378,4,-1
379,4,-1
380,4,-1
381,4,-1
382,4,-1
383,141,-1
384,4,-1
385,185,-1
386,4,-1
387,4,-1
388,4,-1
389,4,-1
390,109,-1
391,4,-1
392,4,-1
393,4,-1
394,4,-1
395,4,-1
396,4,-1
397,4,-1
398,114,-1
399,159,-1
400,4,-1
401,4,-1
402,4,-1
403,4,-1
404,4,-1
405,4,-1
406,4,-1
407,4,-1
408,24,-1
409,4,-1
410,4,-1
411,4,-1
412,4,-1
413,4,-1
414,4,-1
415,4,-1
416,4,-1
417,202,-1
418,4,-1
419,4,-1
420,4,-1
421,4,-1
422,4,-1
423,4,-1
424,4,-1
425,4,-1
426,4,-1
427,4,-1
428,4,-1
429,4,-1
430,4,-1
431,4,-1
432,4,-1
433,4,-1
434,4,-1
435,78,-1
436,78,-1
437,4,-1
438,78,-1
439,150,-1
440,150,-1
441,4,-1
442,150,-1
443,4,-1
444,138,-1
445,4,-1
446,4,-1
447,4,-1
448,4,-1
449,4,-1
450,49,-1
451,49,-1
452,49,-1
453,49,-1
454,49,-1
455,49,-1
456,49,-1
457,49,-1
458,4,-1
459,49,-1
460,4,-1
461,4,-1
462,4,-1
463,4,-1
464,4,-1
465,4,-1
466,4,-1
467,4,-1
468,4,-1
469,4,-1
470,4,-1
471,4,-1
472,4,-1
473,4,-1
474,4,-1
475,4,-1
476,4,-1
477,4,-1
478,25,-1
479,4,-1
480,4,-1
481,25,-1
482,4,-1
483,4,-1
484,4,-1
485,4,-1
486,25,-1
487,40,-1
488,40,-1
489,40,-1
490,40,-1
491,40,-1
492,40,-1
493,4,-1
494,4,-1
495,40,-1
496,4,-1
497,4,-1
498,44,-1
499,4,-1
500,4,-1
501,4,-1
502,44,-1
503,44,-1
504,44,-1
505,44,-1
506,44,-1
507,4,-1
508,4,-1
509,4,-1
510,4,-1
511,4,-1
512,4,-1
513,4,-1
514,4,-1
515,4,-1
516,4,-1
517,4,-1
518,88,-1
519,4,-1
520,4,-1
521,88,-1
522,88,-1
523,4,-1
524,4,-1
525,64,-1
526,207,-1
527,4,-1
528,4,-1
529,4,-1
530,4,-1
531,4,-1
532,4,-1
533,4,-1
534,4,-1
535,4,-1
536,4,-1
537,186,-1
538,144,-1
539,197,-1
540,200,-1
541,4,-1
542,4,-1
543,4,-1
544,4,-1
545,4,-1
546,4,-1
547,4,-1
548,4,-1
549,117,-1
550,4,-1
551,4,-1
552,4,-1
553,4,-1
554,4,-1
555,4,-1
556,4,-1
557,4,-1
558,4,-1
559,117,-1
560,4,-1
561,4,-1
562,117,-1
563,117,-1
564,4,-1
565,117,-1
566,117,-1
567,117,-1
568,4,-1
569,117,-1
570,132,-1
571,117,-1
572,4,-1
573,214,-1
574,4,-1
575,4,-1
576,4,-1
577,4,-1
578,4,-1
579,168,-1
580,90,-1
581,4,-1
582,4,-1
583,4,-1
584,4,-1
585,216,-1
586,4,-1
587,4,-1
588,4,-1
589,4,-1
590,169,-1
591,158,-1
592,4,-1
593,4,-1
594,4,-1
595,4,-1
596,4,-1
597,4,-1
598,4,-1
599,4,-1
600,4,-1
601,4,-1
602,4,-1
603,4,-1
604,4,-1
605,4,-1
606,4,-1
607,4,-1
608,4,-1
609,4,-1
610,4,-1
611,4,-1
612,4,-1
613,4,-1
614,4,-1
615,4,-1
616,4,-1
617,4,-1
618,4,-1
619,38,-1
620,154,-1
621,4,-1
622,4,-1
623,124,-1
624,38,-1
625,124,-1
626,124,-1
627,124,-1
628,1,-1
629,1,-1
630,1,-1
631,1,-1
632,1,-1
633,1,-1
634,1,-1
635,1,-1
636,1,-1
637,1,-1
638,1,-1
639,1,-1
640,1,-1
641,1,-1
642,1,-1
643,1,-1
644,1,-1
645,1,-1
646,1,-1
647,1,-1
648,1,-1
649,1,-1
650,1,-1
651,1,-1
652,1,-1
653,1,-1
654,1,-1
655,1,-1
656,1,-1
657,1,-1
658,1,-1
659,1,-1
660,1,-1
661,1,-1
662,1,-1
663,1,-1
664,1,-1
665,1,-1
666,1,-1
667,1,-1
668,1,-1
669,1,-1
670,1,-1
671,1,-1
672,1,-1
673,1,-1
674,1,-1
675,1,-1
676,1,-1
677,1,-1
678,1,-1
679,1,-1
680,1,-1
681,1,-1
682,1,-1
683,1,-1
684,1,-1
685,1,-1
686,1,-1
687,1,-1
688,1,-1
689,1,-1
690,1,-1
691,1,-1
692,1,-1
693,1,-1
694,1,-1
695,1,-1
696,1,-1
697,1,-1
698,1,-1
699,1,-1
700,1,-1
701,1,-1
702,1,-1
703,1,-1
704,1,-1
705,1,-1
706,1,-1
707,1,-1
708,1,-1
709,1,-1
710,1,-1
711,1,-1
712,1,-1
713,1,-1
714,1,-1
715,1,-1
716,1,-1
717,1,-1
718,1,-1
719,1,-1
720,1,-1
721,1,-1
722,1,-1
723,1,-1
724,1,-1
725,1,-1
726,1,-1
727,1,-1
728,1,-1
729,1,-1
730,1,-1
731,1,-1
732,1,-1
733,1,-1
734,1,-1
735,1,-1
736,1,-1
737,1,-1
738,1,-1
739,1,-1
740,1,-1
741,1,-1
742,1,-1
743,1,-1
744,1,-1
745,1,-1
746,1,-1
747,1,-1
748,1,-1
749,1,-1
750,1,-1
751,1,-1
752,1,-1
753,1,-1
754,1,-1
755,1,-1
756,1,-1
757,1,-1
758,1,-1
759,1,-1
760,1,-1
761,1,-1
762,1,-1
