# point_id,primitive_gid,primitive_dir_gid
0,779,-1
1,754,-1
2,820,-1
3,364,-1
4,383,-1
5,383,-1
6,383,-1
7,383,-1
8,401,-1
9,674,-1
10,490,-1
11,628,-1
12,530,-1
13,543,-1
14,366,-1
15,366,-1
16,234,-1
17,676,-1
18,217,-1
19,838,-1
20,217,-1
21,217,-1
22,774,-1
23,495,-1
24,841,-1
25,48,-1
26,48,-1
27,48,-1
28,478,-1
29,48,-1
30,552,-1
31,48,-1
32,46,-1
33,46,-1
34,617,-1
35,703,-1
36,424,-1
37,329,-1
38,576,-1
39,842,-1
40,216,-1
41,854,-1
42,778,-1
43,753,-1
44,56,-1
45,134,-1
46,548,-1
47,782,-1
48,72,-1
49,639,-1
50,72,-1
51,177,-1
52,855,-1
53,723,-1
54,517,-1
55,171,-1
56,171,-1
57,697,-1
58,158,-1
59,811,-1
60,125,-1
61,73,-1
62,73,-1
63,777,-1
64,266,-1
65,757,-1
66,29,-1
67,76,-1
68,787,-1
69,715,-1
70,122,-1
71,287,-1
72,122,-1
73,672,-1
74,627,-1
75,337,-1
76,142,-1
77,542,-1
78,101,-1
79,332,-1
80,646,-1
81,317,-1
82,49,-1
83,138,-1
84,138,-1
85,417,-1
86,417,-1
87,417,-1
88,417,-1
89,524,-1
90,859,-1
91,161,-1
92,161,-1
93,347,-1
94,347,-1
95,165,-1
96,257,-1
97,421,-1
98,421,-1
99,357,-1
100,353,-1
101,353,-1
102,487,-1
103,140,-1
104,510,-1
105,694,-1
106,31,-1
107,178,-1
108,577,-1
109,425,-1
110,606,-1
111,762,-1
112,396,-1
113,529,-1
114,24,-1
115,326,-1
116,326,-1
117,805,-1
118,862,-1
119,311,-1
120,391,-1
121,115,-1
122,391,-1
123,866,-1
124,338,-1
125,338,-1
126,633,-1
127,843,-1
128,545,-1
129,572,-1
130,330,-1
131,57,-1
132,844,-1
133,582,-1
134,162,-1
135,102,-1
136,498,-1
137,770,-1
138,537,-1
139,198,-1
140,445,-1
141,43,-1
142,573,-1
143,342,-1
144,588,-1
145,439,-1
146,279,-1
147,520,-1
148,682,-1
149,488,-1
150,500,-1
151,189,-1
152,189,-1
153,189,-1
154,416,-1
155,189,-1
156,539,-1
157,818,-1
158,320,-1
159,99,-1
160,139,-1
161,99,-1
162,693,-1
163,5,-1
164,5,-1
165,817,-1
166,677,-1
167,300,-1
168,766,-1
169,819,-1
170,358,-1
171,231,-1
172,423,-1
173,190,-1
174,426,-1
175,509,-1
176,593,-1
177,664,-1
178,728,-1
179,728,-1
180,681,-1
181,640,-1
182,609,-1
183,528,-1
184,479,-1
185,293,-1
186,293,-1
187,86,-1
188,809,-1
189,184,-1
190,75,-1
191,75,-1
192,861,-1
193,860,-1
194,823,-1
195,566,-1
196,397,-1
197,374,-1
198,689,-1
199,701,-1
200,400,-1
201,27,-1
202,37,-1
203,207,-1
204,296,-1
205,296,-1
206,847,-1
207,469,-1
208,121,-1
209,863,-1
210,98,-1
211,516,-1
212,679,-1
213,440,-1
214,662,-1
215,788,-1
216,630,-1
217,799,-1
218,349,-1
219,503,-1
220,471,-1
221,868,-1
222,856,-1
223,829,-1
224,298,-1
225,369,-1
226,309,-1
227,382,-1
228,740,-1
229,813,-1
230,457,-1
231,399,-1
232,619,-1
233,444,-1
234,691,-1
235,390,-1
236,867,-1
237,725,-1
238,60,-1
239,169,-1
240,409,-1
241,670,-1
242,286,-1
243,428,-1
244,712,-1
245,461,-1
246,629,-1
247,767,-1
248,204,-1
249,707,-1
250,791,-1
251,294,-1
252,239,-1
253,321,-1
254,52,-1
255,52,-1
256,52,-1
257,522,-1
258,716,-1
259,477,-1
260,536,-1
261,305,-1
262,305,-1
263,810,-1
264,783,-1
265,316,-1
266,96,-1
267,475,-1
268,526,-1
269,722,-1
270,32,-1
271,283,-1
272,118,-1
273,742,-1
274,288,-1
275,288,-1
276,105,-1
277,406,-1
278,764,-1
279,130,-1
280,28,-1
281,459,-1
282,215,-1
283,519,-1
284,340,-1
285,203,-1
286,462,-1
287,462,-1
288,656,-1
289,514,-1
290,815,-1
291,145,-1
292,608,-1
293,733,-1
294,261,-1
295,367,-1
296,816,-1
297,367,-1
298,661,-1
299,195,-1
300,222,-1
301,557,-1
302,741,-1
303,197,-1
304,801,-1
305,282,-1
306,303,-1
307,303,-1
308,336,-1
309,611,-1
310,229,-1
311,750,-1
312,792,-1
313,632,-1
314,632,-1
315,632,-1
316,304,-1
317,174,-1
318,41,-1
319,351,-1
320,772,-1
321,830,-1
322,724,-1
323,621,-1
324,621,-1
325,269,-1
326,269,-1
327,555,-1
328,290,-1
329,388,-1
330,290,-1
331,290,-1
332,474,-1
333,631,-1
334,655,-1
335,655,-1
336,248,-1
337,442,-1
338,666,-1
339,68,-1
340,493,-1
341,464,-1
342,507,-1
343,249,-1
344,292,-1
345,292,-1
346,113,-1
347,796,-1
348,180,-1
349,180,-1
350,492,-1
351,180,-1
352,19,-1
353,642,-1
354,579,-1
355,455,-1
356,103,-1
357,550,-1
358,452,-1
359,550,-1
360,376,-1
361,7,-1
362,418,-1
363,418,-1
364,814,-1
365,472,-1
366,472,-1
367,327,-1
368,521,-1
369,209,-1
370,166,-1
371,481,-1
372,481,-1
373,476,-1
374,800,-1
375,463,-1
376,763,-1
377,700,-1
378,652,-1
379,636,-1
380,826,-1
381,111,-1
382,111,-1
383,111,-1
384,111,-1
385,651,-1
386,486,-1
387,42,-1
388,42,-1
389,36,-1
390,307,-1
391,36,-1
392,562,-1
393,36,-1
394,36,-1
395,846,-1
396,846,-1
397,821,-1
398,328,-1
399,518,-1
400,352,-1
401,352,-1
402,549,-1
403,133,-1
404,133,-1
405,44,-1
406,44,-1
407,44,-1
408,44,-1
409,44,-1
410,44,-1
411,44,-1
412,106,-1
413,732,-1
414,106,-1
415,106,-1
416,313,-1
417,765,-1
418,14,-1
419,14,-1
420,14,-1
421,267,-1
422,267,-1
423,267,-1
424,567,-1
425,570,-1
426,430,-1
427,483,-1
428,483,-1
429,483,-1
430,483,-1
431,483,-1
432,773,-1
433,50,-1
434,50,-1
435,50,-1
436,50,-1
437,402,-1
438,50,-1
439,402,-1
440,485,-1
441,719,-1
442,485,-1
443,437,-1
444,436,-1
445,432,-1
446,365,-1
447,432,-1
448,585,-1
449,343,-1
450,90,-1
451,150,-1
452,90,-1
453,199,-1
454,90,-1
455,199,-1
456,90,-1
457,90,-1
458,752,-1
459,613,-1
460,325,-1
461,812,-1
462,275,-1
463,119,-1
464,151,-1
465,711,-1
466,535,-1
467,535,-1
468,4,-1
469,4,-1
470,4,-1
471,4,-1
472,281,-1
473,281,-1
474,242,-1
475,356,-1
476,356,-1
477,148,-1
478,132,-1
479,480,-1
480,533,-1
481,839,-1
482,255,-1
483,264,-1
484,604,-1
485,69,-1
486,45,-1
487,69,-1
488,69,-1
489,69,-1
490,69,-1
491,840,-1
492,69,-1
493,91,-1
494,91,-1
495,230,-1
496,85,-1
497,85,-1
498,473,-1
499,756,-1
500,144,-1
501,144,-1
502,144,-1
503,497,-1
504,553,-1
505,74,-1
506,74,-1
507,157,-1
508,157,-1
509,157,-1
510,157,-1
511,152,-1
512,192,-1
513,192,-1
514,541,-1
515,789,-1
516,186,-1
517,853,-1
518,224,-1
519,273,-1
520,273,-1
521,273,-1
522,692,-1
523,568,-1
524,559,-1
525,129,-1
526,798,-1
527,398,-1
528,97,-1
529,97,-1
530,592,-1
531,97,-1
532,97,-1
533,97,-1
534,97,-1
535,260,-1
536,64,-1
537,654,-1
538,468,-1
539,714,-1
540,751,-1
541,51,-1
542,51,-1
543,21,-1
544,381,-1
545,381,-1
546,433,-1
547,381,-1
548,381,-1
549,362,-1
550,392,-1
551,16,-1
552,262,-1
553,16,-1
554,251,-1
555,62,-1
556,721,-1
557,721,-1
558,771,-1
559,727,-1
560,546,-1
561,80,-1
562,344,-1
563,344,-1
564,422,-1
565,422,-1
566,422,-1
567,532,-1
568,601,-1
569,532,-1
570,403,-1
571,348,-1
572,348,-1
573,845,-1
574,384,-1
575,384,-1
576,667,-1
577,384,-1
578,667,-1
579,578,-1
580,233,-1
581,523,-1
582,857,-1
583,523,-1
584,523,-1
585,858,-1
586,193,-1
587,589,-1
588,589,-1
589,848,-1
590,584,-1
591,513,-1
592,660,-1
593,141,-1
594,802,-1
595,802,-1
596,187,-1
597,698,-1
598,698,-1
599,827,-1
600,713,-1
601,504,-1
602,713,-1
603,236,-1
604,354,-1
605,236,-1
606,143,-1
607,379,-1
608,379,-1
609,206,-1
610,206,-1
611,206,-1
