# point_id,primitive_gid,primitive_dir_gid
0,5,-1
1,5,-1
2,5,-1
3,5,-1
4,5,-1
5,5,-1
6,5,-1
7,5,-1
8,5,-1
9,5,-1
10,5,-1
11,5,-1
12,5,-1
13,5,-1
14,5,-1
15,5,-1
16,33,-1
17,5,-1
18,5,-1
19,5,-1
20,5,-1
21,5,-1
22,16,-1
23,5,-1
24,5,-1
25,5,-1
26,16,-1
27,16,-1
28,12,-1
29,16,-1
30,5,-1
31,16,-1
32,5,-1
33,5,-1
34,5,-1
35,5,-1
36,5,-1
37,5,-1
38,5,-1
39,12,-1
40,16,-1
41,12,-1
42,5,-1
43,12,-1
44,5,-1
45,5,-1
46,16,-1
47,5,-1
48,16,-1
49,16,-1
50,16,-1
51,16,-1
52,5,-1
53,16,-1
54,5,-1
55,16,-1
56,16,-1
57,5,-1
58,5,-1
59,5,-1
60,16,-1
61,5,-1
62,5,-1
63,5,-1
64,12,-1
65,5,-1
66,12,-1
67,5,-1
68,5,-1
69,5,-1
70,5,-1
71,30,-1
72,5,-1
73,5,-1
74,16,-1
75,5,-1
76,5,-1
77,16,-1
78,16,-1
79,16,-1
80,16,-1
81,16,-1
82,5,-1
83,5,-1
84,5,-1
85,5,-1
86,5,-1
87,5,-1
88,5,-1
89,5,-1
90,5,-1
91,5,-1
92,5,-1
93,5,-1
94,5,-1
95,30,-1
96,16,-1
97,5,-1
98,5,-1
99,30,-1
100,16,-1
101,16,-1
102,16,-1
103,5,-1
104,30,-1
105,5,-1
106,13,-1
107,5,-1
108,5,-1
109,5,-1
110,5,-1
111,13,-1
112,13,-1
113,5,-1
114,5,-1
115,5,-1
116,5,-1
117,5,-1
118,13,-1
119,5,-1
120,5,-1
121,5,-1
122,5,-1
123,5,-1
124,5,-1
125,5,-1
126,5,-1
127,5,-1
128,5,-1
129,16,-1
130,16,-1
131,16,-1
132,16,-1
133,5,-1
134,5,-1
135,16,-1
136,30,-1
137,30,-1
138,5,-1
139,5,-1
140,5,-1
141,16,-1
142,5,-1
143,16,-1
144,30,-1
145,5,-1
146,16,-1
147,5,-1
148,16,-1
149,13,-1
150,5,-1
151,5,-1
152,5,-1
153,5,-1
154,5,-1
155,5,-1
156,13,-1
157,30,-1
158,5,-1
159,5,-1
160,5,-1
161,5,-1
162,30,-1
163,5,-1
164,5,-1
165,5,-1
166,50,-1
167,5,-1
168,5,-1
169,5,-1
170,13,-1
171,5,-1
172,5,-1
173,9,-1
174,5,-1
175,5,-1
176,9,-1
177,9,-1
178,22,-1
179,22,-1
180,5,-1
181,9,-1
182,9,-1
183,9,-1
184,9,-1
185,13,-1
186,5,-1
187,22,-1
188,30,-1
189,22,-1
190,5,-1
191,5,-1
192,5,-1
193,5,-1
194,5,-1
195,5,-1
196,5,-1
197,5,-1
198,5,-1
199,5,-1
200,22,-1
201,5,-1
202,9,-1
203,5,-1
204,4,-1
205,4,-1
206,5,-1
207,22,-1
208,13,-1
209,4,-1
210,5,-1
211,9,-1
212,5,-1
213,4,-1
214,9,-1
215,5,-1
216,22,-1
217,4,-1
218,5,-1
219,9,-1
220,4,-1
221,5,-1
222,9,-1
223,9,-1
224,4,-1
225,5,-1
226,9,-1
227,22,-1
228,4,-1
229,4,-1
230,9,-1
231,9,-1
232,4,-1
233,4,-1
234,4,-1
235,4,-1
236,9,-1
237,4,-1
238,4,-1
239,9,-1
240,27,-1
241,9,-1
242,4,-1
243,9,-1
244,27,-1
245,4,-1
246,9,-1
247,4,-1
248,9,-1
249,9,-1
250,4,-1
251,4,-1
252,11,-1
253,9,-1
254,9,-1
255,9,-1
256,9,-1
257,27,-1
258,9,-1
259,9,-1
260,27,-1
261,4,-1
262,4,-1
263,9,-1
264,4,-1
265,9,-1
266,11,-1
267,11,-1
268,38,-1
269,9,-1
270,4,-1
271,38,-1
272,11,-1
273,11,-1
274,11,-1
275,11,-1
276,9,-1
277,4,-1
278,4,-1
279,27,-1
280,11,-1
281,4,-1
282,11,-1
283,9,-1
284,9,-1
285,9,-1
286,9,-1
287,4,-1
288,4,-1
289,4,-1
290,4,-1
291,4,-1
292,27,-1
293,4,-1
294,4,-1
295,4,-1
296,4,-1
297,4,-1
298,4,-1
299,4,-1
300,9,-1
301,27,-1
302,27,-1
303,4,-1
304,4,-1
305,4,-1
306,9,-1
307,9,-1
308,4,-1
309,11,-1
310,4,-1
311,4,-1
312,4,-1
313,4,-1
314,4,-1
315,4,-1
316,9,-1
317,4,-1
318,4,-1
319,9,-1
320,11,-1
321,9,-1
322,9,-1
323,9,-1
324,9,-1
325,4,-1
326,4,-1
327,9,-1
328,9,-1
329,9,-1
330,9,-1
331,9,-1
332,9,-1
333,9,-1
334,4,-1
335,4,-1
336,9,-1
337,4,-1
338,4,-1
339,9,-1
340,4,-1
341,4,-1
342,4,-1
343,35,-1
344,4,-1
345,4,-1
346,25,-1
347,4,-1
348,4,-1
349,4,-1
350,4,-1
351,4,-1
352,9,-1
353,4,-1
354,4,-1
355,4,-1
356,9,-1
357,4,-1
358,47,-1
359,4,-1
360,9,-1
361,4,-1
362,9,-1
363,9,-1
364,4,-1
365,4,-1
366,4,-1
367,4,-1
368,4,-1
369,4,-1
370,4,-1
371,4,-1
372,4,-1
373,4,-1
374,4,-1
375,4,-1
376,4,-1
377,4,-1
378,4,-1
379,4,-1
380,4,-1
381,4,-1
382,4,-1
383,4,-1
384,4,-1
385,25,-1
386,4,-1
387,4,-1
388,4,-1
389,4,-1
390,9,-1
391,4,-1
392,4,-1
393,4,-1
394,4,-1
395,4,-1
396,4,-1
397,4,-1
398,42,-1
399,19,-1
400,4,-1
401,4,-1
402,4,-1
403,4,-1
404,4,-1
405,4,-1
406,4,-1
407,4,-1
408,4,-1
409,4,-1
410,4,-1
411,4,-1
412,4,-1
413,4,-1
414,4,-1
415,4,-1
416,4,-1
417,42,-1
418,4,-1
419,4,-1
420,4,-1
421,4,-1
422,4,-1
423,4,-1
424,4,-1
425,4,-1
426,4,-1
427,4,-1
428,4,-1
429,4,-1
430,4,-1
431,4,-1
432,4,-1
433,4,-1
434,4,-1
435,19,-1
436,19,-1
437,4,-1
438,4,-1
439,4,-1
440,42,-1
441,4,-1
442,4,-1
443,4,-1
444,45,-1
445,4,-1
446,4,-1
447,4,-1
448,4,-1
449,4,-1
450,19,-1
451,19,-1
452,4,-1
453,19,-1
454,19,-1
455,19,-1
456,19,-1
457,4,-1
458,4,-1
459,4,-1
460,4,-1
461,4,-1
462,4,-1
463,4,-1
464,4,-1
465,4,-1
466,4,-1
467,4,-1
468,4,-1
469,4,-1
470,4,-1
471,4,-1
472,4,-1
473,4,-1
474,4,-1
475,4,-1
476,4,-1
477,4,-1
478,4,-1
479,4,-1
480,4,-1
481,4,-1
482,4,-1
483,4,-1
484,4,-1
485,4,-1
486,4,-1
487,4,-1
488,19,-1
489,19,-1
490,19,-1
491,19,-1
492,19,-1
493,4,-1
494,4,-1
495,4,-1
496,4,-1
497,4,-1
498,20,-1
499,4,-1
500,4,-1
501,4,-1
502,20,-1
503,4,-1
504,20,-1
505,4,-1
506,20,-1
507,4,-1
508,4,-1
509,4,-1
510,4,-1
511,4,-1
512,4,-1
513,4,-1
514,4,-1
515,4,-1
516,4,-1
517,4,-1
518,4,-1
519,4,-1
520,4,-1
521,4,-1
522,4,-1
523,4,-1
524,4,-1
525,19,-1
526,20,-1
527,4,-1
528,4,-1
529,4,-1
530,4,-1
531,4,-1
532,4,-1
533,4,-1
534,4,-1
535,4,-1
536,4,-1
537,4,-1
538,48,-1
539,4,-1
540,20,-1
541,4,-1
542,4,-1
543,4,-1
544,4,-1
545,4,-1
546,4,-1
547,4,-1
548,4,-1
549,20,-1
550,4,-1
551,4,-1
552,4,-1
553,4,-1
554,4,-1
555,4,-1
556,4,-1
557,4,-1
558,4,-1
559,4,-1
560,4,-1
561,4,-1
562,20,-1
563,20,-1
564,4,-1
565,20,-1
566,20,-1
567,4,-1
568,4,-1
569,4,-1
570,20,-1
571,20,-1
572,4,-1
573,53,-1
574,4,-1
575,4,-1
576,4,-1
577,4,-1
578,4,-1
579,4,-1
580,4,-1
581,4,-1
582,4,-1
583,4,-1
584,4,-1
585,18,-1
586,4,-1
587,4,-1
588,4,-1
589,4,-1
590,20,-1
591,20,-1
592,4,-1
593,4,-1
594,4,-1
595,4,-1
596,4,-1
597,4,-1
598,4,-1
599,4,-1
600,4,-1
601,4,-1
602,4,-1
603,4,-1
604,4,-1
605,4,-1
606,4,-1
607,4,-1
608,4,-1
609,4,-1
610,4,-1
611,4,-1
612,4,-1
613,4,-1
614,4,-1
615,4,-1
616,4,-1
617,4,-1
618,4,-1
619,18,-1
620,18,-1
621,4,-1
622,4,-1
623,43,-1
624,4,-1
625,43,-1
626,43,-1
627,43,-1
628,1,-1
629,1,-1
630,1,-1
631,1,-1
632,1,-1
633,1,-1
634,1,-1
635,1,-1
636,1,-1
637,1,-1
638,1,-1
639,1,-1
640,1,-1
641,1,-1
642,1,-1
643,1,-1
644,1,-1
645,1,-1
646,1,-1
647,1,-1
648,1,-1
649,1,-1
650,1,-1
651,1,-1
652,1,-1
653,1,-1
654,1,-1
655,1,-1
656,1,-1
657,1,-1
658,1,-1
659,1,-1
660,1,-1
661,1,-1
662,1,-1
663,1,-1
664,1,-1
665,1,-1
666,1,-1
667,1,-1
668,1,-1
669,1,-1
670,1,-1
671,1,-1
672,1,-1
673,1,-1
674,1,-1
675,1,-1
676,1,-1
677,1,-1
678,1,-1
679,1,-1
680,1,-1
681,1,-1
682,1,-1
683,1,-1
684,1,-1
685,1,-1
686,1,-1
687,1,-1
688,1,-1
689,1,-1
690,1,-1
691,1,-1
692,1,-1
693,1,-1
694,1,-1
695,1,-1
696,1,-1
697,1,-1
698,1,-1
699,1,-1
700,1,-1
701,1,-1
702,1,-1
703,1,-1
704,1,-1
705,1,-1
706,1,-1
707,1,-1
708,1,-1
709,1,-1
710,1,-1
711,1,-1
712,1,-1
713,1,-1
714,1,-1
715,1,-1
716,1,-1
717,1,-1
718,1,-1
719,1,-1
720,1,-1
721,1,-1
722,1,-1
723,1,-1
724,1,-1
725,1,-1
726,1,-1
727,1,-1
728,1,-1
729,1,-1
730,1,-1
731,1,-1
732,1,-1
733,1,-1
734,1,-1
735,1,-1
736,1,-1
737,1,-1
738,1,-1
739,1,-1
740,1,-1
741,1,-1
742,1,-1
743,1,-1
744,1,-1
745,1,-1
746,1,-1
747,1,-1
748,1,-1
749,1,-1
750,1,-1
751,1,-1
752,1,-1
753,1,-1
754,1,-1
755,1,-1
756,1,-1
757,1,-1
758,1,-1
759,1,-1
760,1,-1
761,1,-1
762,1,-1
763,1,-1
764,1,-1
765,1,-1
766,1,-1
767,1,-1
768,1,-1
769,1,-1
770,1,-1
771,1,-1
772,1,-1
773,1,-1
774,1,-1
775,1,-1
776,1,-1
777,1,-1
778,1,-1
779,1,-1
780,1,-1
781,1,-1
782,1,-1
783,1,-1
784,1,-1
785,1,-1
786,1,-1
787,1,-1
788,1,-1
789,1,-1
790,1,-1
791,1,-1
792,1,-1
793,1,-1
