# point_id,primitive_gid,primitive_dir_gid
0,8,-1
1,8,-1
2,8,-1
3,8,-1
4,8,-1
5,25,-1
6,25,-1
7,25,-1
8,8,-1
9,8,-1
10,8,-1
11,8,-1
12,8,-1
13,127,-1
14,8,-1
15,8,-1
16,73,-1
17,8,-1
18,25,-1
19,8,-1
20,25,-1
21,25,-1
22,25,-1
23,25,-1
24,8,-1
25,25,-1
26,25,-1
27,25,-1
28,113,-1
29,25,-1
30,25,-1
31,25,-1
32,5,-1
33,5,-1
34,25,-1
35,5,-1
36,5,-1
37,25,-1
38,5,-1
39,113,-1
40,25,-1
41,113,-1
42,25,-1
43,113,-1
44,30,-1
45,25,-1
46,25,-1
47,5,-1
48,37,-1
49,25,-1
50,25,-1
51,25,-1
52,30,-1
53,37,-1
54,5,-1
55,37,-1
56,37,-1
57,5,-1
58,5,-1
59,5,-1
60,25,-1
61,30,-1
62,30,-1
63,5,-1
64,15,-1
65,5,-1
66,15,-1
67,25,-1
68,5,-1
69,25,-1
70,5,-1
71,84,-1
72,5,-1
73,5,-1
74,25,-1
75,5,-1
76,5,-1
77,45,-1
78,45,-1
79,25,-1
80,25,-1
81,25,-1
82,5,-1
83,5,-1
84,5,-1
85,5,-1
86,25,-1
87,25,-1
88,25,-1
89,5,-1
90,5,-1
91,5,-1
92,5,-1
93,5,-1
94,5,-1
95,61,-1
96,25,-1
97,5,-1
98,5,-1
99,61,-1
100,25,-1
101,25,-1
102,25,-1
103,25,-1
104,123,-1
105,25,-1
106,12,-1
107,5,-1
108,25,-1
109,12,-1
110,12,-1
111,12,-1
112,12,-1
113,5,-1
114,12,-1
115,12,-1
116,12,-1
117,12,-1
118,12,-1
119,12,-1
120,5,-1
121,5,-1
122,5,-1
123,5,-1
124,5,-1
125,5,-1
126,22,-1
127,12,-1
128,5,-1
129,22,-1
130,22,-1
131,31,-1
132,31,-1
133,5,-1
134,59,-1
135,31,-1
136,121,-1
137,121,-1
138,5,-1
139,5,-1
140,5,-1
141,22,-1
142,59,-1
143,22,-1
144,132,-1
145,5,-1
146,22,-1
147,22,-1
148,22,-1
149,119,-1
150,5,-1
151,5,-1
152,5,-1
153,5,-1
154,5,-1
155,5,-1
156,119,-1
157,159,-1
158,5,-1
159,5,-1
160,5,-1
