>>                                             First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
    0    2401    4.573543e+03    0.000e+00    1.703e+04
    1    4813    2.070081e+03    0.000e+00    1.006e+04    3.827e-01
    2    7217    1.956752e+03    0.000e+00    6.720e+03    9.568e-02
    3    9622    1.384817e+03    0.000e+00    2.418e+03    1.914e-01
    4   12029    1.359251e+03    0.000e+00    7.992e+02    9.568e-02
    5   14436    1.346968e+03    0.000e+00    9.611e+02    4.784e-02
    6   16840    1.346965e+03    0.000e+00    1.403e+03    2.392e-02
    7   19246    1.327317e+03    0.000e+00    3.106e+02    2.392e-02
    8   21650    1.327189e+03    0.000e+00    3.033e+02    1.196e-02
    9   24055    1.326485e+03    0.000e+00    3.051e+02    2.392e-02
   10   26459    1.326108e+03    0.000e+00    1.857e+02    1.196e-02
   11   28864    1.325187e+03    0.000e+00    5.128e-01    1.523e-02
   12   31277    1.325187e+03    0.000e+00    3.775e+00    4.166e-04
   13   33679    1.325187e+03    0.000e+00    3.467e+00    4.166e-04
   14   36087    1.325187e+03    0.000e+00    2.613e+00    1.041e-04
   15   38489    1.325187e+03    0.000e+00    2.611e+00    1.041e-04
   16   40894    1.325187e+03    0.000e+00    9.470e-02    2.083e-04
   17   43304    1.325187e+03    0.000e+00    1.730e-01    4.556e-05
   18   45706    1.325187e+03    0.000e+00    1.713e-01    9.112e-05
   19   48111    1.325187e+03    0.000e+00    2.538e-01    1.822e-04
   20   50514    1.325187e+03    0.000e+00    1.430e-01    1.822e-04

