# point_id,primitive_gid,primitive_dir_gid
0,58,-1
1,58,-1
2,58,-1
3,58,-1
4,58,-1
5,58,-1
6,58,-1
7,58,-1
8,33,-1
9,33,-1
10,33,-1
11,33,-1
12,33,-1
13,33,-1
14,58,-1
15,58,-1
16,58,-1
17,58,-1
18,58,-1
19,58,-1
20,58,-1
21,58,-1
22,58,-1
23,58,-1
24,58,-1
25,58,-1
26,58,-1
27,58,-1
28,58,-1
29,33,-1
30,33,-1
31,33,-1
32,33,-1
33,33,-1
34,33,-1
35,33,-1
36,33,-1
37,33,-1
38,33,-1
39,33,-1
40,33,-1
41,33,-1
42,58,-1
43,58,-1
44,58,-1
45,58,-1
46,58,-1
47,58,-1
48,58,-1
49,58,-1
50,58,-1
51,58,-1
52,58,-1
53,58,-1
54,58,-1
55,58,-1
56,58,-1
57,58,-1
58,58,-1
59,58,-1
60,58,-1
61,58,-1
62,58,-1
63,58,-1
64,58,-1
65,58,-1
66,58,-1
67,33,-1
68,33,-1
69,33,-1
70,33,-1
71,33,-1
72,33,-1
73,33,-1
74,33,-1
75,33,-1
76,33,-1
77,33,-1
78,33,-1
79,33,-1
80,33,-1
81,33,-1
82,33,-1
83,33,-1
84,33,-1
85,33,-1
86,33,-1
87,33,-1
88,58,-1
89,58,-1
90,58,-1
91,58,-1
92,58,-1
93,58,-1
94,58,-1
95,58,-1
96,58,-1
97,58,-1
98,58,-1
99,58,-1
100,58,-1
101,58,-1
102,58,-1
103,58,-1
104,58,-1
105,58,-1
106,58,-1
107,58,-1
108,58,-1
109,58,-1
110,58,-1
111,58,-1
112,58,-1
113,58,-1
114,58,-1
115,58,-1
116,58,-1
117,58,-1
118,58,-1
119,58,-1
120,33,-1
121,33,-1
122,33,-1
123,33,-1
124,33,-1
125,33,-1
126,33,-1
127,33,-1
128,33,-1
129,33,-1
130,33,-1
131,33,-1
132,33,-1
133,33,-1
134,33,-1
135,33,-1
136,33,-1
137,33,-1
138,33,-1
139,33,-1
140,33,-1
141,33,-1
142,33,-1
143,33,-1
144,33,-1
145,33,-1
146,33,-1
147,33,-1
148,33,-1
149,33,-1
150,33,-1
151,58,-1
152,58,-1
153,58,-1
154,58,-1
155,58,-1
156,58,-1
157,58,-1
158,58,-1
159,58,-1
160,58,-1
161,58,-1
162,58,-1
163,58,-1
164,58,-1
165,58,-1
166,58,-1
167,58,-1
168,58,-1
169,58,-1
170,58,-1
171,58,-1
172,58,-1
173,58,-1
174,58,-1
175,58,-1
176,58,-1
177,58,-1
178,58,-1
179,58,-1
180,58,-1
181,58,-1
182,58,-1
183,58,-1
184,58,-1
185,58,-1
186,58,-1
187,58,-1
188,58,-1
189,58,-1
190,58,-1
191,58,-1
192,58,-1
193,58,-1
194,58,-1
195,58,-1
196,58,-1
197,58,-1
198,33,-1
199,33,-1
200,33,-1
201,33,-1
202,33,-1
203,33,-1
204,33,-1
205,33,-1
206,33,-1
207,33,-1
208,33,-1
209,33,-1
210,33,-1
211,33,-1
212,33,-1
213,33,-1
214,33,-1
215,33,-1
216,33,-1
217,33,-1
218,33,-1
219,33,-1
220,33,-1
221,33,-1
222,33,-1
223,33,-1
224,33,-1
225,33,-1
226,33,-1
227,33,-1
228,33,-1
229,33,-1
230,33,-1
231,33,-1
232,33,-1
233,33,-1
234,33,-1
235,33,-1
236,33,-1
237,33,-1
238,33,-1
239,33,-1
240,58,-1
241,58,-1
242,58,-1
243,58,-1
244,58,-1
245,58,-1
246,58,-1
247,58,-1
248,58,-1
249,58,-1
250,58,-1
251,58,-1
252,58,-1
253,58,-1
254,58,-1
255,58,-1
256,58,-1
257,58,-1
258,58,-1
259,58,-1
260,58,-1
261,58,-1
262,58,-1
263,58,-1
264,58,-1
265,58,-1
266,58,-1
267,58,-1
268,58,-1
269,58,-1
270,58,-1
271,58,-1
272,58,-1
273,58,-1
274,58,-1
275,58,-1
276,58,-1
277,58,-1
278,58,-1
279,58,-1
280,58,-1
281,58,-1
282,58,-1
283,58,-1
284,58,-1
285,58,-1
286,58,-1
287,58,-1
288,58,-1
289,58,-1
290,58,-1
291,58,-1
292,58,-1
293,58,-1
294,58,-1
295,58,-1
296,58,-1
297,58,-1
298,58,-1
299,58,-1
300,58,-1
301,58,-1
302,58,-1
303,58,-1
304,33,-1
305,33,-1
306,33,-1
307,33,-1
308,33,-1
309,33,-1
310,33,-1
311,33,-1
312,33,-1
313,33,-1
314,33,-1
315,33,-1
316,33,-1
317,33,-1
318,33,-1
319,33,-1
320,33,-1
321,33,-1
322,33,-1
323,33,-1
324,33,-1
325,33,-1
326,33,-1
327,33,-1
328,33,-1
329,33,-1
330,33,-1
331,33,-1
332,33,-1
333,33,-1
334,33,-1
335,33,-1
336,33,-1
337,33,-1
338,33,-1
339,33,-1
340,33,-1
341,33,-1
342,33,-1
343,33,-1
344,33,-1
345,33,-1
346,33,-1
347,33,-1
348,33,-1
349,33,-1
350,33,-1
351,33,-1
352,33,-1
353,33,-1
354,33,-1
355,33,-1
356,33,-1
357,33,-1
358,33,-1
359,33,-1
360,33,-1
361,33,-1
362,33,-1
363,33,-1
364,4,-1
365,4,-1
366,4,-1
367,4,-1
368,58,-1
369,58,-1
370,58,-1
371,58,-1
372,58,-1
373,58,-1
374,58,-1
375,58,-1
376,58,-1
377,58,-1
378,58,-1
379,58,-1
380,58,-1
381,58,-1
382,58,-1
383,58,-1
384,58,-1
385,58,-1
386,58,-1
387,58,-1
388,58,-1
389,58,-1
390,58,-1
391,58,-1
392,58,-1
393,58,-1
394,58,-1
395,58,-1
396,58,-1
397,58,-1
398,58,-1
399,58,-1
400,58,-1
401,58,-1
402,58,-1
403,58,-1
404,58,-1
405,58,-1
406,58,-1
407,58,-1
408,58,-1
409,58,-1
410,58,-1
411,58,-1
412,58,-1
413,58,-1
414,58,-1
415,58,-1
416,58,-1
417,58,-1
418,58,-1
419,58,-1
420,58,-1
421,58,-1
422,58,-1
423,58,-1
424,58,-1
425,58,-1
426,58,-1
427,58,-1
428,58,-1
429,58,-1
430,58,-1
431,58,-1
432,58,-1
433,58,-1
434,58,-1
435,58,-1
436,58,-1
437,58,-1
438,58,-1
439,58,-1
440,58,-1
441,58,-1
442,58,-1
443,58,-1
444,58,-1
445,58,-1
446,58,-1
447,58,-1
448,58,-1
449,58,-1
450,58,-1
451,58,-1
452,58,-1
453,33,-1
454,33,-1
455,33,-1
456,33,-1
457,33,-1
458,33,-1
459,33,-1
460,33,-1
461,33,-1
462,33,-1
463,33,-1
464,33,-1
465,33,-1
466,33,-1
467,33,-1
468,33,-1
469,33,-1
470,33,-1
471,33,-1
472,33,-1
473,33,-1
474,33,-1
475,33,-1
476,33,-1
477,33,-1
478,33,-1
479,33,-1
480,33,-1
481,33,-1
482,33,-1
483,33,-1
484,33,-1
485,33,-1
486,33,-1
487,33,-1
488,33,-1
489,33,-1
490,33,-1
491,33,-1
492,33,-1
493,33,-1
494,33,-1
495,33,-1
496,33,-1
497,33,-1
498,33,-1
499,33,-1
500,33,-1
501,33,-1
502,33,-1
503,33,-1
504,33,-1
505,33,-1
506,33,-1
507,33,-1
508,33,-1
509,33,-1
510,33,-1
511,33,-1
512,33,-1
513,33,-1
514,33,-1
515,33,-1
516,33,-1
517,33,-1
518,33,-1
519,33,-1
520,33,-1
521,33,-1
522,33,-1
523,33,-1
524,33,-1
525,33,-1
526,33,-1
527,33,-1
528,33,-1
529,33,-1
530,33,-1
531,33,-1
532,33,-1
533,33,-1
534,33,-1
535,33,-1
536,4,-1
537,4,-1
538,4,-1
539,4,-1
540,4,-1
541,4,-1
542,4,-1
543,4,-1
544,4,-1
545,4,-1
546,4,-1
547,4,-1
548,4,-1
549,4,-1
550,4,-1
551,4,-1
552,4,-1
553,4,-1
554,4,-1
555,4,-1
556,4,-1
557,4,-1
558,4,-1
559,4,-1
560,4,-1
561,4,-1
562,4,-1
563,4,-1
564,4,-1
565,4,-1
566,4,-1
567,4,-1
568,4,-1
569,4,-1
570,4,-1
571,4,-1
572,4,-1
573,4,-1
574,4,-1
575,4,-1
576,4,-1
577,4,-1
578,4,-1
579,4,-1
580,4,-1
581,4,-1
582,4,-1
583,4,-1
584,4,-1
585,4,-1
586,4,-1
587,4,-1
588,4,-1
589,4,-1
590,4,-1
