# point_id,primitive_gid,primitive_dir_gid
0,0,-1
1,1,-1
2,0,-1
3,1,-1
4,1,-1
5,1,-1
6,1,-1
7,1,-1
8,1,-1
9,5,-1
10,6,-1
11,7,-1
12,8,-1
13,9,-1
14,10,-1
15,10,-1
16,10,-1
17,11,-1
18,12,-1
19,10,-1
20,13,-1
21,14,-1
22,10,-1
23,15,-1
24,16,-1
25,17,-1
26,16,-1
27,15,-1
28,18,-1
29,19,-1
30,20,-1
31,20,-1
32,20,-1
33,20,-1
34,0,-1
35,20,-1
36,20,-1
37,20,-1
38,22,-1
39,20,-1
40,20,-1
41,20,-1
42,20,-1
43,20,-1
44,20,-1
45,20,-1
46,20,-1
47,20,-1
48,20,-1
49,20,-1
50,20,-1
51,20,-1
52,20,-1
53,20,-1
54,20,-1
55,20,-1
56,20,-1
57,20,-1
58,20,-1
59,25,-1
60,20,-1
61,20,-1
62,20,-1
63,20,-1
64,20,-1
65,20,-1
66,20,-1
67,20,-1
68,27,-1
69,28,-1
70,29,-1
71,30,-1
72,29,-1
73,31,-1
74,32,-1
75,32,-1
76,33,-1
77,34,-1
78,33,-1
79,31,-1
80,35,-1
81,36,-1
82,36,-1
83,36,-1
84,36,-1
85,36,-1
86,36,-1
87,36,-1
88,36,-1
89,36,-1
90,36,-1
91,36,-1
92,36,-1
93,38,-1
94,38,-1
95,38,-1
96,38,-1
97,38,-1
98,38,-1
99,38,-1
100,38,-1
101,38,-1
102,38,-1
103,38,-1
104,38,-1
105,38,-1
106,38,-1
107,38,-1
108,38,-1
109,38,-1
110,38,-1
111,38,-1
112,38,-1
113,38,-1
114,38,-1
115,38,-1
116,38,-1
117,38,-1
118,38,-1
119,38,-1
120,38,-1
121,38,-1
122,38,-1
123,38,-1
124,38,-1
125,41,-1
126,42,-1
127,43,-1
128,44,-1
129,45,-1
130,46,-1
131,46,-1
132,52,-1
133,42,-1
134,48,-1
135,38,-1
136,52,-1
137,52,-1
138,52,-1
139,52,-1
140,52,-1
141,52,-1
142,52,-1
143,52,-1
144,52,-1
145,52,-1
146,52,-1
147,52,-1
148,52,-1
149,54,-1
150,52,-1
151,54,-1
152,52,-1
153,54,-1
154,52,-1
155,52,-1
156,54,-1
157,54,-1
158,54,-1
159,52,-1
160,54,-1
161,54,-1
162,54,-1
163,54,-1
164,54,-1
165,54,-1
166,54,-1
167,54,-1
168,54,-1
169,54,-1
170,54,-1
171,54,-1
172,54,-1
173,54,-1
174,61,-1
175,62,-1
176,63,-1
177,64,-1
178,65,-1
179,66,-1
180,67,-1
181,68,-1
182,69,-1
183,70,-1
184,71,-1
185,72,-1
186,73,-1
187,74,-1
188,75,-1
189,76,-1
190,77,-1
191,78,-1
192,78,-1
193,78,-1
194,78,-1
195,78,-1
196,78,-1
197,78,-1
198,78,-1
199,78,-1
200,1,-1
201,1,-1
202,1,-1
203,1,-1
204,1,-1
205,1,-1
206,1,-1
207,1,-1
208,1,-1
209,1,-1
210,1,-1
211,84,-1
212,85,-1
213,85,-1
214,8,-1
215,86,-1
216,87,-1
217,87,-1
218,12,-1
219,14,-1
220,13,-1
221,13,-1
222,88,-1
223,89,-1
224,90,-1
225,91,-1
226,17,-1
227,92,-1
228,93,-1
229,0,-1
230,0,-1
231,0,-1
232,0,-1
233,0,-1
234,0,-1
235,20,-1
236,20,-1
237,0,-1
238,0,-1
239,20,-1
240,20,-1
241,20,-1
242,20,-1
243,20,-1
244,22,-1
245,20,-1
246,20,-1
247,20,-1
248,20,-1
249,20,-1
250,20,-1
251,20,-1
252,20,-1
253,20,-1
254,20,-1
255,20,-1
256,20,-1
257,20,-1
258,20,-1
259,20,-1
260,20,-1
261,20,-1
262,20,-1
263,20,-1
264,20,-1
265,20,-1
266,20,-1
267,20,-1
268,20,-1
269,20,-1
270,97,-1
271,98,-1
272,99,-1
273,32,-1
274,32,-1
275,100,-1
276,31,-1
277,34,-1
278,32,-1
279,101,-1
280,20,-1
281,36,-1
282,36,-1
283,36,-1
284,36,-1
285,36,-1
286,36,-1
287,36,-1
288,36,-1
289,36,-1
290,36,-1
291,36,-1
292,36,-1
293,36,-1
294,38,-1
295,38,-1
296,38,-1
297,38,-1
298,38,-1
299,38,-1
300,38,-1
301,38,-1
302,38,-1
303,38,-1
304,38,-1
305,38,-1
306,38,-1
307,38,-1
308,38,-1
309,38,-1
310,38,-1
311,38,-1
312,38,-1
313,38,-1
314,38,-1
315,38,-1
316,38,-1
317,38,-1
318,38,-1
319,38,-1
320,38,-1
321,38,-1
322,38,-1
323,38,-1
324,38,-1
325,38,-1
326,38,-1
327,40,-1
328,103,-1
329,104,-1
330,103,-1
331,41,-1
332,103,-1
333,105,-1
334,52,-1
335,38,-1
336,52,-1
337,52,-1
338,52,-1
339,52,-1
340,52,-1
341,52,-1
342,52,-1
343,52,-1
344,52,-1
345,52,-1
346,52,-1
347,52,-1
348,52,-1
349,52,-1
350,52,-1
351,52,-1
352,52,-1
353,54,-1
354,54,-1
355,54,-1
356,54,-1
357,54,-1
358,54,-1
359,54,-1
360,54,-1
361,54,-1
362,54,-1
363,54,-1
364,54,-1
365,54,-1
366,54,-1
367,54,-1
368,54,-1
369,54,-1
370,54,-1
371,54,-1
372,54,-1
373,54,-1
374,54,-1
375,108,-1
376,62,-1
377,109,-1
378,110,-1
379,65,-1
380,110,-1
381,111,-1
382,111,-1
383,112,-1
384,113,-1
385,68,-1
386,114,-1
387,115,-1
388,75,-1
389,78,-1
390,78,-1
391,78,-1
392,78,-1
393,78,-1
394,78,-1
395,78,-1
396,78,-1
397,78,-1
398,78,-1
399,78,-1
400,118,-1
401,1,-1
402,118,-1
403,0,-1
404,1,-1
405,1,-1
406,1,-1
407,1,-1
408,1,-1
409,1,-1
410,1,-1
411,1,-1
412,1,-1
413,5,-1
414,121,-1
415,122,-1
416,12,-1
417,87,-1
418,14,-1
419,86,-1
420,88,-1
421,18,-1
422,123,-1
423,124,-1
424,16,-1
425,92,-1
426,17,-1
427,17,-1
428,19,-1
429,0,-1
430,0,-1
431,0,-1
432,0,-1
433,0,-1
434,20,-1
435,20,-1
436,0,-1
437,20,-1
438,20,-1
439,20,-1
440,20,-1
441,20,-1
442,20,-1
443,20,-1
444,20,-1
445,20,-1
446,20,-1
447,20,-1
448,20,-1
449,20,-1
450,20,-1
451,20,-1
452,0,-1
453,20,-1
454,20,-1
455,20,-1
456,20,-1
457,20,-1
458,20,-1
459,20,-1
460,20,-1
461,20,-1
462,20,-1
463,20,-1
464,20,-1
465,20,-1
466,20,-1
467,20,-1
468,20,-1
469,20,-1
470,20,-1
471,20,-1
472,97,-1
473,98,-1
474,128,-1
475,129,-1
476,129,-1
477,33,-1
478,130,-1
479,35,-1
480,36,-1
481,36,-1
482,36,-1
483,36,-1
484,36,-1
485,36,-1
486,36,-1
487,36,-1
488,36,-1
489,36,-1
490,36,-1
491,38,-1
492,36,-1
493,36,-1
494,38,-1
495,38,-1
496,38,-1
497,38,-1
498,38,-1
499,38,-1
500,38,-1
501,38,-1
502,38,-1
503,38,-1
504,38,-1
505,38,-1
506,38,-1
507,38,-1
508,38,-1
509,38,-1
510,38,-1
511,38,-1
512,38,-1
513,38,-1
514,38,-1
515,38,-1
516,38,-1
517,38,-1
518,38,-1
519,38,-1
520,38,-1
521,38,-1
522,38,-1
523,38,-1
524,38,-1
525,38,-1
526,38,-1
527,38,-1
528,38,-1
529,44,-1
530,41,-1
531,132,-1
532,52,-1
533,45,-1
534,52,-1
535,52,-1
536,52,-1
537,52,-1
538,52,-1
539,52,-1
540,52,-1
541,52,-1
542,52,-1
543,52,-1
544,52,-1
545,52,-1
546,52,-1
547,52,-1
548,52,-1
549,52,-1
550,52,-1
551,52,-1
552,54,-1
553,54,-1
554,52,-1
555,54,-1
556,54,-1
557,54,-1
558,54,-1
559,54,-1
560,54,-1
561,54,-1
562,54,-1
563,54,-1
564,54,-1
565,54,-1
566,54,-1
567,54,-1
568,54,-1
569,54,-1
570,54,-1
571,54,-1
572,54,-1
573,54,-1
574,54,-1
575,54,-1
576,54,-1
577,135,-1
578,65,-1
579,65,-1
580,136,-1
581,137,-1
582,69,-1
583,69,-1
584,138,-1
585,139,-1
586,140,-1
587,141,-1
588,142,-1
589,78,-1
590,78,-1
591,78,-1
592,78,-1
593,78,-1
594,78,-1
595,78,-1
596,78,-1
597,78,-1
598,78,-1
599,78,-1
600,1,-1
601,1,-1
602,1,-1
603,1,-1
604,118,-1
605,1,-1
606,1,-1
607,1,-1
608,1,-1
609,1,-1
610,1,-1
611,1,-1
612,1,-1
613,1,-1
614,1,-1
615,148,-1
616,6,-1
617,149,-1
618,150,-1
619,150,-1
620,88,-1
621,123,-1
622,151,-1
623,152,-1
624,18,-1
625,153,-1
626,154,-1
627,17,-1
628,0,-1
629,0,-1
630,0,-1
631,0,-1
632,0,-1
633,0,-1
634,0,-1
635,20,-1
636,0,-1
637,20,-1
638,20,-1
639,20,-1
640,20,-1
641,20,-1
642,20,-1
643,20,-1
644,20,-1
645,20,-1
646,20,-1
647,20,-1
648,20,-1
649,20,-1
650,20,-1
651,20,-1
652,20,-1
653,20,-1
654,20,-1
655,20,-1
656,20,-1
657,20,-1
658,20,-1
659,20,-1
660,20,-1
661,20,-1
662,20,-1
663,20,-1
664,20,-1
665,20,-1
666,20,-1
667,20,-1
668,20,-1
669,20,-1
670,20,-1
671,20,-1
672,20,-1
673,20,-1
674,20,-1
675,158,-1
676,159,-1
677,160,-1
678,35,-1
679,20,-1
680,20,-1
681,36,-1
682,36,-1
683,36,-1
684,36,-1
685,36,-1
686,36,-1
687,36,-1
688,36,-1
689,36,-1
690,36,-1
691,36,-1
692,36,-1
693,36,-1
694,36,-1
695,36,-1
696,36,-1
697,38,-1
698,38,-1
699,38,-1
700,38,-1
701,38,-1
702,38,-1
703,38,-1
704,38,-1
705,38,-1
706,38,-1
707,38,-1
708,38,-1
709,38,-1
710,38,-1
711,38,-1
712,38,-1
713,38,-1
714,38,-1
715,38,-1
716,38,-1
717,38,-1
718,38,-1
719,38,-1
720,38,-1
721,38,-1
722,38,-1
723,38,-1
724,38,-1
725,38,-1
726,38,-1
727,38,-1
728,38,-1
729,163,-1
730,46,-1
731,43,-1
732,52,-1
733,164,-1
734,52,-1
735,52,-1
736,52,-1
737,52,-1
738,52,-1
739,52,-1
740,52,-1
741,52,-1
742,52,-1
743,52,-1
744,52,-1
745,52,-1
746,52,-1
747,52,-1
748,52,-1
749,52,-1
750,52,-1
751,52,-1
752,52,-1
753,52,-1
754,54,-1
755,54,-1
756,54,-1
757,54,-1
758,54,-1
759,54,-1
760,54,-1
761,54,-1
762,54,-1
763,54,-1
764,54,-1
765,54,-1
766,54,-1
767,54,-1
768,54,-1
769,54,-1
770,54,-1
771,54,-1
772,54,-1
773,54,-1
774,54,-1
775,54,-1
776,54,-1
777,54,-1
778,165,-1
779,166,-1
780,112,-1
781,167,-1
782,168,-1
783,169,-1
784,170,-1
785,113,-1
786,139,-1
787,171,-1
788,78,-1
789,78,-1
790,78,-1
791,78,-1
792,78,-1
793,78,-1
794,78,-1
795,78,-1
796,78,-1
797,78,-1
798,78,-1
799,78,-1
800,0,-1
801,1,-1
802,1,-1
803,1,-1
804,1,-1
805,118,-1
806,1,-1
807,1,-1
808,1,-1
809,1,-1
810,118,-1
811,1,-1
812,1,-1
813,1,-1
814,1,-1
815,1,-1
816,1,-1
817,148,-1
818,174,-1
819,152,-1
820,87,-1
821,18,-1
822,18,-1
823,175,-1
824,151,-1
825,176,-1
826,153,-1
827,177,-1
828,0,-1
829,0,-1
830,0,-1
831,0,-1
832,0,-1
833,0,-1
834,0,-1
835,0,-1
836,20,-1
837,20,-1
838,20,-1
839,20,-1
840,20,-1
841,20,-1
842,0,-1
843,20,-1
844,20,-1
845,20,-1
846,20,-1
847,20,-1
848,20,-1
849,20,-1
850,20,-1
851,20,-1
852,20,-1
853,20,-1
854,20,-1
855,20,-1
856,20,-1
857,20,-1
858,20,-1
859,20,-1
860,20,-1
861,20,-1
862,20,-1
863,20,-1
864,20,-1
865,20,-1
866,20,-1
867,20,-1
868,20,-1
869,20,-1
870,20,-1
871,20,-1
872,20,-1
873,20,-1
874,20,-1
875,20,-1
876,20,-1
877,20,-1
878,20,-1
879,36,-1
880,36,-1
881,36,-1
882,36,-1
883,36,-1
884,36,-1
885,36,-1
886,36,-1
887,36,-1
888,36,-1
889,36,-1
890,36,-1
891,36,-1
892,36,-1
893,36,-1
894,36,-1
895,38,-1
896,38,-1
897,38,-1
898,38,-1
899,38,-1
900,38,-1
901,38,-1
902,38,-1
903,38,-1
904,38,-1
905,38,-1
906,38,-1
907,38,-1
908,38,-1
909,38,-1
910,38,-1
911,38,-1
912,38,-1
913,38,-1
914,38,-1
915,38,-1
916,38,-1
917,38,-1
918,38,-1
919,38,-1
920,38,-1
921,38,-1
922,38,-1
923,38,-1
924,38,-1
925,38,-1
926,38,-1
927,38,-1
928,38,-1
929,38,-1
930,38,-1
931,52,-1
932,52,-1
933,52,-1
934,52,-1
935,52,-1
936,52,-1
937,52,-1
938,52,-1
939,52,-1
940,52,-1
941,52,-1
942,52,-1
943,52,-1
944,52,-1
945,52,-1
946,52,-1
947,52,-1
948,52,-1
949,52,-1
950,52,-1
951,52,-1
952,52,-1
953,54,-1
954,54,-1
955,54,-1
956,52,-1
957,54,-1
958,54,-1
959,54,-1
960,54,-1
961,54,-1
962,54,-1
963,54,-1
964,54,-1
965,54,-1
966,54,-1
967,54,-1
968,54,-1
969,54,-1
970,54,-1
971,54,-1
972,54,-1
973,54,-1
974,54,-1
975,54,-1
976,54,-1
977,54,-1
978,54,-1
979,54,-1
980,136,-1
981,189,-1
982,169,-1
983,112,-1
984,113,-1
985,170,-1
986,171,-1
987,78,-1
988,78,-1
989,78,-1
990,78,-1
991,78,-1
992,78,-1
993,78,-1
994,78,-1
995,78,-1
996,78,-1
997,78,-1
998,78,-1
999,78,-1
1000,1,-1
1001,118,-1
1002,118,-1
1003,1,-1
1004,1,-1
1005,1,-1
1006,1,-1
1007,118,-1
1008,1,-1
1009,1,-1
1010,1,-1
1011,1,-1
1012,1,-1
1013,1,-1
1014,1,-1
1015,1,-1
1016,1,-1
1017,1,-1
1018,1,-1
1019,1,-1
1020,191,-1
1021,174,-1
1022,192,-1
1023,93,-1
1024,177,-1
1025,191,-1
1026,193,-1
1027,192,-1
1028,0,-1
1029,0,-1
1030,0,-1
1031,0,-1
1032,0,-1
1033,0,-1
1034,20,-1
1035,20,-1
1036,20,-1
1037,20,-1
1038,20,-1
1039,20,-1
