# point_id,primitive_gid,primitive_dir_gid
0,634,-1
1,611,-1
2,676,-1
3,998,-1
4,1222,-1
5,745,-1
6,843,-1
7,871,-1
8,341,-1
9,65,-1
10,853,-1
11,853,-1
12,775,-1
13,1027,-1
14,311,-1
15,311,-1
16,213,-1
17,213,-1
18,213,-1
19,213,-1
20,433,-1
21,433,-1
22,3,-1
23,3,-1
24,3,-1
25,3,-1
26,433,-1
27,433,-1
28,3,-1
29,3,-1
30,3,-1
31,3,-1
32,3,-1
33,3,-1
34,3,-1
35,3,-1
36,3,-1
37,3,-1
38,3,-1
39,3,-1
40,3,-1
41,3,-1
42,3,-1
43,3,-1
44,3,-1
45,3,-1
46,3,-1
47,3,-1
48,3,-1
49,3,-1
50,3,-1
51,3,-1
52,3,-1
53,874,-1
54,3,-1
55,3,-1
56,3,-1
57,3,-1
58,3,-1
59,3,-1
60,3,-1
61,3,-1
62,3,-1
63,3,-1
64,3,-1
65,3,-1
66,3,-1
67,3,-1
68,3,-1
69,3,-1
70,3,-1
71,3,-1
72,3,-1
73,131,-1
74,131,-1
75,131,-1
76,131,-1
77,131,-1
78,3,-1
79,131,-1
80,131,-1
81,3,-1
82,3,-1
83,131,-1
84,131,-1
85,3,-1
86,131,-1
87,131,-1
88,131,-1
89,131,-1
90,3,-1
91,3,-1
92,3,-1
93,3,-1
94,3,-1
95,3,-1
96,3,-1
97,3,-1
98,3,-1
99,3,-1
100,118,-1
101,118,-1
102,118,-1
103,3,-1
104,118,-1
105,118,-1
106,3,-1
107,118,-1
108,3,-1
109,3,-1
110,118,-1
111,118,-1
112,118,-1
113,118,-1
114,3,-1
115,3,-1
116,3,-1
117,3,-1
118,3,-1
119,3,-1
120,3,-1
121,3,-1
122,3,-1
123,3,-1
124,3,-1
125,3,-1
126,3,-1
127,3,-1
128,3,-1
129,3,-1
130,3,-1
131,3,-1
132,483,-1
133,483,-1
134,3,-1
135,3,-1
136,3,-1
137,3,-1
138,3,-1
139,3,-1
140,3,-1
141,3,-1
142,3,-1
143,3,-1
144,3,-1
145,3,-1
146,3,-1
147,3,-1
148,266,-1
149,266,-1
150,266,-1
151,266,-1
152,3,-1
153,3,-1
154,3,-1
155,3,-1
156,3,-1
157,266,-1
158,266,-1
159,3,-1
160,3,-1
161,3,-1
162,3,-1
163,3,-1
164,3,-1
165,3,-1
166,3,-1
167,3,-1
168,3,-1
169,3,-1
170,3,-1
171,3,-1
172,3,-1
173,3,-1
174,3,-1
175,3,-1
176,3,-1
177,3,-1
178,3,-1
179,3,-1
180,3,-1
181,3,-1
182,3,-1
183,3,-1
184,3,-1
185,3,-1
186,3,-1
187,3,-1
188,3,-1
189,3,-1
190,3,-1
191,3,-1
192,3,-1
193,3,-1
194,3,-1
195,3,-1
196,3,-1
197,3,-1
198,3,-1
199,3,-1
200,44,-1
201,44,-1
202,44,-1
203,44,-1
204,44,-1
205,3,-1
206,3,-1
207,44,-1
208,3,-1
209,3,-1
210,3,-1
211,3,-1
212,3,-1
213,3,-1
214,3,-1
215,3,-1
216,3,-1
217,181,-1
218,181,-1
219,181,-1
220,181,-1
221,509,-1
222,181,-1
223,509,-1
224,509,-1
225,217,-1
226,217,-1
227,217,-1
228,217,-1
229,217,-1
230,217,-1
231,23,-1
232,217,-1
233,217,-1
234,217,-1
235,23,-1
236,23,-1
237,23,-1
238,23,-1
239,23,-1
240,23,-1
241,23,-1
242,23,-1
243,23,-1
244,23,-1
245,23,-1
246,23,-1
247,23,-1
248,23,-1
249,23,-1
250,215,-1
251,215,-1
252,215,-1
253,23,-1
254,23,-1
255,23,-1
256,23,-1
257,23,-1
258,23,-1
259,39,-1
260,23,-1
261,39,-1
262,202,-1
263,39,-1
264,39,-1
265,202,-1
266,202,-1
267,202,-1
268,39,-1
269,1279,-1
270,39,-1
271,246,-1
272,39,-1
273,103,-1
274,103,-1
275,127,-1
276,103,-1
277,345,-1
278,622,-1
279,103,-1
280,1273,-1
281,103,-1
282,103,-1
283,103,-1
284,103,-1
285,103,-1
286,103,-1
287,103,-1
288,103,-1
289,35,-1
290,990,-1
291,103,-1
292,35,-1
293,35,-1
294,35,-1
295,35,-1
296,35,-1
297,356,-1
298,356,-1
299,356,-1
300,203,-1
301,203,-1
302,203,-1
303,203,-1
304,203,-1
305,203,-1
306,203,-1
307,203,-1
308,203,-1
309,203,-1
310,203,-1
311,86,-1
312,86,-1
313,86,-1
314,86,-1
315,221,-1
316,221,-1
317,86,-1
318,86,-1
319,221,-1
320,221,-1
321,221,-1
322,221,-1
323,221,-1
324,221,-1
325,221,-1
326,221,-1
327,221,-1
328,221,-1
329,221,-1
330,221,-1
331,221,-1
332,221,-1
333,25,-1
334,25,-1
335,25,-1
336,221,-1
337,25,-1
338,12,-1
339,12,-1
340,12,-1
341,12,-1
342,12,-1
343,114,-1
344,12,-1
345,12,-1
346,114,-1
347,12,-1
348,244,-1
349,12,-1
350,244,-1
351,244,-1
352,244,-1
353,244,-1
354,481,-1
355,385,-1
356,879,-1
357,454,-1
358,965,-1
359,454,-1
360,319,-1
361,10,-1
362,353,-1
363,579,-1
364,668,-1
365,780,-1
366,400,-1
367,281,-1
368,400,-1
369,1054,-1
370,153,-1
371,640,-1
372,1110,-1
373,1292,-1
374,934,-1
375,789,-1
376,726,-1
377,999,-1
378,852,-1
379,511,-1
380,141,-1
381,48,-1
382,111,-1
383,392,-1
384,522,-1
385,392,-1
386,522,-1
387,48,-1
388,43,-1
389,49,-1
390,1061,-1
391,43,-1
392,49,-1
393,707,-1
394,211,-1
395,707,-1
396,702,-1
397,677,-1
398,922,-1
399,428,-1
400,723,-1
401,489,-1
402,452,-1
403,126,-1
404,1031,-1
405,796,-1
406,1322,-1
407,807,-1
408,1120,-1
409,1171,-1
410,1084,-1
411,187,-1
412,1098,-1
413,598,-1
414,104,-1
415,1299,-1
416,267,-1
417,36,-1
418,20,-1
419,604,-1
420,20,-1
421,325,-1
422,989,-1
423,617,-1
424,55,-1
425,55,-1
426,359,-1
427,1149,-1
428,359,-1
429,1225,-1
430,419,-1
431,1282,-1
432,166,-1
433,166,-1
434,59,-1
435,166,-1
436,1228,-1
437,342,-1
438,271,-1
439,271,-1
440,779,-1
441,593,-1
442,1118,-1
443,773,-1
444,1177,-1
445,458,-1
446,310,-1
447,945,-1
448,727,-1
449,902,-1
450,27,-1
451,138,-1
452,303,-1
453,182,-1
454,486,-1
455,698,-1
456,138,-1
457,786,-1
458,138,-1
459,814,-1
460,277,-1
461,667,-1
462,781,-1
463,279,-1
464,279,-1
465,279,-1
466,279,-1
467,279,-1
468,5,-1
469,5,-1
470,5,-1
471,5,-1
472,5,-1
473,5,-1
474,5,-1
475,5,-1
476,5,-1
477,5,-1
478,5,-1
479,5,-1
480,5,-1
481,5,-1
482,5,-1
483,5,-1
484,5,-1
485,5,-1
486,5,-1
487,5,-1
488,5,-1
489,5,-1
490,5,-1
491,5,-1
492,5,-1
493,5,-1
494,5,-1
495,5,-1
496,5,-1
497,5,-1
498,5,-1
499,5,-1
500,168,-1
501,168,-1
502,168,-1
503,168,-1
504,168,-1
505,168,-1
506,5,-1
507,5,-1
508,5,-1
509,5,-1
510,5,-1
511,5,-1
512,5,-1
513,5,-1
514,5,-1
515,5,-1
516,5,-1
517,5,-1
518,5,-1
519,5,-1
520,5,-1
521,5,-1
522,5,-1
523,5,-1
524,5,-1
525,5,-1
526,5,-1
527,1297,-1
528,5,-1
529,5,-1
530,5,-1
531,5,-1
532,5,-1
533,5,-1
534,5,-1
535,5,-1
536,5,-1
537,5,-1
538,5,-1
539,5,-1
540,5,-1
541,5,-1
542,5,-1
543,5,-1
544,5,-1
545,5,-1
546,5,-1
547,5,-1
548,5,-1
549,5,-1
550,5,-1
551,5,-1
552,5,-1
553,5,-1
554,5,-1
555,5,-1
556,5,-1
557,5,-1
558,5,-1
559,5,-1
560,5,-1
561,5,-1
562,5,-1
563,5,-1
564,5,-1
565,1254,-1
566,5,-1
567,5,-1
568,5,-1
569,5,-1
570,5,-1
571,5,-1
572,5,-1
573,5,-1
574,5,-1
575,5,-1
576,5,-1
577,5,-1
578,193,-1
579,193,-1
580,193,-1
581,193,-1
582,193,-1
583,193,-1
584,193,-1
585,193,-1
586,193,-1
587,193,-1
588,193,-1
589,193,-1
590,16,-1
591,16,-1
592,16,-1
593,16,-1
594,16,-1
595,16,-1
596,16,-1
597,120,-1
598,120,-1
599,16,-1
600,120,-1
601,16,-1
602,120,-1
603,16,-1
604,16,-1
605,16,-1
606,16,-1
607,16,-1
608,16,-1
609,16,-1
610,16,-1
611,16,-1
612,16,-1
613,16,-1
614,16,-1
615,16,-1
616,16,-1
617,16,-1
618,16,-1
619,16,-1
620,16,-1
621,16,-1
622,16,-1
623,16,-1
624,16,-1
625,16,-1
626,16,-1
627,16,-1
628,16,-1
629,16,-1
630,16,-1
631,16,-1
632,16,-1
633,16,-1
634,16,-1
635,16,-1
636,16,-1
637,16,-1
638,16,-1
639,16,-1
640,16,-1
641,16,-1
642,16,-1
643,16,-1
644,16,-1
645,16,-1
646,16,-1
647,16,-1
648,16,-1
649,16,-1
650,16,-1
651,16,-1
652,16,-1
653,16,-1
654,16,-1
655,16,-1
656,16,-1
657,16,-1
658,16,-1
659,16,-1
660,16,-1
661,76,-1
662,16,-1
663,16,-1
664,16,-1
665,16,-1
666,16,-1
667,16,-1
668,16,-1
669,16,-1
670,16,-1
671,16,-1
672,16,-1
673,16,-1
674,16,-1
675,16,-1
676,16,-1
677,16,-1
678,16,-1
679,16,-1
680,16,-1
681,16,-1
682,16,-1
683,16,-1
684,16,-1
685,16,-1
686,16,-1
687,16,-1
688,16,-1
689,16,-1
690,6,-1
691,6,-1
692,6,-1
693,6,-1
694,6,-1
695,6,-1
696,6,-1
697,6,-1
698,6,-1
699,6,-1
700,6,-1
701,6,-1
702,6,-1
703,6,-1
704,6,-1
705,6,-1
706,6,-1
707,6,-1
708,6,-1
709,6,-1
710,6,-1
711,6,-1
712,6,-1
713,53,-1
714,53,-1
715,53,-1
716,53,-1
717,53,-1
718,53,-1
719,53,-1
720,53,-1
721,53,-1
722,53,-1
723,53,-1
724,53,-1
725,289,-1
726,53,-1
727,289,-1
728,53,-1
729,289,-1
730,289,-1
731,289,-1
732,52,-1
733,52,-1
734,52,-1
735,52,-1
736,52,-1
737,52,-1
738,52,-1
739,52,-1
740,52,-1
741,80,-1
742,80,-1
743,80,-1
744,80,-1
745,80,-1
746,1074,-1
747,80,-1
748,80,-1
749,80,-1
750,80,-1
751,80,-1
752,80,-1
753,70,-1
754,70,-1
755,70,-1
756,70,-1
757,70,-1
758,70,-1
759,70,-1
760,70,-1
761,56,-1
762,70,-1
763,56,-1
764,56,-1
765,56,-1
766,56,-1
767,56,-1
768,56,-1
769,89,-1
770,56,-1
771,56,-1
772,56,-1
773,89,-1
774,427,-1
775,89,-1
776,56,-1
777,56,-1
778,56,-1
779,56,-1
780,56,-1
781,56,-1
782,56,-1
783,56,-1
784,56,-1
785,56,-1
786,56,-1
787,56,-1
788,644,-1
789,644,-1
790,56,-1
791,644,-1
792,56,-1
793,56,-1
794,429,-1
795,56,-1
796,429,-1
797,429,-1
798,429,-1
799,56,-1
800,429,-1
801,429,-1
802,93,-1
803,429,-1
804,93,-1
805,703,-1
806,93,-1
807,93,-1
808,226,-1
809,226,-1
810,226,-1
811,204,-1
812,204,-1
813,288,-1
814,204,-1
815,288,-1
816,288,-1
817,1243,-1
818,959,-1
819,347,-1
820,347,-1
821,284,-1
822,135,-1
823,370,-1
824,1034,-1
825,1319,-1
826,729,-1
827,478,-1
828,286,-1
829,949,-1
830,286,-1
831,957,-1
832,957,-1
833,148,-1
834,293,-1
835,881,-1
836,286,-1
837,881,-1
838,286,-1
839,365,-1
840,208,-1
841,286,-1
842,208,-1
843,208,-1
844,208,-1
845,208,-1
846,208,-1
847,208,-1
848,208,-1
849,208,-1
850,208,-1
851,208,-1
852,208,-1
853,208,-1
854,41,-1
855,208,-1
856,208,-1
857,41,-1
858,41,-1
859,41,-1
860,41,-1
861,41,-1
862,41,-1
863,41,-1
864,41,-1
865,41,-1
866,41,-1
867,41,-1
868,41,-1
869,41,-1
870,41,-1
871,41,-1
872,41,-1
873,41,-1
874,41,-1
875,41,-1
876,41,-1
877,41,-1
878,41,-1
879,41,-1
880,41,-1
881,41,-1
882,41,-1
883,143,-1
884,41,-1
885,41,-1
886,41,-1
887,143,-1
888,143,-1
889,143,-1
890,143,-1
891,143,-1
892,143,-1
893,28,-1
894,143,-1
895,143,-1
896,28,-1
897,28,-1
898,28,-1
899,28,-1
900,28,-1
901,28,-1
902,771,-1
903,771,-1
904,28,-1
905,28,-1
906,771,-1
907,28,-1
908,28,-1
909,28,-1
910,28,-1
911,28,-1
912,28,-1
913,28,-1
914,28,-1
915,28,-1
916,28,-1
917,28,-1
918,28,-1
919,28,-1
920,28,-1
921,28,-1
922,28,-1
923,28,-1
924,28,-1
925,28,-1
926,28,-1
927,457,-1
928,28,-1
929,457,-1
930,28,-1
931,28,-1
932,28,-1
933,28,-1
934,28,-1
935,28,-1
936,28,-1
937,28,-1
938,28,-1
939,28,-1
940,28,-1
941,110,-1
942,992,-1
943,110,-1
944,110,-1
945,110,-1
946,110,-1
947,108,-1
948,1204,-1
949,680,-1
950,335,-1
951,248,-1
952,335,-1
953,314,-1
954,833,-1
955,538,-1
956,335,-1
957,156,-1
958,571,-1
959,156,-1
960,903,-1
961,952,-1
962,505,-1
963,897,-1
964,505,-1
965,95,-1
966,505,-1
967,761,-1
968,212,-1
969,212,-1
970,1310,-1
971,260,-1
972,463,-1
973,738,-1
974,743,-1
975,912,-1
976,1318,-1
977,912,-1
978,692,-1
979,236,-1
980,420,-1
981,991,-1
982,69,-1
983,1275,-1
984,69,-1
985,1116,-1
986,69,-1
987,971,-1
988,130,-1
989,1205,-1
990,910,-1
991,403,-1
992,541,-1
993,1107,-1
994,494,-1
995,915,-1
996,58,-1
997,58,-1
998,1075,-1
999,274,-1
1000,431,-1
1001,592,-1
1002,85,-1
1003,491,-1
1004,425,-1
1005,250,-1
1006,1308,-1
1007,567,-1
1008,455,-1
1009,596,-1
1010,1069,-1
1011,985,-1
1012,632,-1
1013,993,-1
1014,1183,-1
1015,930,-1
1016,614,-1
1017,218,-1
1018,218,-1
1019,388,-1
1020,1020,-1
1021,675,-1
1022,1057,-1
1023,72,-1
1024,557,-1
1025,837,-1
1026,563,-1
1027,456,-1
1028,441,-1
1029,1260,-1
1030,724,-1
1031,421,-1
1032,724,-1
1033,638,-1
1034,724,-1
1035,790,-1
1036,295,-1
1037,1184,-1
1038,1202,-1
1039,523,-1
1040,1016,-1
1041,404,-1
1042,276,-1
1043,480,-1
1044,1130,-1
1045,1147,-1
1046,426,-1
1047,154,-1
1048,340,-1
1049,854,-1
1050,264,-1
1051,570,-1
1052,473,-1
1053,765,-1
1054,639,-1
1055,1195,-1
1056,606,-1
1057,159,-1
1058,376,-1
1059,800,-1
1060,582,-1
1061,762,-1
1062,886,-1
1063,846,-1
1064,701,-1
1065,1311,-1
1066,167,-1
1067,641,-1
1068,438,-1
1069,1071,-1
1070,493,-1
1071,735,-1
1072,657,-1
1073,220,-1
1074,657,-1
1075,588,-1
1076,261,-1
1077,269,-1
1078,1326,-1
1079,887,-1
1080,1193,-1
1081,1133,-1
1082,1186,-1
1083,553,-1
1084,1302,-1
1085,753,-1
1086,936,-1
1087,1105,-1
1088,67,-1
1089,67,-1
1090,67,-1
1091,67,-1
1092,67,-1
1093,1252,-1
1094,67,-1
1095,75,-1
1096,75,-1
1097,75,-1
1098,75,-1
1099,67,-1
1100,245,-1
1101,67,-1
1102,245,-1
1103,67,-1
1104,67,-1
1105,245,-1
1106,245,-1
1107,245,-1
1108,245,-1
1109,67,-1
1110,67,-1
1111,67,-1
1112,67,-1
1113,67,-1
1114,878,-1
1115,67,-1
1116,67,-1
1117,67,-1
1118,878,-1
1119,878,-1
1120,67,-1
1121,67,-1
1122,67,-1
1123,67,-1
1124,67,-1
1125,67,-1
1126,67,-1
1127,450,-1
1128,450,-1
1129,67,-1
1130,450,-1
1131,67,-1
1132,450,-1
1133,450,-1
1134,67,-1
1135,450,-1
1136,304,-1
1137,304,-1
1138,237,-1
1139,67,-1
1140,67,-1
1141,824,-1
1142,67,-1
1143,67,-1
1144,67,-1
1145,263,-1
1146,67,-1
1147,412,-1
1148,67,-1
1149,654,-1
1150,352,-1
1151,412,-1
1152,192,-1
1153,192,-1
1154,192,-1
1155,192,-1
1156,192,-1
1157,1051,-1
1158,192,-1
1159,660,-1
1160,192,-1
1161,192,-1
1162,192,-1
1163,192,-1
1164,192,-1
1165,1005,-1
1166,162,-1
1167,162,-1
1168,162,-1
1169,162,-1
1170,162,-1
1171,162,-1
1172,162,-1
1173,162,-1
1174,162,-1
1175,504,-1
1176,162,-1
1177,504,-1
1178,504,-1
1179,162,-1
1180,162,-1
1181,162,-1
1182,610,-1
1183,162,-1
1184,162,-1
1185,22,-1
1186,610,-1
1187,610,-1
1188,162,-1
1189,162,-1
1190,1,-1
1191,162,-1
1192,15,-1
1193,15,-1
1194,15,-1
1195,162,-1
1196,15,-1
1197,15,-1
1198,15,-1
1199,497,-1
1200,15,-1
1201,92,-1
1202,92,-1
1203,92,-1
1204,586,-1
1205,145,-1
1206,586,-1
1207,145,-1
1208,794,-1
1209,794,-1
1210,894,-1
1211,84,-1
1212,894,-1
1213,145,-1
1214,397,-1
1215,84,-1
1216,84,-1
1217,84,-1
1218,84,-1
1219,350,-1
1220,768,-1
1221,367,-1
1222,63,-1
1223,367,-1
1224,84,-1
1225,350,-1
1226,768,-1
1227,367,-1
1228,84,-1
1229,350,-1
1230,84,-1
1231,818,-1
1232,84,-1
1233,84,-1
1234,84,-1
1235,969,-1
1236,84,-1
1237,84,-1
1238,84,-1
1239,84,-1
1240,84,-1
1241,84,-1
1242,84,-1
1243,291,-1
1244,465,-1
1245,465,-1
1246,291,-1
1247,307,-1
1248,1022,-1
1249,291,-1
1250,465,-1
1251,291,-1
1252,291,-1
1253,900,-1
1254,465,-1
1255,291,-1
1256,516,-1
1257,1221,-1
1258,900,-1
1259,900,-1
1260,324,-1
1261,324,-1
1262,324,-1
1263,324,-1
1264,343,-1
1265,32,-1
1266,343,-1
1267,32,-1
1268,32,-1
1269,32,-1
1270,344,-1
1271,344,-1
1272,62,-1
1273,344,-1
1274,344,-1
1275,495,-1
1276,543,-1
1277,495,-1
1278,543,-1
1279,495,-1
1280,691,-1
1281,1052,-1
1282,543,-1
1283,1052,-1
1284,330,-1
1285,1052,-1
1286,147,-1
1287,201,-1
1288,201,-1
1289,201,-1
1290,147,-1
1291,395,-1
1292,186,-1
1293,687,-1
1294,682,-1
1295,395,-1
1296,395,-1
1297,939,-1
1298,600,-1
1299,395,-1
1300,1115,-1
1301,395,-1
1302,395,-1
1303,1076,-1
1304,835,-1
1305,40,-1
1306,40,-1
1307,560,-1
1308,40,-1
1309,40,-1
1310,40,-1
1311,40,-1
1312,508,-1
1313,40,-1
1314,61,-1
1315,508,-1
1316,508,-1
1317,1024,-1
1318,1024,-1
1319,1024,-1
1320,855,-1
1321,980,-1
1322,183,-1
1323,183,-1
1324,363,-1
1325,819,-1
1326,819,-1
1327,183,-1
1328,183,-1
1329,689,-1
1330,799,-1
1331,689,-1
1332,782,-1
1333,907,-1
1334,326,-1
1335,115,-1
1336,115,-1
1337,115,-1
1338,115,-1
1339,1129,-1
1340,257,-1
1341,257,-1
1342,257,-1
1343,257,-1
1344,864,-1
1345,102,-1
1346,83,-1
1347,880,-1
1348,77,-1
1349,627,-1
1350,880,-1
1351,1244,-1
1352,1235,-1
1353,149,-1
1354,1135,-1
1355,653,-1
1356,256,-1
1357,188,-1
1358,599,-1
1359,537,-1
1360,1309,-1
1361,1280,-1
1362,709,-1
1363,1151,-1
1364,1100,-1
1365,498,-1
1366,709,-1
1367,751,-1
1368,709,-1
1369,1258,-1
1370,978,-1
1371,447,-1
1372,1063,-1
1373,964,-1
1374,1163,-1
1375,983,-1
1376,1140,-1
1377,1150,-1
1378,1122,-1
1379,1192,-1
1380,364,-1
1381,633,-1
1382,1201,-1
1383,977,-1
1384,442,-1
1385,45,-1
1386,45,-1
1387,809,-1
1388,45,-1
1389,227,-1
1390,1268,-1
1391,227,-1
1392,744,-1
1393,1269,-1
1394,1298,-1
