# point_id,primitive_gid,primitive_dir_gid
0,15,-1
1,15,-1
2,15,-1
3,998,-1
4,15,-1
5,15,-1
6,15,-1
7,15,-1
8,15,-1
9,15,-1
10,15,-1
11,15,-1
12,15,-1
13,3,-1
14,3,-1
15,3,-1
16,3,-1
17,3,-1
18,3,-1
19,3,-1
20,3,-1
21,3,-1
22,3,-1
23,3,-1
24,3,-1
25,3,-1
26,3,-1
27,3,-1
28,3,-1
29,3,-1
30,3,-1
31,3,-1
32,3,-1
33,3,-1
34,3,-1
35,3,-1
36,3,-1
37,3,-1
38,3,-1
39,3,-1
40,3,-1
41,3,-1
42,3,-1
43,3,-1
44,3,-1
45,3,-1
46,3,-1
47,3,-1
48,3,-1
49,3,-1
50,3,-1
51,3,-1
52,3,-1
53,3,-1
54,3,-1
55,3,-1
56,3,-1
57,3,-1
58,3,-1
59,3,-1
60,3,-1
61,3,-1
62,3,-1
63,3,-1
64,3,-1
65,3,-1
66,3,-1
67,3,-1
68,3,-1
69,3,-1
70,3,-1
71,3,-1
72,3,-1
73,3,-1
74,3,-1
75,3,-1
76,3,-1
77,3,-1
78,3,-1
79,3,-1
80,3,-1
81,3,-1
82,3,-1
83,3,-1
84,3,-1
85,3,-1
86,3,-1
87,3,-1
88,3,-1
89,3,-1
90,3,-1
91,3,-1
92,3,-1
93,3,-1
94,3,-1
95,3,-1
96,3,-1
97,3,-1
98,3,-1
99,3,-1
100,3,-1
101,3,-1
102,3,-1
103,3,-1
104,3,-1
105,3,-1
106,3,-1
107,3,-1
108,3,-1
109,3,-1
110,3,-1
111,3,-1
112,3,-1
113,3,-1
114,3,-1
115,3,-1
116,3,-1
117,3,-1
118,3,-1
119,3,-1
120,3,-1
121,3,-1
122,3,-1
123,3,-1
124,3,-1
125,3,-1
126,3,-1
127,3,-1
128,3,-1
129,3,-1
130,3,-1
131,3,-1
132,3,-1
133,3,-1
134,3,-1
135,3,-1
136,3,-1
137,3,-1
138,3,-1
139,3,-1
140,3,-1
141,3,-1
142,3,-1
143,3,-1
144,3,-1
145,3,-1
146,3,-1
147,3,-1
148,3,-1
149,3,-1
150,3,-1
151,3,-1
152,3,-1
153,3,-1
154,3,-1
155,3,-1
156,3,-1
157,3,-1
158,3,-1
159,3,-1
160,3,-1
161,3,-1
162,3,-1
163,3,-1
164,3,-1
165,3,-1
166,3,-1
167,3,-1
168,3,-1
169,3,-1
170,3,-1
171,3,-1
172,3,-1
173,3,-1
174,3,-1
175,3,-1
176,3,-1
177,3,-1
178,3,-1
179,3,-1
180,3,-1
181,3,-1
182,3,-1
183,3,-1
184,3,-1
185,3,-1
186,3,-1
187,3,-1
188,3,-1
189,3,-1
190,3,-1
191,3,-1
192,3,-1
193,3,-1
194,3,-1
195,3,-1
196,3,-1
197,3,-1
198,3,-1
199,3,-1
200,3,-1
201,3,-1
202,3,-1
203,3,-1
204,3,-1
205,3,-1
206,3,-1
207,3,-1
208,3,-1
209,3,-1
210,3,-1
211,3,-1
212,3,-1
213,3,-1
214,3,-1
215,3,-1
216,3,-1
217,3,-1
218,3,-1
219,3,-1
220,3,-1
221,3,-1
222,3,-1
223,3,-1
224,3,-1
225,3,-1
226,3,-1
227,3,-1
228,3,-1
229,3,-1
230,3,-1
231,3,-1
232,3,-1
233,3,-1
234,3,-1
235,3,-1
236,3,-1
237,3,-1
238,3,-1
239,3,-1
240,3,-1
241,3,-1
242,3,-1
243,3,-1
244,3,-1
245,3,-1
246,3,-1
247,3,-1
248,3,-1
249,3,-1
250,215,-1
251,215,-1
252,215,-1
253,3,-1
254,3,-1
255,3,-1
256,3,-1
257,3,-1
258,3,-1
259,3,-1
260,3,-1
261,3,-1
262,3,-1
263,3,-1
264,3,-1
265,3,-1
266,3,-1
267,3,-1
268,3,-1
269,3,-1
270,3,-1
271,3,-1
272,3,-1
273,3,-1
274,3,-1
275,3,-1
276,3,-1
277,3,-1
278,3,-1
279,3,-1
280,3,-1
281,3,-1
282,3,-1
283,3,-1
284,3,-1
285,3,-1
286,3,-1
287,3,-1
288,3,-1
289,215,-1
290,3,-1
291,3,-1
292,215,-1
293,215,-1
294,215,-1
295,215,-1
296,215,-1
297,215,-1
298,215,-1
299,215,-1
300,215,-1
301,215,-1
302,215,-1
303,215,-1
304,215,-1
305,215,-1
306,215,-1
307,215,-1
308,215,-1
309,215,-1
310,215,-1
311,215,-1
312,215,-1
313,215,-1
314,215,-1
315,215,-1
316,215,-1
317,215,-1
318,215,-1
319,215,-1
320,215,-1
321,215,-1
322,215,-1
323,215,-1
324,215,-1
325,215,-1
326,215,-1
327,215,-1
328,215,-1
329,215,-1
330,215,-1
331,215,-1
332,215,-1
333,215,-1
334,215,-1
335,215,-1
336,215,-1
337,215,-1
338,3,-1
339,3,-1
340,3,-1
341,3,-1
342,3,-1
343,3,-1
344,3,-1
345,3,-1
346,3,-1
347,3,-1
348,3,-1
