#Describes primitives of the scene
#x,y,z,nx,ny,nz,primitiveId,orientationId,used
0.504545,0,0,0,1,0,3,0,1
1,0.5,0,-1,0,0,4,0,1
0.504545,1,0,0,-1,0,5,0,1
0.00909,0.5,0,1,0,0,6,0,1
0.15909,0.19455,0,0,1,0,7,0,1
0.30909,0.309095,0,-1,0,0,8,0,1
0.31273,0.55547,0,-1,0,0,10,0,1
0.16091,0.58367,0,0,-1,0,11,0,1
0.73091,0.54909,0,0,-1,0,13,0,1
0.46727,0.703635,0,-1,0,0,14,0,1
0.31273,0.84818,0,-1,0,0,16,0,1
0.813635,0.68364,0,0,-1,0,18,0,1
0.64182,0.769095,0,-1,0,0,19,0,1
0.81909,0.85455,0,0,1,0,20,0,1
0.5,0.5,-0.1,0,0,1,21,0,1
